"","date","ESTC"
"1","2018-10-05",70
"2","2018-10-08",65.940002
"3","2018-10-09",66.449997
"4","2018-10-10",62.5
"5","2018-10-11",60.869999
"6","2018-10-12",62.68
"7","2018-10-15",60.939999
"8","2018-10-16",65.330002
"9","2018-10-17",69.889999
"10","2018-10-18",67.489998
"11","2018-10-19",64.459999
"12","2018-10-22",63.77
"13","2018-10-23",63.560001
"14","2018-10-24",60.950001
"15","2018-10-25",61.849998
"16","2018-10-26",60.52
"17","2018-10-29",62.439999
"18","2018-10-30",67.980003
"19","2018-10-31",68
"20","2018-11-01",67.199997
"21","2018-11-02",64.519997
"22","2018-11-05",64.5
"23","2018-11-06",67.050003
"24","2018-11-07",72.199997
"25","2018-11-08",73.010002
"26","2018-11-09",71.400002
"27","2018-11-12",66.5
"28","2018-11-13",64.519997
"29","2018-11-14",62.849998
"30","2018-11-15",66.290001
"31","2018-11-16",70.75
"32","2018-11-19",67
"33","2018-11-20",63.299999
"34","2018-11-21",63.900002
"35","2018-11-23",66.07
"36","2018-11-26",68.07
"37","2018-11-27",68.169998
"38","2018-11-28",70.610001
"39","2018-11-29",69.5
"40","2018-11-30",71.449997
"41","2018-12-03",82
"42","2018-12-04",72.519997
"43","2018-12-06",75.339996
"44","2018-12-07",69.120003
"45","2018-12-10",72.93
"46","2018-12-11",73.879997
"47","2018-12-12",77.989998
"48","2018-12-13",77.339996
"49","2018-12-14",76.690002
"50","2018-12-17",67.300003
"51","2018-12-18",69.18
"52","2018-12-19",69.650002
"53","2018-12-20",65.139999
"54","2018-12-21",62.529999
"55","2018-12-24",62.869999
"56","2018-12-26",68.099998
"57","2018-12-27",69
"58","2018-12-28",69.989998
"59","2018-12-31",71.480003
"60","2019-01-02",66.370003
"61","2019-01-03",64.010002
"62","2019-01-04",67.809998
"63","2019-01-07",73.099998
"64","2019-01-08",74.449997
"65","2019-01-09",77.010002
"66","2019-01-10",74.889999
"67","2019-01-11",74.769997
"68","2019-01-14",71.32
"69","2019-01-15",73.68
"70","2019-01-16",72.43
"71","2019-01-17",73.260002
"72","2019-01-18",75.080002
"73","2019-01-22",74.620003
"74","2019-01-23",75.400002
"75","2019-01-24",77.019997
"76","2019-01-25",78.720001
"77","2019-01-28",80.980003
"78","2019-01-29",80.360001
"79","2019-01-30",84.150002
"80","2019-01-31",85
"81","2019-02-01",87.599998
"82","2019-02-04",88.650002
"83","2019-02-05",89.989998
"84","2019-02-06",88.339996
"85","2019-02-07",85.139999
"86","2019-02-08",87.019997
"87","2019-02-11",87.010002
"88","2019-02-12",88.610001
"89","2019-02-13",88.370003
"90","2019-02-14",90.690002
"91","2019-02-15",90.800003
"92","2019-02-19",91.019997
"93","2019-02-20",91.959999
"94","2019-02-21",92.139999
"95","2019-02-22",94.150002
"96","2019-02-25",97.589996
"97","2019-02-26",97.220001
"98","2019-02-27",99.07
"99","2019-02-28",90.559998
"100","2019-03-01",93.160004
"101","2019-03-04",90.099998
"102","2019-03-05",87.139999
"103","2019-03-06",84.050003
"104","2019-03-07",84.940002
