"","date","YIN"
"1","2016-04-27",13.5
"2","2016-04-28",13.8
"3","2016-04-29",13.95
"4","2016-05-02",13.8
"5","2016-05-03",13.68
"6","2016-05-04",13.5
"7","2016-05-05",13.485
"8","2016-05-06",13.4
"9","2016-05-09",13.37
"10","2016-05-10",13.3
"11","2016-05-11",13.5
"12","2016-05-12",13.45
"13","2016-05-13",13.47
"14","2016-05-16",13.46
"15","2016-05-17",13.49
"16","2016-05-18",13.28
"17","2016-05-19",12.665
"18","2016-05-20",12.74
"19","2016-05-23",13
"20","2016-05-24",12.905
"21","2016-05-25",12.58
"22","2016-05-26",12.5
"23","2016-05-27",12.48
"24","2016-05-31",12.42
"25","2016-06-01",12.62
"26","2016-06-02",12.55
"27","2016-06-03",12.73
"28","2016-06-06",12.6
"29","2016-06-07",12.55
"30","2016-06-08",12.5
"31","2016-06-09",12.27
"32","2016-06-10",11.95
"33","2016-06-13",11.15
"34","2016-06-14",11.3
"35","2016-06-15",12.6
"36","2016-06-16",12.89
"37","2016-06-17",13.24
"38","2016-06-20",13.11
"39","2016-06-21",13.22
"40","2016-06-22",13.45
"41","2016-06-23",13.21
"42","2016-06-24",13.22
"43","2016-06-27",13.5
"44","2016-06-28",13.21
"45","2016-06-29",13.35
"46","2016-06-30",13.72
"47","2016-07-01",13.95
"48","2016-07-05",14.45
"49","2016-07-06",14.9
"50","2016-07-07",14.9
"51","2016-07-08",14.22
"52","2016-07-11",14.52
"53","2016-07-12",14.29
"54","2016-07-13",14.38
"55","2016-07-14",14.45
"56","2016-07-15",15.88
"57","2016-07-18",15.24
"58","2016-07-19",14.74
"59","2016-07-20",16.02
"60","2016-07-21",15.1
"61","2016-07-22",14.81
"62","2016-07-25",13.66
"63","2016-07-26",14.22
"64","2016-07-27",14
"65","2016-07-28",14.98
"66","2016-07-29",14.81
"67","2016-08-01",14.83
"68","2016-08-02",14.57
"69","2016-08-03",14.77
"70","2016-08-04",14.69
"71","2016-08-05",15.55
"72","2016-08-08",15.23
"73","2016-08-09",15.68
"74","2016-08-10",15.5
"75","2016-08-11",15.9
"76","2016-08-12",16.153999
"77","2016-08-15",15.63
"78","2016-08-16",16.09
"79","2016-08-17",16.379999
"80","2016-08-18",15.91
"81","2016-08-19",15.8
"82","2016-08-22",16.24
"83","2016-08-23",17.549999
"84","2016-08-24",18.98
"85","2016-08-25",18.870001
"86","2016-08-26",18.82
"87","2016-08-29",19
"88","2016-08-30",18.389999
"89","2016-08-31",18.190001
"90","2016-09-01",18.879999
"91","2016-09-02",18.98
"92","2016-09-06",17.690001
"93","2016-09-07",17.73
"94","2016-09-08",17.58
"95","2016-09-09",16.719999
"96","2016-09-12",16.370001
"97","2016-09-13",17.290001
"98","2016-09-14",18.450001
"99","2016-09-15",17.790001
"100","2016-09-16",18.360001
"101","2016-09-19",17.700001
"102","2016-09-20",18.1
"103","2016-09-21",17.93
"104","2016-09-22",19.309999
