"","date","GSIT"
"1","2007-03-29",5.29
"2","2007-03-30",5.25
"3","2007-04-02",5.1
"4","2007-04-03",5.04
"5","2007-04-04",5.08
"6","2007-04-05",5.26
"7","2007-04-09",5.3
"8","2007-04-10",5.3
"9","2007-04-11",5.24
"10","2007-04-12",5.3
"11","2007-04-13",5.74
"12","2007-04-16",5.8
"13","2007-04-17",5.78
"14","2007-04-18",5.66
"15","2007-04-19",5.47
"16","2007-04-20",5.34
"17","2007-04-23",5.3
"18","2007-04-24",5.43
"19","2007-04-25",5.51
"20","2007-04-26",5.5
"21","2007-04-27",5.51
"22","2007-04-30",5.4
"23","2007-05-01",5.25
"24","2007-05-02",5.3
"25","2007-05-03",5.47
"26","2007-05-04",5.37
"27","2007-05-07",5.36
"28","2007-05-08",5.36
"29","2007-05-09",5.46
"30","2007-05-10",5.38
"31","2007-05-11",5.49
"32","2007-05-14",5.68
"33","2007-05-15",5.62
"34","2007-05-16",5.79
"35","2007-05-17",5.8
"36","2007-05-18",5.78
"37","2007-05-21",5.7
"38","2007-05-22",5.49
"39","2007-05-23",5.23
"40","2007-05-24",5.5
"41","2007-05-25",4.66
"42","2007-05-29",4.2
"43","2007-05-30",4.27
"44","2007-05-31",4.23
"45","2007-06-01",4.24
"46","2007-06-04",4.27
"47","2007-06-05",4.35
"48","2007-06-06",4.35
"49","2007-06-07",4.35
"50","2007-06-08",4.4
"51","2007-06-11",4.31
"52","2007-06-12",4.31
"53","2007-06-13",4.21
"54","2007-06-14",4.2
"55","2007-06-15",4.2
"56","2007-06-18",4.17
"57","2007-06-19",4.38
"58","2007-06-20",4.41
"59","2007-06-21",4.4
"60","2007-06-22",4.57
"61","2007-06-25",4.57
"62","2007-06-26",4.72
"63","2007-06-27",4.69
"64","2007-06-28",4.72
"65","2007-06-29",4.79
"66","2007-07-02",4.88
"67","2007-07-03",4.8
"68","2007-07-05",4.54
"69","2007-07-06",4.64
"70","2007-07-09",4.56
"71","2007-07-10",4.5
"72","2007-07-11",4.51
"73","2007-07-12",4.64
"74","2007-07-13",4.7
"75","2007-07-16",4.79
"76","2007-07-17",5
"77","2007-07-18",4.83
"78","2007-07-19",5.03
"79","2007-07-20",5
"80","2007-07-23",5.09
"81","2007-07-24",4.75
"82","2007-07-25",4.72
"83","2007-07-26",4.76
"84","2007-07-27",4.7
"85","2007-07-30",4.76
"86","2007-07-31",4.75
"87","2007-08-01",4.75
"88","2007-08-02",4.77
"89","2007-08-03",3.9
"90","2007-08-06",3.76
"91","2007-08-07",3.5
"92","2007-08-08",3.15
"93","2007-08-09",3.05
"94","2007-08-10",2.93
"95","2007-08-13",2.88
"96","2007-08-14",2.6
"97","2007-08-15",2.6
"98","2007-08-16",2.6
"99","2007-08-17",2.51
"100","2007-08-20",2.71
"101","2007-08-21",2.9
"102","2007-08-22",2.95
"103","2007-08-23",2.99
"104","2007-08-24",3
"105","2007-08-27",2.99
"106","2007-08-28",2.9
"107","2007-08-29",2.95
"108","2007-08-30",2.88
"109","2007-08-31",3
"110","2007-09-04",3
"111","2007-09-05",3.01
"112","2007-09-06",2.98
"113","2007-09-07",2.95
"114","2007-09-10",2.92
"115","2007-09-11",2.8
"116","2007-09-12",2.69
"117","2007-09-13",2.76
"118","2007-09-14",2.75
"119","2007-09-17",2.49
"120","2007-09-18",2.47
"121","2007-09-19",2.65
"122","2007-09-20",2.72
"123","2007-09-21",2.8
"124","2007-09-24",2.9
"125","2007-09-25",2.75
"126","2007-09-26",2.55
"127","2007-09-27",2.71
"128","2007-09-28",2.63
"129","2007-10-01",2.74
"130","2007-10-02",2.75
"131","2007-10-03",2.85
"132","2007-10-04",2.8
"133","2007-10-05",2.75
"134","2007-10-08",2.79
"135","2007-10-09",2.81
"136","2007-10-10",2.83
"137","2007-10-11",2.89
"138","2007-10-12",3.05
"139","2007-10-15",3.29
"140","2007-10-16",3.26
"141","2007-10-17",3.36
"142","2007-10-18",3.37
"143","2007-10-19",3.05
"144","2007-10-22",3.19
"145","2007-10-23",3.39
"146","2007-10-24",3.39
"147","2007-10-25",3.34
"148","2007-10-26",3.21
"149","2007-10-29",3.24
"150","2007-10-30",3.2
"151","2007-10-31",2.95
"152","2007-11-01",2.85
"153","2007-11-02",2.44
"154","2007-11-05",2.49
"155","2007-11-06",2.46
"156","2007-11-07",2.42
"157","2007-11-08",2.5
"158","2007-11-09",2.5
"159","2007-11-12",2.38
"160","2007-11-13",2.3
"161","2007-11-14",2.5
"162","2007-11-15",2.4
"163","2007-11-16",2.36
"164","2007-11-19",2.37
"165","2007-11-20",2.32
"166","2007-11-21",2.22
"167","2007-11-23",2.3
"168","2007-11-26",2.3
"169","2007-11-27",2.36
"170","2007-11-28",2.41
"171","2007-11-29",2.45
"172","2007-11-30",2.41
"173","2007-12-03",2.4
"174","2007-12-04",2.42
"175","2007-12-05",2.41
"176","2007-12-06",2.62
"177","2007-12-07",2.5
"178","2007-12-10",2.63
"179","2007-12-11",2.51
"180","2007-12-12",2.6
"181","2007-12-13",2.5
"182","2007-12-14",2.55
"183","2007-12-17",2.6
"184","2007-12-18",2.61
"185","2007-12-19",2.58
"186","2007-12-20",2.52
"187","2007-12-21",2.5
"188","2007-12-24",2.51
"189","2007-12-26",2.55
"190","2007-12-27",2.59
"191","2007-12-28",2.56
"192","2007-12-31",2.55
"193","2008-01-02",2.6
"194","2008-01-03",2.79
"195","2008-01-04",3.06
"196","2008-01-07",2.96
"197","2008-01-08",2.61
"198","2008-01-09",2.63
"199","2008-01-10",2.7
"200","2008-01-11",2.7
"201","2008-01-14",2.69
"202","2008-01-15",2.55
"203","2008-01-16",2.52
"204","2008-01-17",2.44
"205","2008-01-18",2.38
"206","2008-01-22",2.4
"207","2008-01-23",2.25
"208","2008-01-24",2.42
"209","2008-01-25",2.4
"210","2008-01-28",2.49
"211","2008-01-29",2.42
"212","2008-01-30",2.49
"213","2008-01-31",2.52
"214","2008-02-01",2.92
"215","2008-02-04",2.83
"216","2008-02-05",2.87
"217","2008-02-06",2.92
"218","2008-02-07",2.96
"219","2008-02-08",2.94
"220","2008-02-11",2.9
"221","2008-02-12",2.75
"222","2008-02-13",2.83
"223","2008-02-14",2.99
"224","2008-02-15",2.84
"225","2008-02-19",2.76
"226","2008-02-20",2.82
"227","2008-02-21",2.81
"228","2008-02-22",2.98
"229","2008-02-25",2.91
"230","2008-02-26",2.97
"231","2008-02-27",3.03
"232","2008-02-28",2.94
"233","2008-02-29",2.99
"234","2008-03-03",3.05
"235","2008-03-04",3.03
"236","2008-03-05",3.06
"237","2008-03-06",2.94
"238","2008-03-07",2.87
"239","2008-03-10",2.89
"240","2008-03-11",2.87
"241","2008-03-12",2.92
"242","2008-03-13",2.84
"243","2008-03-14",2.79
"244","2008-03-17",2.75
"245","2008-03-18",2.76
"246","2008-03-19",2.71
"247","2008-03-20",2.75
"248","2008-03-24",2.75
"249","2008-03-25",2.69
"250","2008-03-26",2.72
"251","2008-03-27",2.74
"252","2008-03-28",2.76
"253","2008-03-31",2.65
"254","2008-04-01",2.69
"255","2008-04-02",2.75
"256","2008-04-03",2.95
"257","2008-04-04",2.95
"258","2008-04-07",3.19
"259","2008-04-08",3.08
"260","2008-04-09",3.11
"261","2008-04-10",3.27
"262","2008-04-11",3.24
"263","2008-04-14",3.22
"264","2008-04-15",3.25
"265","2008-04-16",3.3
"266","2008-04-17",3.26
"267","2008-04-18",3.21
"268","2008-04-21",3.37
"269","2008-04-22",3.43
"270","2008-04-23",3.45
"271","2008-04-24",3.45
"272","2008-04-25",3.49
"273","2008-04-28",3.49
"274","2008-04-29",3.48
"275","2008-04-30",3.47
"276","2008-05-01",3.58
"277","2008-05-02",3.5
"278","2008-05-05",3.53
"279","2008-05-06",3.53
"280","2008-05-07",3.54
"281","2008-05-08",3.6
"282","2008-05-09",4.1
"283","2008-05-12",4.3
"284","2008-05-13",4.22
"285","2008-05-14",4.13
"286","2008-05-15",3.93
"287","2008-05-16",3.96
"288","2008-05-19",4.08
"289","2008-05-20",4.18
"290","2008-05-21",4.25
"291","2008-05-22",4.22
"292","2008-05-23",4.06
"293","2008-05-27",4.08
"294","2008-05-28",4.01
"295","2008-05-29",4.09
"296","2008-05-30",4.12
"297","2008-06-02",4.08
"298","2008-06-03",4.02
"299","2008-06-04",3.99
"300","2008-06-05",4
"301","2008-06-06",3.94
"302","2008-06-09",4
"303","2008-06-10",4
"304","2008-06-11",3.87
"305","2008-06-12",3.72
"306","2008-06-13",3.83
"307","2008-06-16",3.9
"308","2008-06-17",3.91
"309","2008-06-18",3.87
"310","2008-06-19",3.85
"311","2008-06-20",3.73
"312","2008-06-23",3.64
"313","2008-06-24",3.65
"314","2008-06-25",3.69
"315","2008-06-26",3.85
"316","2008-06-27",3.91
"317","2008-06-30",3.88
"318","2008-07-01",3.74
"319","2008-07-02",3.86
"320","2008-07-03",3.85
"321","2008-07-07",3.69
"322","2008-07-08",3.75
"323","2008-07-09",3.5
"324","2008-07-10",3.61
"325","2008-07-11",3.47
"326","2008-07-14",3.57
"327","2008-07-15",3.43
"328","2008-07-16",3.22
"329","2008-07-17",3.45
"330","2008-07-18",3.49
"331","2008-07-21",3.55
"332","2008-07-22",3.69
"333","2008-07-23",3.55
"334","2008-07-24",3.67
"335","2008-07-25",3.66
"336","2008-07-28",3.74
"337","2008-07-29",3.65
"338","2008-07-30",3.73
"339","2008-07-31",3.9
"340","2008-08-01",4
"341","2008-08-04",3.75
"342","2008-08-05",3.78
"343","2008-08-06",3.79
"344","2008-08-07",3.72
"345","2008-08-08",3.68
"346","2008-08-11",3.71
"347","2008-08-12",3.64
"348","2008-08-13",3.64
"349","2008-08-14",3.74
"350","2008-08-15",3.75
"351","2008-08-18",3.78
"352","2008-08-19",3.9
"353","2008-08-20",3.83
"354","2008-08-21",3.75
"355","2008-08-22",3.78
"356","2008-08-25",3.84
"357","2008-08-26",3.82
"358","2008-08-27",3.7
"359","2008-08-28",3.81
"360","2008-08-29",3.81
"361","2008-09-02",3.8
"362","2008-09-03",3.78
