"","date","IMVT"
"1","2019-06-21",9.95
"2","2019-06-24",9.95
"3","2019-06-25",9.95
"4","2019-06-26",9.8
"5","2019-06-27",9.8
"6","2019-06-28",9.8
"7","2019-07-01",9.8
"8","2019-07-02",9.8
"9","2019-07-03",9.79
"10","2019-07-05",9.78
"11","2019-07-08",9.78
"12","2019-07-09",9.78
"13","2019-07-10",9.78
"14","2019-07-11",9.78
"15","2019-07-12",9.6
"16","2019-07-15",9.6
"17","2019-07-16",9.6
"18","2019-07-17",9.6
"19","2019-07-18",9.78
"20","2019-07-19",9.77
"21","2019-07-22",9.81
"22","2019-07-23",9.81
"23","2019-07-24",9.81
"24","2019-07-25",9.81
"25","2019-07-26",9.8
"26","2019-07-29",9.8
"27","2019-07-30",9.8
"28","2019-07-31",9.79
"29","2019-08-01",9.79
"30","2019-08-02",9.8
"31","2019-08-05",9.8
"32","2019-08-06",9.8
"33","2019-08-07",9.8
"34","2019-08-08",9.8
"35","2019-08-09",9.84
"36","2019-08-12",9.84
"37","2019-08-13",9.84
"38","2019-08-14",9.84
"39","2019-08-15",9.84
"40","2019-08-16",9.84
"41","2019-08-19",9.84
"42","2019-08-20",9.84
"43","2019-08-21",9.84
"44","2019-08-22",9.84
"45","2019-08-23",9.84
"46","2019-08-26",9.84
"47","2019-08-27",9.87
"48","2019-08-28",9.88
"49","2019-08-29",9.9
"50","2019-08-30",9.9
"51","2019-09-03",9.9
"52","2019-09-04",9.9
"53","2019-09-05",9.9
"54","2019-09-06",9.9
"55","2019-09-09",9.91
"56","2019-09-10",9.9
"57","2019-09-11",9.9
"58","2019-09-12",9.9
"59","2019-09-13",9.92
"60","2019-09-16",9.75
"61","2019-09-17",9.9
"62","2019-09-18",9.95
"63","2019-09-19",9.966
"64","2019-09-20",9.98
"65","2019-09-23",10
"66","2019-09-24",9.95
"67","2019-09-25",9.96
"68","2019-09-26",10.02
"69","2019-09-27",10.02
"70","2019-09-30",10.02
"71","2019-10-01",10.02
"72","2019-10-02",10.15
"73","2019-10-03",10.15
"74","2019-10-04",10.2
"75","2019-10-07",10.2
"76","2019-10-08",10.2
"77","2019-10-09",10.21
"78","2019-10-10",10.222
"79","2019-10-11",10.22
"80","2019-10-14",10.19
"81","2019-10-15",10.19
"82","2019-10-16",10.18
"83","2019-10-17",10.16
"84","2019-10-18",10.16
"85","2019-10-21",10.14
"86","2019-10-22",10.15
"87","2019-10-23",10.14
"88","2019-10-24",10.14
"89","2019-10-25",10.15
"90","2019-10-28",10.1
"91","2019-10-29",10.12
"92","2019-10-30",10.13
"93","2019-10-31",10.16
"94","2019-11-01",10.16
"95","2019-11-04",10.17
"96","2019-11-05",10.165
"97","2019-11-06",10.174
"98","2019-11-07",10.17
"99","2019-11-08",10.17
"100","2019-11-11",10.18
"101","2019-11-12",10.17
"102","2019-11-13",10.17
"103","2019-11-14",10.18
"104","2019-11-15",10.2
"105","2019-11-18",10.18
"106","2019-11-19",10.2
"107","2019-11-20",10.35
"108","2019-11-21",10.6
"109","2019-11-22",10.55
"110","2019-11-25",10.5
"111","2019-11-26",10.48
"112","2019-11-27",10.47
"113","2019-11-29",10.45
"114","2019-12-02",10.35
"115","2019-12-03",10.14
"116","2019-12-04",10.16
"117","2019-12-05",10.13
"118","2019-12-06",10.14
"119","2019-12-09",10.22
"120","2019-12-10",10.525
"121","2019-12-11",11.03
"122","2019-12-12",11.12
"123","2019-12-13",11.58
"124","2019-12-16",13.55
"125","2019-12-17",14.67
"126","2019-12-18",13.88
"127","2019-12-19",15.98
"128","2019-12-20",15.965
"129","2019-12-23",15.79
"130","2019-12-24",15.85
