"","date","ATEC"
"1","2007-01-03",42.48
"2","2007-01-04",42.599998
"3","2007-01-05",43.560001
"4","2007-01-08",42.48
"5","2007-01-09",42.360001
"6","2007-01-10",43.32
"7","2007-01-11",42.48
"8","2007-01-12",43.080002
"9","2007-01-16",42.599998
"10","2007-01-17",43.439999
"11","2007-01-18",45.360001
"12","2007-01-19",53.16
"13","2007-01-22",52.439999
"14","2007-01-23",48.84
"15","2007-01-24",52.200001
"16","2007-01-25",51.119999
"17","2007-01-26",48.360001
"18","2007-01-29",48.84
"19","2007-01-30",49.919998
"20","2007-01-31",51
"21","2007-02-01",50.639999
"22","2007-02-02",52.32
"23","2007-02-05",51.48
"24","2007-02-06",50.639999
"25","2007-02-07",50.400002
"26","2007-02-08",50.759998
"27","2007-02-09",49.560001
"28","2007-02-12",48.240002
"29","2007-02-13",49.68
"30","2007-02-14",49.439999
"31","2007-02-15",47.16
"32","2007-02-16",46.32
"33","2007-02-20",49.799999
"34","2007-02-21",48
"35","2007-02-22",47.279999
"36","2007-02-23",60
"37","2007-02-26",57.48
"38","2007-02-27",54.959999
"39","2007-02-28",56.040001
"40","2007-03-01",54
"41","2007-03-02",53.52
"42","2007-03-05",53.880001
"43","2007-03-06",55.200001
"44","2007-03-07",52.919998
"45","2007-03-08",52.68
"46","2007-03-09",53.16
"47","2007-03-12",51.959999
"48","2007-03-13",49.919998
"49","2007-03-14",49.200001
"50","2007-03-15",50.52
"51","2007-03-16",50.16
"52","2007-03-19",51
"53","2007-03-20",51
"54","2007-03-21",50.52
"55","2007-03-22",51.119999
"56","2007-03-23",50.040001
"57","2007-03-26",48.720001
"58","2007-03-27",48.720001
"59","2007-03-28",48.240002
"60","2007-03-29",50.279999
"61","2007-03-30",50.400002
"62","2007-04-02",51.48
"63","2007-04-03",48.84
"64","2007-04-04",45.599998
"65","2007-04-05",45.84
"66","2007-04-09",48
"67","2007-04-10",46.919998
"68","2007-04-11",46.560001
"69","2007-04-12",47.279999
"70","2007-04-13",47.759998
"71","2007-04-16",44.759998
"72","2007-04-17",45.48
"73","2007-04-18",47.040001
"74","2007-04-19",46.919998
"75","2007-04-20",46.32
"76","2007-04-23",44.16
"77","2007-04-24",42.84
"78","2007-04-25",41.880001
"79","2007-04-26",42.599998
"80","2007-04-27",43.32
"81","2007-04-30",42.959999
"82","2007-05-01",42.720001
"83","2007-05-02",40.799999
"84","2007-05-03",42.599998
"85","2007-05-04",42
"86","2007-05-07",42.48
"87","2007-05-08",42.119999
"88","2007-05-09",41.400002
"89","2007-05-10",39.720001
"90","2007-05-11",40.200001
"91","2007-05-14",39.599998
"92","2007-05-15",39.720001
"93","2007-05-16",39.48
"94","2007-05-17",42.720001
"95","2007-05-18",41.52
"96","2007-05-21",41.880001
"97","2007-05-22",41.400002
"98","2007-05-23",42.240002
"99","2007-05-24",41.759998
"100","2007-05-25",40.919998
"101","2007-05-29",41.759998
"102","2007-05-30",43.200001
"103","2007-05-31",44.279999
"104","2007-06-01",43.799999
"105","2007-06-04",43.919998
"106","2007-06-05",43.919998
"107","2007-06-06",42.119999
"108","2007-06-07",42.48
"109","2007-06-08",42.599998
"110","2007-06-11",42.599998
"111","2007-06-12",42.720001
"112","2007-06-13",42.240002
"113","2007-06-14",42.720001
"114","2007-06-15",43.200001
"115","2007-06-18",43.560001
"116","2007-06-19",44.880001
"117","2007-06-20",48
"118","2007-06-21",46.200001
"119","2007-06-22",45.48
"120","2007-06-25",46.560001
"121","2007-06-26",46.080002
"122","2007-06-27",43.68
"123","2007-06-28",44.400002
"124","2007-06-29",45.599998
"125","2007-07-02",44.639999
"126","2007-07-03",44.040001
"127","2007-07-05",46.080002
"128","2007-07-06",45.360001
"129","2007-07-09",45
"130","2007-07-10",44.16
"131","2007-07-11",44.880001
"132","2007-07-12",45
"133","2007-07-13",45.959999
"134","2007-07-16",49.200001
"135","2007-07-17",51.240002
"136","2007-07-18",50.400002
"137","2007-07-19",50.639999
"138","2007-07-20",49.200001
"139","2007-07-23",51
"140","2007-07-24",49.799999
"141","2007-07-25",49.799999
"142","2007-07-26",48
"143","2007-07-27",46.799999
"144","2007-07-30",45.240002
"145","2007-07-31",46.200001
"146","2007-08-01",46.560001
"147","2007-08-02",50.400002
"148","2007-08-03",48
"149","2007-08-06",47.639999
"150","2007-08-07",48.119999
"151","2007-08-08",48.240002
"152","2007-08-09",47.279999
"153","2007-08-10",47.759998
"154","2007-08-13",46.919998
"155","2007-08-14",43.799999
"156","2007-08-15",44.639999
"157","2007-08-16",45.599998
"158","2007-08-17",46.200001
"159","2007-08-20",48
"160","2007-08-21",47.16
"161","2007-08-22",46.799999
"162","2007-08-23",47.880001
"163","2007-08-24",45.599998
"164","2007-08-27",44.400002
"165","2007-08-28",44.400002
"166","2007-08-29",44.759998
"167","2007-08-30",44.400002
"168","2007-08-31",44.279999
"169","2007-09-04",45.360001
"170","2007-09-05",44.52
"171","2007-09-06",41.040001
"172","2007-09-07",41.52
"173","2007-09-10",41.279999
"174","2007-09-11",42.240002
"175","2007-09-12",43.799999
"176","2007-09-13",44.16
"177","2007-09-14",46.799999
"178","2007-09-17",46.200001
"179","2007-09-18",45
"180","2007-09-19",42.599998
"181","2007-09-20",42
"182","2007-09-21",43.200001
"183","2007-09-24",43.32
"184","2007-09-25",42.119999
"185","2007-09-26",42.119999
"186","2007-09-27",41.52
"187","2007-09-28",41.279999
"188","2007-10-01",42.84
"189","2007-10-02",42.119999
"190","2007-10-03",43.799999
"191","2007-10-04",46.560001
"192","2007-10-05",47.400002
"193","2007-10-08",47.16
"194","2007-10-09",47.400002
"195","2007-10-10",47.400002
"196","2007-10-11",47.16
"197","2007-10-12",47.52
"198","2007-10-15",51.84
"199","2007-10-16",48.240002
"200","2007-10-17",51.240002
"201","2007-10-18",51.360001
"202","2007-10-19",52.560001
"203","2007-10-22",50.400002
