"","date","GNUS"
"1","2012-02-03",51
"2","2012-02-06",51
"3","2012-02-07",54
"4","2012-02-08",54
"5","2012-02-09",54
"6","2012-02-10",60
"7","2012-02-13",72
"8","2012-02-14",72
"9","2012-02-15",75
"10","2012-02-16",60
"11","2012-02-17",60
"12","2012-02-21",61.5
"13","2012-02-22",63
"14","2012-02-23",51.599998
"15","2012-02-24",54
"16","2012-02-27",57
"17","2012-02-28",54
"18","2012-02-29",54
"19","2012-03-01",54
"20","2012-03-02",57
"21","2012-03-05",48
"22","2012-03-06",45
"23","2012-03-07",66
"24","2012-03-08",66
"25","2012-03-09",57
"26","2012-03-12",51
"27","2012-03-13",60
"28","2012-03-14",66
"29","2012-03-15",54
"30","2012-03-16",69
"31","2012-03-19",75
"32","2012-03-20",78
"33","2012-03-21",78
"34","2012-03-22",78
"35","2012-03-23",87
"36","2012-03-26",78
"37","2012-03-27",72
"38","2012-03-28",72
"39","2012-03-29",72
"40","2012-03-30",72
"41","2012-04-02",72
"42","2012-04-03",76.5
"43","2012-04-04",72
"44","2012-04-05",75
"45","2012-04-09",70.800003
"46","2012-04-10",70.5
"47","2012-04-11",66
"48","2012-04-12",66
"49","2012-04-13",67.5
"50","2012-04-16",66.900002
"51","2012-04-17",58.5
"52","2012-04-18",60
"53","2012-04-19",61.5
"54","2012-04-20",57
"55","2012-04-23",57
"56","2012-04-24",51
"57","2012-04-25",51
"58","2012-04-26",51
"59","2012-04-27",51
"60","2012-04-30",63
"61","2012-05-01",58.5
"62","2012-05-02",54
"63","2012-05-03",54
"64","2012-05-04",55.5
"65","2012-05-07",55.5
"66","2012-05-08",51
"67","2012-05-09",57
"68","2012-05-10",49.799999
"69","2012-05-11",49.799999
"70","2012-05-14",49.5
"71","2012-05-15",49.5
"72","2012-05-16",49.5
"73","2012-05-17",49.5
"74","2012-05-18",60
"75","2012-05-21",54.599998
"76","2012-05-22",54
"77","2012-05-23",55.5
"78","2012-05-24",55.5
"79","2012-05-25",54
"80","2012-05-29",51
"81","2012-05-30",45
"82","2012-05-31",49.5
"83","2012-06-01",51
"84","2012-06-04",45.299999
"85","2012-06-05",48.299999
"86","2012-06-06",56.099998
"87","2012-06-07",61.5
"88","2012-06-08",60.299999
"89","2012-06-11",58.5
"90","2012-06-12",54.900002
"91","2012-06-13",57
"92","2012-06-14",57
"93","2012-06-15",54.599998
"94","2012-06-18",55.5
"95","2012-06-19",55.5
"96","2012-06-20",55.5
"97","2012-06-21",57
"98","2012-06-22",51
"99","2012-06-25",49.799999
"100","2012-06-26",55.5
"101","2012-06-27",57
"102","2012-06-28",57
"103","2012-06-29",55.5
"104","2012-07-02",57
"105","2012-07-03",57
"106","2012-07-05",57
"107","2012-07-06",60
"108","2012-07-09",70.5
"109","2012-07-10",61.5
"110","2012-07-11",72
"111","2012-07-12",66
"112","2012-07-13",61.5
"113","2012-07-16",61.200001
"114","2012-07-17",64.5
"115","2012-07-18",57.299999
"116","2012-07-19",60.900002
"117","2012-07-20",57.299999
"118","2012-07-23",57
"119","2012-07-24",57
"120","2012-07-25",57
"121","2012-07-26",54.299999
"122","2012-07-27",54
"123","2012-07-30",54
"124","2012-07-31",52.799999
"125","2012-08-01",58.200001
"126","2012-08-02",54
"127","2012-08-03",48
"128","2012-08-06",51
"129","2012-08-07",49.799999
"130","2012-08-08",49.5
"131","2012-08-09",48
"132","2012-08-10",46.5
"133","2012-08-13",40.5
"134","2012-08-14",42
"135","2012-08-15",43.5
"136","2012-08-16",51
"137","2012-08-17",48
"138","2012-08-20",52.5
"139","2012-08-21",51
"140","2012-08-22",45
"141","2012-08-23",52.200001
"142","2012-08-24",51
"143","2012-08-27",52.5
"144","2012-08-28",53.700001
"145","2012-08-29",51
"146","2012-08-30",49.5
"147","2012-08-31",51
"148","2012-09-04",52.5
"149","2012-09-05",49.5
"150","2012-09-06",48.599998
"151","2012-09-07",48.599998
"152","2012-09-10",49.5
"153","2012-09-11",48.599998
"154","2012-09-12",51
"155","2012-09-13",51
"156","2012-09-14",52.5
"157","2012-09-17",51
"158","2012-09-18",57
"159","2012-09-19",57
"160","2012-09-20",51
"161","2012-09-21",51
"162","2012-09-24",57
"163","2012-09-25",57
"164","2012-09-26",57
"165","2012-09-27",51
"166","2012-09-28",51
"167","2012-10-01",48
"168","2012-10-02",48
"169","2012-10-03",51
"170","2012-10-04",51
"171","2012-10-05",48
"172","2012-10-08",49.5
"173","2012-10-09",48
"174","2012-10-10",48
"175","2012-10-11",48
"176","2012-10-12",51
"177","2012-10-15",48
"178","2012-10-16",48
"179","2012-10-17",48
"180","2012-10-18",48
"181","2012-10-19",46.200001
"182","2012-10-22",48
"183","2012-10-23",48
"184","2012-10-24",49.5
"185","2012-10-25",46.5
"186","2012-10-26",40.5
"187","2012-10-31",45
"188","2012-11-01",40.5
"189","2012-11-02",42
"190","2012-11-05",40.5
"191","2012-11-06",40.799999
"192","2012-11-07",46.5
"193","2012-11-08",46.5
"194","2012-11-09",45.299999
"195","2012-11-12",45.299999
"196","2012-11-13",45.299999
"197","2012-11-14",45.299999
"198","2012-11-15",45
"199","2012-11-16",33
"200","2012-11-19",33
"201","2012-11-20",33
"202","2012-11-21",36
"203","2012-11-23",36
"204","2012-11-26",34.5
"205","2012-11-27",31.5
"206","2012-11-28",36
"207","2012-11-29",34.5
"208","2012-11-30",34.5
"209","2012-12-03",34.5
"210","2012-12-04",34.5
"211","2012-12-05",34.5
"212","2012-12-06",31.5
"213","2012-12-07",34.5
"214","2012-12-10",31.5
"215","2012-12-11",30.6
"216","2012-12-12",28.5
"217","2012-12-13",28.5
"218","2012-12-14",27
"219","2012-12-17",21.6
"220","2012-12-18",24
"221","2012-12-19",22.5
"222","2012-12-20",22.5
"223","2012-12-21",26.700001
"224","2012-12-24",26.700001
"225","2012-12-26",21
"226","2012-12-27",18
"227","2012-12-28",18
"228","2012-12-31",16.799999
"229","2013-01-02",19.5
"230","2013-01-03",19.5
"231","2013-01-04",18
"232","2013-01-07",18
"233","2013-01-08",18
"234","2013-01-09",18
"235","2013-01-10",16.799999
"236","2013-01-11",21
"237","2013-01-14",24
"238","2013-01-15",21
"239","2013-01-16",24
"240","2013-01-17",25.5
"241","2013-01-18",25.5
"242","2013-01-22",25.5
"243","2013-01-23",25.5
"244","2013-01-24",25.5
"245","2013-01-25",25.5
"246","2013-01-28",27
"247","2013-01-29",30
"248","2013-01-30",30
"249","2013-01-31",30
"250","2013-02-01",33
"251","2013-02-04",30
"252","2013-02-05",33
"253","2013-02-06",27
"254","2013-02-07",27
"255","2013-02-08",27
"256","2013-02-11",25.5
"257","2013-02-12",25.5
