"","date","MARPS"
"1","2007-01-03",25
"2","2007-01-04",24.209999
"3","2007-01-05",23.200001
"4","2007-01-08",23.82
"5","2007-01-09",23.299999
"6","2007-01-10",23.25
"7","2007-01-11",23.700001
"8","2007-01-12",23.74
"9","2007-01-16",23.74
"10","2007-01-17",23.26
"11","2007-01-18",23.26
"12","2007-01-19",23.5
"13","2007-01-22",23.6
"14","2007-01-23",24.59
"15","2007-01-24",24.25
"16","2007-01-25",24.58
"17","2007-01-26",24.6
"18","2007-01-29",24.969999
"19","2007-01-30",25
"20","2007-01-31",25.389999
"21","2007-02-01",25.35
"22","2007-02-02",25.42
"23","2007-02-05",25.49
"24","2007-02-06",26.139999
"25","2007-02-07",26
"26","2007-02-08",25.280001
"27","2007-02-09",25.75
"28","2007-02-12",25.48
"29","2007-02-13",24.870001
"30","2007-02-14",25.799999
"31","2007-02-15",26.16
"32","2007-02-16",26.5
"33","2007-02-20",26.5
"34","2007-02-21",26.75
"35","2007-02-22",27.450001
"36","2007-02-23",26.57
"37","2007-02-26",25.879999
"38","2007-02-27",25.059999
"39","2007-02-28",25.15
"40","2007-03-01",24.610001
"41","2007-03-02",26.799999
"42","2007-03-05",24.58
"43","2007-03-06",24.58
"44","2007-03-07",25.43
"45","2007-03-08",25.299999
"46","2007-03-09",25.879999
"47","2007-03-12",26.129999
"48","2007-03-13",25.23
"49","2007-03-14",25
"50","2007-03-15",24.549999
"51","2007-03-16",25.5
"52","2007-03-19",26
"53","2007-03-20",26
"54","2007-03-21",26.440001
"55","2007-03-22",26.49
"56","2007-03-23",26.059999
"57","2007-03-26",26.059999
"58","2007-03-27",26.01
"59","2007-03-28",26.4
"60","2007-03-29",25.01
"61","2007-03-30",26.5
"62","2007-04-02",26.5
"63","2007-04-03",26.049999
"64","2007-04-04",26.450001
"65","2007-04-05",26.690001
"66","2007-04-09",26.66
"67","2007-04-10",27.299999
"68","2007-04-11",27.309999
"69","2007-04-12",27.299999
"70","2007-04-13",27.49
"71","2007-04-16",27.48
"72","2007-04-17",27.25
"73","2007-04-18",26.51
"74","2007-04-19",27.5
"75","2007-04-20",27.9
"76","2007-04-23",29.35
"77","2007-04-24",29.85
"78","2007-04-25",29.65
"79","2007-04-26",29.65
"80","2007-04-27",29.99
"81","2007-04-30",29.969999
"82","2007-05-01",29.25
"83","2007-05-02",30.01
"84","2007-05-03",29.16
"85","2007-05-04",29.15
"86","2007-05-07",28.85
"87","2007-05-08",29.01
"88","2007-05-09",29.48
"89","2007-05-10",29.4
"90","2007-05-11",30.200001
"91","2007-05-14",30.879999
"92","2007-05-15",31.120001
"93","2007-05-16",31.190001
"94","2007-05-17",30.700001
"95","2007-05-18",29.23
"96","2007-05-21",29.65
"97","2007-05-22",31
"98","2007-05-23",31.49
"99","2007-05-24",31.049999
"100","2007-05-25",32.639999
"101","2007-05-29",30.49
"102","2007-05-30",30.950001
"103","2007-05-31",30.440001
"104","2007-06-01",30.639999
"105","2007-06-04",30.48
"106","2007-06-05",30.4
"107","2007-06-06",31
"108","2007-06-07",30.77
"109","2007-06-08",30.75
"110","2007-06-11",30.65
"111","2007-06-12",31.25
"112","2007-06-13",31.23
"113","2007-06-14",31.5
"114","2007-06-15",31.02
"115","2007-06-18",30.74
"116","2007-06-19",31
"117","2007-06-20",30.700001
"118","2007-06-21",31.25
"119","2007-06-22",31
"120","2007-06-25",31.25
"121","2007-06-26",31.1
"122","2007-06-27",31.040001
"123","2007-06-28",31.48
"124","2007-06-29",31.540001
"125","2007-07-02",31.35
"126","2007-07-03",31.58
"127","2007-07-05",32.259998
"128","2007-07-06",32.220001
"129","2007-07-09",32.299999
"130","2007-07-10",32.400002
"131","2007-07-11",32.599998
"132","2007-07-12",32.200001
"133","2007-07-13",32.110001
"134","2007-07-16",32.490002
"135","2007-07-17",32.5
"136","2007-07-18",32.25
"137","2007-07-19",32.919998
"138","2007-07-20",33.959999
"139","2007-07-23",34.709999
"140","2007-07-24",34.650002
"141","2007-07-25",33.540001
"142","2007-07-26",33.900002
"143","2007-07-27",33.5
"144","2007-07-30",35.209999
"145","2007-07-31",35.259998
"146","2007-08-01",35.400002
"147","2007-08-02",34.099998
"148","2007-08-03",33.900002
"149","2007-08-06",33.200001
"150","2007-08-07",32.099998
"151","2007-08-08",32
"152","2007-08-09",31.5
"153","2007-08-10",31.190001
"154","2007-08-13",31.18
"155","2007-08-14",31.18
"156","2007-08-15",30.629999
"157","2007-08-16",28
"158","2007-08-17",29.809999
"159","2007-08-20",30.5
"160","2007-08-21",30
"161","2007-08-22",31.9
"162","2007-08-23",33.099998
"163","2007-08-24",33.759998
"164","2007-08-27",34.950001
"165","2007-08-28",35.119999
"166","2007-08-29",34.43
"167","2007-08-30",34.049999
"168","2007-08-31",33.77
"169","2007-09-04",34.009998
"170","2007-09-05",34.009998
"171","2007-09-06",33.669998
"172","2007-09-07",33.700001
"173","2007-09-10",33.5
"174","2007-09-11",32.5
"175","2007-09-12",32
"176","2007-09-13",32
"177","2007-09-14",33.5
"178","2007-09-17",33.200001
"179","2007-09-18",31.85
"180","2007-09-19",31.35
"181","2007-09-20",31.35
"182","2007-09-21",31.49
"183","2007-09-24",31.98
"184","2007-09-25",32.5
"185","2007-09-26",32.48
"186","2007-09-27",32.759998
"187","2007-09-28",34
"188","2007-10-01",34.5
"189","2007-10-02",34.950001
