"","date","SHO"
"1","2007-01-03",26.59
"2","2007-01-04",26.690001
"3","2007-01-05",26.43
"4","2007-01-08",26.42
"5","2007-01-09",26.74
"6","2007-01-10",27.73
"7","2007-01-11",28
"8","2007-01-12",27.83
"9","2007-01-16",27.799999
"10","2007-01-17",27.58
"11","2007-01-18",27.299999
"12","2007-01-19",27.76
"13","2007-01-22",27.719999
"14","2007-01-23",27.780001
"15","2007-01-24",27.99
"16","2007-01-25",28.08
"17","2007-01-26",27.870001
"18","2007-01-29",27.370001
"19","2007-01-30",27.540001
"20","2007-01-31",28.290001
"21","2007-02-01",28.610001
"22","2007-02-02",28.75
"23","2007-02-05",28.799999
"24","2007-02-06",29.08
"25","2007-02-07",29.58
"26","2007-02-08",29.74
"27","2007-02-09",29.27
"28","2007-02-12",29.26
"29","2007-02-13",29.4
"30","2007-02-14",29.33
"31","2007-02-15",29.52
"32","2007-02-16",29.639999
"33","2007-02-20",29.780001
"34","2007-02-21",29.75
"35","2007-02-22",29.530001
"36","2007-02-23",29.450001
"37","2007-02-26",29.27
"38","2007-02-27",28.200001
"39","2007-02-28",28.34
"40","2007-03-01",28.030001
"41","2007-03-02",27.379999
"42","2007-03-05",26.35
"43","2007-03-06",26.98
"44","2007-03-07",26.4
"45","2007-03-08",26.59
"46","2007-03-09",27.25
"47","2007-03-12",27.84
"48","2007-03-13",27.24
"49","2007-03-14",27.379999
"50","2007-03-15",27.57
"51","2007-03-16",27.4
"52","2007-03-19",27.780001
"53","2007-03-20",27.91
"54","2007-03-21",28.35
"55","2007-03-22",28.07
"56","2007-03-23",27.98
"57","2007-03-26",27.24
"58","2007-03-27",26.870001
"59","2007-03-28",26.98
"60","2007-03-29",27.129999
"61","2007-03-30",27.26
"62","2007-04-02",27.389999
"63","2007-04-03",27.58
"64","2007-04-04",27.58
"65","2007-04-05",27.549999
"66","2007-04-09",27.370001
"67","2007-04-10",27.450001
"68","2007-04-11",27.389999
"69","2007-04-12",27.33
"70","2007-04-13",27.59
"71","2007-04-16",28.290001
"72","2007-04-17",28.91
"73","2007-04-18",28.639999
"74","2007-04-19",28.049999
"75","2007-04-20",28.43
"76","2007-04-23",28.719999
"77","2007-04-24",28.75
"78","2007-04-25",29.059999
"79","2007-04-26",29.02
"80","2007-04-27",28.879999
"81","2007-04-30",28.52
"82","2007-05-01",28.1
"83","2007-05-02",28.41
"84","2007-05-03",29.549999
"85","2007-05-04",29.35
"86","2007-05-07",29.549999
"87","2007-05-08",29.190001
