"","date","OLN"
"1","2007-01-03",16.77
"2","2007-01-04",16.73
"3","2007-01-05",16.52
"4","2007-01-08",16.51
"5","2007-01-09",16.459999
"6","2007-01-10",16.450001
"7","2007-01-11",16.83
"8","2007-01-12",17.07
"9","2007-01-16",16.950001
"10","2007-01-17",17
"11","2007-01-18",16.77
"12","2007-01-19",16.860001
"13","2007-01-22",16.469999
"14","2007-01-23",16.76
"15","2007-01-24",16.9
"16","2007-01-25",16.639999
"17","2007-01-26",17.049999
"18","2007-01-29",16.93
"19","2007-01-30",16.35
"20","2007-01-31",16.84
"21","2007-02-01",17.16
"22","2007-02-02",17.059999
"23","2007-02-05",16.67
"24","2007-02-06",16.620001
"25","2007-02-07",16.440001
"26","2007-02-08",16.200001
"27","2007-02-09",16.18
"28","2007-02-12",16.299999
"29","2007-02-13",16.66
"30","2007-02-14",16.690001
"31","2007-02-15",16.57
"32","2007-02-16",16.67
"33","2007-02-20",16.860001
"34","2007-02-21",17
"35","2007-02-22",16.860001
"36","2007-02-23",17.959999
"37","2007-02-26",17.85
"38","2007-02-27",16.83
"39","2007-02-28",17.280001
"40","2007-03-01",17.110001
"41","2007-03-02",16.860001
"42","2007-03-05",16.42
"43","2007-03-06",16.59
"44","2007-03-07",16.450001
"45","2007-03-08",16.639999
"46","2007-03-09",16.889999
"47","2007-03-12",16.860001
"48","2007-03-13",16.219999
"49","2007-03-14",16.41
"50","2007-03-15",16.370001
"51","2007-03-16",16.139999
"52","2007-03-19",16.41
"53","2007-03-20",16.49
"54","2007-03-21",16.959999
"55","2007-03-22",17.040001
"56","2007-03-23",17.15
"57","2007-03-26",17.25
"58","2007-03-27",16.83
"59","2007-03-28",16.66
"60","2007-03-29",16.969999
"61","2007-03-30",16.940001
"62","2007-04-02",16.76
"63","2007-04-03",17.049999
"64","2007-04-04",16.83
"65","2007-04-05",16.76
"66","2007-04-09",16.809999
"67","2007-04-10",16.780001
"68","2007-04-11",16.549999
"69","2007-04-12",16.5
"70","2007-04-13",16.700001
"71","2007-04-16",16.9
"72","2007-04-17",17.1
"73","2007-04-18",17.049999
"74","2007-04-19",17.02
"75","2007-04-20",17.049999
"76","2007-04-23",16.91
"77","2007-04-24",17.07
"78","2007-04-25",17.549999
"79","2007-04-26",17.17
"80","2007-04-27",17.9
"81","2007-04-30",17.139999
"82","2007-05-01",17.24
"83","2007-05-02",17.67
"84","2007-05-03",17.969999
"85","2007-05-04",18.549999
"86","2007-05-07",18.360001
"87","2007-05-08",18.280001
"88","2007-05-09",18.42
"89","2007-05-10",18.01
"90","2007-05-11",18.200001
"91","2007-05-14",18.040001
"92","2007-05-15",18.01
"93","2007-05-16",18.84
"94","2007-05-17",18.870001
"95","2007-05-18",19
"96","2007-05-21",19.51
"97","2007-05-22",20.4
"98","2007-05-23",20.370001
"99","2007-05-24",19.709999
"100","2007-05-25",20.049999
"101","2007-05-29",20.139999
"102","2007-05-30",20.4
"103","2007-05-31",20.24
"104","2007-06-01",20.440001
"105","2007-06-04",20.51
"106","2007-06-05",20.459999
"107","2007-06-06",20.049999
"108","2007-06-07",19.59
"109","2007-06-08",19.870001
"110","2007-06-11",19.559999
"111","2007-06-12",19.32
"112","2007-06-13",19.91
"113","2007-06-14",19.969999
"114","2007-06-15",20.1
"115","2007-06-18",20.43
"116","2007-06-19",20.389999
"117","2007-06-20",20.040001
"118","2007-06-21",20.219999
"119","2007-06-22",20.110001
"120","2007-06-25",19.73
"121","2007-06-26",19.93
"122","2007-06-27",20.09
"123","2007-06-28",20.73
"124","2007-06-29",21
"125","2007-07-02",21.299999
