"","date","FOE"
"1","2007-01-03",21.120001
"2","2007-01-04",21.52
"3","2007-01-05",21.1
"4","2007-01-08",20.700001
"5","2007-01-09",20.690001
"6","2007-01-10",20.620001
"7","2007-01-11",20.969999
"8","2007-01-12",21.18
"9","2007-01-16",20.9
"10","2007-01-17",21.02
"11","2007-01-18",20.780001
"12","2007-01-19",21.040001
"13","2007-01-22",20.85
"14","2007-01-23",21.110001
"15","2007-01-24",21.450001
"16","2007-01-25",21.01
"17","2007-01-26",21.16
"18","2007-01-29",20.99
"19","2007-01-30",21.370001
"20","2007-01-31",21.309999
"21","2007-02-01",21.82
"22","2007-02-02",21.99
"23","2007-02-05",21.76
"24","2007-02-06",21.99
"25","2007-02-07",22.370001
"26","2007-02-08",22.17
"27","2007-02-09",22.129999
"28","2007-02-12",22.18
"29","2007-02-13",22.370001
"30","2007-02-14",22.34
"31","2007-02-15",22.58
"32","2007-02-16",22.41
"33","2007-02-20",22.379999
"34","2007-02-21",22.610001
"35","2007-02-22",22.620001
"36","2007-02-23",22.690001
"37","2007-02-26",22.58
"38","2007-02-27",21.32
"39","2007-02-28",21.200001
"40","2007-03-01",21.040001
"41","2007-03-02",20.6
"42","2007-03-05",20.15
"43","2007-03-06",20.450001
"44","2007-03-07",20.34
"45","2007-03-08",20.690001
"46","2007-03-09",21.530001
"47","2007-03-12",21.799999
"48","2007-03-13",21.030001
"49","2007-03-14",21
"50","2007-03-15",21.08
"51","2007-03-16",20.35
"52","2007-03-19",20.950001
"53","2007-03-20",21.190001
"54","2007-03-21",21.59
"55","2007-03-22",21.450001
"56","2007-03-23",21.540001
"57","2007-03-26",21.6
"58","2007-03-27",21.530001
"59","2007-03-28",21.49
"60","2007-03-29",21.5
"61","2007-03-30",21.610001
"62","2007-04-02",21.940001
"63","2007-04-03",22.18
"64","2007-04-04",21.690001
"65","2007-04-05",21.6
"66","2007-04-09",21.59
"67","2007-04-10",21.030001
"68","2007-04-11",21
"69","2007-04-12",20.99
"70","2007-04-13",21.059999
