"","date","TRUE"
"1","2014-05-16",10.06
"2","2014-05-19",9.9
"3","2014-05-20",9.5
"4","2014-05-21",9.625
"5","2014-05-22",9.31
"6","2014-05-23",9.22
"7","2014-05-27",10.2
"8","2014-05-28",10.44
"9","2014-05-29",10.56
"10","2014-05-30",10.96
"11","2014-06-02",11.25
"12","2014-06-03",12.22
"13","2014-06-04",12.08
"14","2014-06-05",12.01
"15","2014-06-06",14.54
"16","2014-06-09",14.02
"17","2014-06-10",13.64
"18","2014-06-11",13.65
"19","2014-06-12",12.92
"20","2014-06-13",13.67
"21","2014-06-16",13.92
"22","2014-06-17",13.38
"23","2014-06-18",13.61
"24","2014-06-19",13.58
"25","2014-06-20",13.49
"26","2014-06-23",13.29
"27","2014-06-24",13.08
"28","2014-06-25",12.85
"29","2014-06-26",13.14
"30","2014-06-27",13.29
"31","2014-06-30",14.78
"32","2014-07-01",14.5
"33","2014-07-02",14.51
"34","2014-07-03",15.04
"35","2014-07-07",14.63
"36","2014-07-08",14.3
"37","2014-07-09",14.39
"38","2014-07-10",13.45
"39","2014-07-11",13.27
"40","2014-07-14",13.4
"41","2014-07-15",13.15
"42","2014-07-16",13.07
"43","2014-07-17",12.38
"44","2014-07-18",12.41
"45","2014-07-21",12.51
"46","2014-07-22",13
"47","2014-07-23",13.48
"48","2014-07-24",13.4
"49","2014-07-25",13.58
"50","2014-07-28",13.79
"51","2014-07-29",13.42
"52","2014-07-30",13.8
"53","2014-07-31",13.57
"54","2014-08-01",13.39
"55","2014-08-04",13.54
"56","2014-08-05",13.94
"57","2014-08-06",14.33
"58","2014-08-07",14.66
"59","2014-08-08",13.52
"60","2014-08-11",13.84
"61","2014-08-12",15.87
"62","2014-08-13",15.18
"63","2014-08-14",16.389999
"64","2014-08-15",15.76
"65","2014-08-18",16.459999
"66","2014-08-19",16.91
"67","2014-08-20",17.049999
"68","2014-08-21",18.73
"69","2014-08-22",20.9
"70","2014-08-25",20.040001
"71","2014-08-26",19.809999
"72","2014-08-27",19.43
"73","2014-08-28",19.4
"74","2014-08-29",20.67
"75","2014-09-02",23.85
"76","2014-09-03",22.5
"77","2014-09-04",21.84
"78","2014-09-05",24.15
"79","2014-09-08",23.469999
"80","2014-09-09",22.790001
"81","2014-09-10",21.200001
"82","2014-09-11",20.01
"83","2014-09-12",19.75
"84","2014-09-15",18.75
"85","2014-09-16",19.85
"86","2014-09-17",19.42
"87","2014-09-18",18.77
"88","2014-09-19",18.1
"89","2014-09-22",17.65
"90","2014-09-23",16.950001
"91","2014-09-24",17.540001
"92","2014-09-25",17.889999
"93","2014-09-26",17.9
"94","2014-09-29",17.450001
"95","2014-09-30",17.950001
"96","2014-10-01",18.43
"97","2014-10-02",20.07
"98","2014-10-03",21.1
"99","2014-10-06",20.85
"100","2014-10-07",20.76
"101","2014-10-08",23.059999
"102","2014-10-09",21.75
"103","2014-10-10",19.67
"104","2014-10-13",18.51
"105","2014-10-14",18.639999
"106","2014-10-15",20.700001
"107","2014-10-16",20.389999
"108","2014-10-17",20.32
"109","2014-10-20",19.84
"110","2014-10-21",18.67
"111","2014-10-22",17.780001
"112","2014-10-23",18.4
"113","2014-10-24",18
"114","2014-10-27",17.139999
"115","2014-10-28",17.26
"116","2014-10-29",16.91
"117","2014-10-30",16.450001
"118","2014-10-31",16.799999
"119","2014-11-03",17.51
"120","2014-11-04",17.190001
"121","2014-11-05",16.620001
"122","2014-11-06",16.34
"123","2014-11-07",16.42
"124","2014-11-10",16.559999
"125","2014-11-11",17.49
"126","2014-11-12",17.43
"127","2014-11-13",16.889999
"128","2014-11-14",17.75
"129","2014-11-17",17.6
"130","2014-11-18",17.42
"131","2014-11-19",17.58
"132","2014-11-20",18.049999
"133","2014-11-21",17.959999
"134","2014-11-24",19
"135","2014-11-25",19.530001
"136","2014-11-26",19.139999
"137","2014-11-28",19.16
"138","2014-12-01",18.959999
"139","2014-12-02",20.309999
"140","2014-12-03",21
"141","2014-12-04",20.940001
"142","2014-12-05",21.5
"143","2014-12-08",20.75
"144","2014-12-09",21.58
"145","2014-12-10",22.01
"146","2014-12-11",23.030001
"147","2014-12-12",21.35
"148","2014-12-15",20.9
"149","2014-12-16",19.32
"150","2014-12-17",20.99
"151","2014-12-18",21.219999
"152","2014-12-19",21.290001
"153","2014-12-22",22.23
"154","2014-12-23",23.190001
"155","2014-12-24",23.5
"156","2014-12-26",23.950001
"157","2014-12-29",22.75
"158","2014-12-30",23.360001
"159","2014-12-31",22.9
"160","2015-01-02",21.76
"161","2015-01-05",21.629999
"162","2015-01-06",21.67
"163","2015-01-07",20.940001
"164","2015-01-08",20.25
"165","2015-01-09",21.25
"166","2015-01-12",20.799999
"167","2015-01-13",21.1
"168","2015-01-14",19.610001
"169","2015-01-15",18.540001
"170","2015-01-16",18.74
"171","2015-01-20",18.030001
"172","2015-01-21",17.66
"173","2015-01-22",18.15
"174","2015-01-23",17.950001
"175","2015-01-26",18.16
"176","2015-01-27",17.620001
"177","2015-01-28",17.93
"178","2015-01-29",17.809999
"179","2015-01-30",17.58
"180","2015-02-02",18.389999
"181","2015-02-03",19.290001
"182","2015-02-04",18.879999
"183","2015-02-05",19.98
"184","2015-02-06",19.27
"185","2015-02-09",18.74
"186","2015-02-10",18.35
"187","2015-02-11",19.49
