"","date","BLI"
"1","2020-07-17",65.449997
"2","2020-07-20",62.099998
"3","2020-07-21",58.5
"4","2020-07-22",56
"5","2020-07-23",58.099998
"6","2020-07-24",59.5
"7","2020-07-27",57.599998
"8","2020-07-28",57.900002
"9","2020-07-29",59
"10","2020-07-30",58.599998
"11","2020-07-31",59.970001
"12","2020-08-03",71.199997
"13","2020-08-04",71.860001
"14","2020-08-05",65.959999
"15","2020-08-06",64
"16","2020-08-07",57.549999
"17","2020-08-10",58.150002
"18","2020-08-11",56.419998
"19","2020-08-12",60
"20","2020-08-13",61.110001
"21","2020-08-14",62.27
"22","2020-08-17",59.75
"23","2020-08-18",58.77
"24","2020-08-19",57.73
"25","2020-08-20",61.52
"26","2020-08-21",63.299999
"27","2020-08-24",65.93
"28","2020-08-25",71.849998
"29","2020-08-26",63
"30","2020-08-27",63.68
"31","2020-08-28",67.709999
"32","2020-08-31",65.400002
"33","2020-09-01",64.879997
"34","2020-09-02",66.169998
"35","2020-09-03",63.25
"36","2020-09-04",62.400002
"37","2020-09-08",60.450001
"38","2020-09-09",60.02
"39","2020-09-10",59.560001
"40","2020-09-11",58.700001
"41","2020-09-14",60.57
"42","2020-09-15",61.709999
"43","2020-09-16",61.810001
"44","2020-09-17",66.510002
"45","2020-09-18",72.309998
"46","2020-09-21",72.690002
"47","2020-09-22",70.389999
"48","2020-09-23",68.690002
"49","2020-09-24",68.040001
"50","2020-09-25",66.599998
"51","2020-09-28",70.190002
"52","2020-09-29",74.379997
"53","2020-09-30",76.360001
"54","2020-10-01",76.989998
"55","2020-10-02",78.18
"56","2020-10-05",81.620003
"57","2020-10-06",85.080002
"58","2020-10-07",86.5
"59","2020-10-08",84.599998
"60","2020-10-09",83.970001
"61","2020-10-12",83.610001
"62","2020-10-13",81.050003
"63","2020-10-14",80.389999
"64","2020-10-15",77.440002
"65","2020-10-16",75.110001
"66","2020-10-19",74.959999
"67","2020-10-20",78.559998
"68","2020-10-21",77.139999
"69","2020-10-22",78.559998
"70","2020-10-23",75.599998
"71","2020-10-26",73.800003
"72","2020-10-27",74.75
"73","2020-10-28",78.059998
"74","2020-10-29",75.900002
"75","2020-10-30",72.57
"76","2020-11-02",70.379997
"77","2020-11-03",71.959999
"78","2020-11-04",75.269997
"79","2020-11-05",79.739998
"80","2020-11-06",83.449997
"81","2020-11-09",87.730003
"82","2020-11-10",87.059998
"83","2020-11-11",82.57
"84","2020-11-12",90.830002
"85","2020-11-13",95
"86","2020-11-16",90.169998
"87","2020-11-17",86.080002
"88","2020-11-18",93.010002
"89","2020-11-19",81.629997
"90","2020-11-20",83.779999
"91","2020-11-23",83.360001
"92","2020-11-24",82.489998
"93","2020-11-25",77.980003
"94","2020-11-27",81.940002
