"","date","WY"
"1","2007-01-03",72.5
"2","2007-01-04",71.769997
"3","2007-01-05",71.540001
"4","2007-01-08",72.169998
"5","2007-01-09",71.800003
"6","2007-01-10",71.370003
"7","2007-01-11",72.449997
"8","2007-01-12",73
"9","2007-01-16",72.900002
"10","2007-01-17",72.129997
"11","2007-01-18",72.010002
"12","2007-01-19",74.25
"13","2007-01-22",73.379997
"14","2007-01-23",74.669998
"15","2007-01-24",74.970001
"16","2007-01-25",74.779999
"17","2007-01-26",75.150002
"18","2007-01-29",75.32
"19","2007-01-30",74.830002
"20","2007-01-31",75
"21","2007-02-01",75.57
"22","2007-02-02",76.519997
"23","2007-02-05",78.220001
"24","2007-02-06",78.970001
"25","2007-02-07",79.260002
"26","2007-02-08",78.989998
"27","2007-02-09",78.139999
"28","2007-02-12",78.440002
"29","2007-02-13",80.949997
"30","2007-02-14",81.559998
"31","2007-02-15",82.389999
"32","2007-02-16",83.029999
"33","2007-02-20",82.830002
"34","2007-02-21",83.57
"35","2007-02-22",83.07
"36","2007-02-23",82.25
"37","2007-02-26",86.019997
"38","2007-02-27",84.75
"39","2007-02-28",85.910004
"40","2007-03-01",86
"41","2007-03-02",86.18
"42","2007-03-05",84.75
"43","2007-03-06",86.199997
"44","2007-03-07",84.150002
"45","2007-03-08",82.5
"46","2007-03-09",82.169998
"47","2007-03-12",80.879997
"48","2007-03-13",79.099998
"49","2007-03-14",78.830002
"50","2007-03-15",79.580002
"51","2007-03-16",79.190002
"52","2007-03-19",78.809998
"53","2007-03-20",78.099998
"54","2007-03-21",78.480003
"55","2007-03-22",77.669998
"56","2007-03-23",78.059998
"57","2007-03-26",77.440002
"58","2007-03-27",75.970001
"59","2007-03-28",74.800003
"60","2007-03-29",74.629997
"61","2007-03-30",74.739998
"62","2007-04-02",74.949997
"63","2007-04-03",76.519997
"64","2007-04-04",76.709999
"65","2007-04-05",75.760002
"66","2007-04-09",76.209999
"67","2007-04-10",75.980003
"68","2007-04-11",74.690002
"69","2007-04-12",75.199997
"70","2007-04-13",76.019997
"71","2007-04-16",79.099998
"72","2007-04-17",77.730003
"73","2007-04-18",77.480003
"74","2007-04-19",76.440002
"75","2007-04-20",77.5
"76","2007-04-23",77.089996
"77","2007-04-24",76.529999
"78","2007-04-25",77.349998
"79","2007-04-26",81.25
"80","2007-04-27",81.349998
"81","2007-04-30",79.220001
"82","2007-05-01",78.910004
"83","2007-05-02",79.330002
"84","2007-05-03",78.150002
"85","2007-05-04",82.620003
"86","2007-05-07",82.139999
"87","2007-05-08",81.860001
"88","2007-05-09",82.150002
"89","2007-05-10",80.809998
"90","2007-05-11",81.339996
"91","2007-05-14",81
"92","2007-05-15",80.029999
"93","2007-05-16",79.440002
"94","2007-05-17",79.919998
"95","2007-05-18",80.139999
"96","2007-05-21",80.470001
"97","2007-05-22",80.349998
"98","2007-05-23",79.650002
"99","2007-05-24",79.07
"100","2007-05-25",79.949997
"101","2007-05-29",80.190002
"102","2007-05-30",80.959999
"103","2007-05-31",81.959999
"104","2007-06-01",82.349998
"105","2007-06-04",82.43
"106","2007-06-05",82.269997
"107","2007-06-06",81.400002
"108","2007-06-07",80.059998
"109","2007-06-08",81.610001
"110","2007-06-11",80.669998
"111","2007-06-12",80.269997
"112","2007-06-13",82
"113","2007-06-14",81.800003
"114","2007-06-15",82.050003
"115","2007-06-18",81.529999
"116","2007-06-19",81.209999
"117","2007-06-20",80.68
"118","2007-06-21",81.599998
"119","2007-06-22",80.57
"120","2007-06-25",79.980003
"121","2007-06-26",78.330002
"122","2007-06-27",78.690002
"123","2007-06-28",79.150002
"124","2007-06-29",78.93
"125","2007-07-02",80.019997
"126","2007-07-03",80.68
"127","2007-07-05",80.93
"128","2007-07-06",80.650002
"129","2007-07-09",80.400002
"130","2007-07-10",78.839996
"131","2007-07-11",78.690002
"132","2007-07-12",79.629997
"133","2007-07-13",81.68
"134","2007-07-16",81.5
"135","2007-07-17",82.760002
"136","2007-07-18",82.980003
"137","2007-07-19",84.050003
"138","2007-07-20",81.400002
"139","2007-07-23",82.629997
"140","2007-07-24",79.75
"141","2007-07-25",79.230003
"142","2007-07-26",75.720001
"143","2007-07-27",72
"144","2007-07-30",73.379997
