"","date","INVH"
"1","2017-02-01",20
"2","2017-02-02",20.23
"3","2017-02-03",20.629999
"4","2017-02-06",20.73
"5","2017-02-07",20.799999
"6","2017-02-08",20.84
"7","2017-02-09",20.879999
"8","2017-02-10",21.02
"9","2017-02-13",21
"10","2017-02-14",21.030001
"11","2017-02-15",20.91
"12","2017-02-16",20.959999
"13","2017-02-17",21.15
"14","2017-02-21",21.469999
"15","2017-02-22",21.57
"16","2017-02-23",21.58
"17","2017-02-24",21.6
"18","2017-02-27",21.809999
"19","2017-02-28",21.790001
"20","2017-03-01",21.530001
"21","2017-03-02",21.719999
"22","2017-03-03",21.809999
"23","2017-03-06",21.92
"24","2017-03-07",21.809999
"25","2017-03-08",21.549999
"26","2017-03-09",21.24
"27","2017-03-10",21.4
"28","2017-03-13",21.379999
"29","2017-03-14",21.25
"30","2017-03-15",21.52
"31","2017-03-16",21.48
"32","2017-03-17",21.6
"33","2017-03-20",21.540001
"34","2017-03-21",21.389999
"35","2017-03-22",21.5
"36","2017-03-23",21.49
"37","2017-03-24",21.58
"38","2017-03-27",21.530001
"39","2017-03-28",21.639999
"40","2017-03-29",21.690001
"41","2017-03-30",21.75
"42","2017-03-31",21.83
"43","2017-04-03",21.629999
"44","2017-04-04",21.540001
"45","2017-04-05",21.58
"46","2017-04-06",21.700001
"47","2017-04-07",21.610001
"48","2017-04-10",21.639999
"49","2017-04-11",21.549999
"50","2017-04-12",21.549999
"51","2017-04-13",21.290001
"52","2017-04-17",21.67
"53","2017-04-18",21.77
"54","2017-04-19",21.75
"55","2017-04-20",21.49
"56","2017-04-21",21.66
"57","2017-04-24",21.639999
"58","2017-04-25",21.719999
"59","2017-04-26",21.68
"60","2017-04-27",21.59
"61","2017-04-28",21.549999
"62","2017-05-01",21.68
"63","2017-05-02",21.52
"64","2017-05-03",21.48
"65","2017-05-04",21.200001
"66","2017-05-05",21.27
"67","2017-05-08",21.280001
"68","2017-05-09",21.450001
"69","2017-05-10",21.67
"70","2017-05-11",21.9
"71","2017-05-12",21.790001
"72","2017-05-15",21.9
"73","2017-05-16",21.370001
"74","2017-05-17",21.540001
"75","2017-05-18",21.65
"76","2017-05-19",21.780001
"77","2017-05-22",21.67
"78","2017-05-23",21.559999
"79","2017-05-24",21.639999
"80","2017-05-25",21.200001
"81","2017-05-26",21.200001
"82","2017-05-30",21.360001
"83","2017-05-31",21.52
"84","2017-06-01",21.68
"85","2017-06-02",21.93
"86","2017-06-05",21.58
"87","2017-06-06",21.52
"88","2017-06-07",21.299999
"89","2017-06-08",21.18
"90","2017-06-09",21.4
"91","2017-06-12",21.450001
"92","2017-06-13",21.41
"93","2017-06-14",21.5
"94","2017-06-15",21.459999
"95","2017-06-16",21.23
"96","2017-06-19",21.610001
"97","2017-06-20",21.370001
"98","2017-06-21",21.290001
"99","2017-06-22",21.440001
"100","2017-06-23",21.719999
