"","date","XNET"
"1","2014-06-24",14.9
"2","2014-06-25",15.26
"3","2014-06-26",15.13
"4","2014-06-27",15.09
"5","2014-06-30",14.97
"6","2014-07-01",14.58
"7","2014-07-02",14.69
"8","2014-07-03",14.55
"9","2014-07-07",14.33
"10","2014-07-08",13.79
"11","2014-07-09",13.5
"12","2014-07-10",14.25
"13","2014-07-11",13.82
"14","2014-07-14",13.77
"15","2014-07-15",13.65
"16","2014-07-16",13.22
"17","2014-07-17",13.02
"18","2014-07-18",12.95
"19","2014-07-21",12.28
"20","2014-07-22",12.25
"21","2014-07-23",12.59
"22","2014-07-24",12.7
"23","2014-07-25",12.75
"24","2014-07-28",12.5
"25","2014-07-29",12.58
"26","2014-07-30",12.42
"27","2014-07-31",12.01
"28","2014-08-01",12.69
"29","2014-08-04",13.03
"30","2014-08-05",12.81
"31","2014-08-06",12.77
"32","2014-08-07",13.3
"33","2014-08-08",13.23
"34","2014-08-11",12.95
"35","2014-08-12",12.9
"36","2014-08-13",12.62
"37","2014-08-14",12.26
"38","2014-08-15",12.11
"39","2014-08-18",12.03
"40","2014-08-19",11.36
"41","2014-08-20",10.39
"42","2014-08-21",11.83
"43","2014-08-22",11.87
"44","2014-08-25",11.39
"45","2014-08-26",11.06
"46","2014-08-27",10.87
"47","2014-08-28",11.2
"48","2014-08-29",11.23
"49","2014-09-02",11.48
"50","2014-09-03",11.48
"51","2014-09-04",12.08
"52","2014-09-05",13.33
"53","2014-09-08",13.85
"54","2014-09-09",13.88
"55","2014-09-10",13.35
"56","2014-09-11",13.15
"57","2014-09-12",12.8
"58","2014-09-15",12.25
"59","2014-09-16",12.06
"60","2014-09-17",11.8
"61","2014-09-18",11.5
"62","2014-09-19",11.51
"63","2014-09-22",11.14
"64","2014-09-23",11.16
"65","2014-09-24",11.3
"66","2014-09-25",10.92
"67","2014-09-26",10.5
"68","2014-09-29",11.01
"69","2014-09-30",10.75
"70","2014-10-01",10.68
"71","2014-10-02",10.92
"72","2014-10-03",11.24
"73","2014-10-06",11.17
"74","2014-10-07",10.74
"75","2014-10-08",10.74
"76","2014-10-09",10.554
"77","2014-10-10",10.16
"78","2014-10-13",9.89
"79","2014-10-14",10.01
"80","2014-10-15",10.155
"81","2014-10-16",10.28
"82","2014-10-17",10.05
"83","2014-10-20",9.98
"84","2014-10-21",10.56
"85","2014-10-22",10.44
"86","2014-10-23",9.98
"87","2014-10-24",9.77
"88","2014-10-27",9.01
"89","2014-10-28",9.34
"90","2014-10-29",9.03
"91","2014-10-30",8.84
"92","2014-10-31",9
"93","2014-11-03",9.22
"94","2014-11-04",9.82
