"","date","STZ"
"1","2007-01-03",28.4
"2","2007-01-04",25.15
"3","2007-01-05",24.41
"4","2007-01-08",24.709999
"5","2007-01-09",24.65
"6","2007-01-10",24.92
"7","2007-01-11",24.950001
"8","2007-01-12",24.879999
"9","2007-01-16",24.74
"10","2007-01-17",24.799999
"11","2007-01-18",24.950001
"12","2007-01-19",24.950001
"13","2007-01-22",24.76
"14","2007-01-23",25
"15","2007-01-24",25.290001
"16","2007-01-25",25.129999
"17","2007-01-26",25.129999
"18","2007-01-29",24.860001
"19","2007-01-30",24.889999
"20","2007-01-31",24.74
"21","2007-02-01",24.58
"22","2007-02-02",24.67
"23","2007-02-05",24.51
"24","2007-02-06",24.360001
"25","2007-02-07",24.35
"26","2007-02-08",24.280001
"27","2007-02-09",24.129999
"28","2007-02-12",24.110001
"29","2007-02-13",24.07
"30","2007-02-14",24.5
"31","2007-02-15",24.5
"32","2007-02-16",24.01
"33","2007-02-20",24.01
"34","2007-02-21",24.049999
"35","2007-02-22",23.889999
"36","2007-02-23",23.950001
"37","2007-02-26",23.82
"38","2007-02-27",23.24
"39","2007-02-28",23.459999
"40","2007-03-01",20.059999
"41","2007-03-02",19.49
"42","2007-03-05",19.129999
"43","2007-03-06",19.25
"44","2007-03-07",19.02
"45","2007-03-08",18.959999
"46","2007-03-09",19.190001
"47","2007-03-12",19.559999
"48","2007-03-13",19.120001
"49","2007-03-14",19.299999
"50","2007-03-15",19.360001
"51","2007-03-16",19.27
"52","2007-03-19",19.25
"53","2007-03-20",19.48
"54","2007-03-21",19.780001
"55","2007-03-22",19.959999
"56","2007-03-23",20.35
"57","2007-03-26",20.620001
"58","2007-03-27",20.52
"59","2007-03-28",20.559999
"60","2007-03-29",20.83
"61","2007-03-30",21.18
"62","2007-04-02",20.9
"63","2007-04-03",20.790001
"64","2007-04-04",20.82
"65","2007-04-05",21.49
"66","2007-04-09",21.540001
"67","2007-04-10",21.639999
"68","2007-04-11",21.57
"69","2007-04-12",21.98
"70","2007-04-13",21.82
"71","2007-04-16",22.23
"72","2007-04-17",21.709999
"73","2007-04-18",22.27
"74","2007-04-19",22.17
"75","2007-04-20",22.49
"76","2007-04-23",22.709999
"77","2007-04-24",22.549999
"78","2007-04-25",22.4
"79","2007-04-26",22.700001
"80","2007-04-27",22.780001
"81","2007-04-30",22.41
"82","2007-05-01",22.700001
"83","2007-05-02",22.709999
"84","2007-05-03",22.83
"85","2007-05-04",22.48
"86","2007-05-07",23
"87","2007-05-08",23.309999
"88","2007-05-09",23.549999
"89","2007-05-10",23.58
"90","2007-05-11",23.639999
"91","2007-05-14",23.889999
"92","2007-05-15",23.84
"93","2007-05-16",24.030001
"94","2007-05-17",24.32
"95","2007-05-18",24.389999
"96","2007-05-21",24.52
"97","2007-05-22",24.389999
"98","2007-05-23",24.26
"99","2007-05-24",24.17
"100","2007-05-25",24.200001
"101","2007-05-29",24.17
"102","2007-05-30",24.33
"103","2007-05-31",24.299999
"104","2007-06-01",24.27
"105","2007-06-04",24.15
"106","2007-06-05",23.950001
"107","2007-06-06",23.700001
"108","2007-06-07",23.09
"109","2007-06-08",23.389999
"110","2007-06-11",23.66
"111","2007-06-12",23.459999
"112","2007-06-13",23.93
"113","2007-06-14",23.879999
"114","2007-06-15",24.01
"115","2007-06-18",24.209999
"116","2007-06-19",24.27
"117","2007-06-20",23.84
"118","2007-06-21",24.02
"119","2007-06-22",24.15
"120","2007-06-25",23.85
"121","2007-06-26",23.639999
"122","2007-06-27",24.129999
"123","2007-06-28",24.98
"124","2007-06-29",24.280001
"125","2007-07-02",24.940001
"126","2007-07-03",24.870001
"127","2007-07-05",24.280001
"128","2007-07-06",24.32
"129","2007-07-09",24.07
"130","2007-07-10",23.559999
"131","2007-07-11",23.52
"132","2007-07-12",23.75
"133","2007-07-13",23.440001
"134","2007-07-16",23.139999
"135","2007-07-17",23.07
"136","2007-07-18",23.1
"137","2007-07-19",23.209999
"138","2007-07-20",22.969999
"139","2007-07-23",23.120001
"140","2007-07-24",22.860001
"141","2007-07-25",22.790001
"142","2007-07-26",22.08
"143","2007-07-27",21.93
"144","2007-07-30",22.18
"145","2007-07-31",21.93
"146","2007-08-01",22.1
"147","2007-08-02",22.139999
"148","2007-08-03",22.049999
"149","2007-08-06",23.049999
"150","2007-08-07",23.73
"151","2007-08-08",24.42
"152","2007-08-09",24.85
"153","2007-08-10",24.25
"154","2007-08-13",23.540001
"155","2007-08-14",23.24
"156","2007-08-15",23.09
"157","2007-08-16",22.969999
"158","2007-08-17",23.389999
"159","2007-08-20",24.16
"160","2007-08-21",24.129999
"161","2007-08-22",24.299999
"162","2007-08-23",24.299999
"163","2007-08-24",24.360001
"164","2007-08-27",24.200001
"165","2007-08-28",23.440001
