"","date","GTLS"
"1","2007-01-03",16.110001
"2","2007-01-04",16.059999
"3","2007-01-05",15.63
"4","2007-01-08",15.19
"5","2007-01-09",15.15
"6","2007-01-10",15.2
"7","2007-01-11",15.54
"8","2007-01-12",15.99
"9","2007-01-16",15.72
"10","2007-01-17",15.94
"11","2007-01-18",15.39
"12","2007-01-19",15.66
"13","2007-01-22",16.040001
"14","2007-01-23",16.49
"15","2007-01-24",16.52
"16","2007-01-25",15.81
"17","2007-01-26",15.75
"18","2007-01-29",15.64
"19","2007-01-30",15.6
"20","2007-01-31",16.040001
"21","2007-02-01",16.25
"22","2007-02-02",16.129999
"23","2007-02-05",16.1
"24","2007-02-06",16.1
"25","2007-02-07",16.040001
"26","2007-02-08",15.89
"27","2007-02-09",15.91
"28","2007-02-12",16.370001
"29","2007-02-13",17.51
"30","2007-02-14",17.5
"31","2007-02-15",17.33
"32","2007-02-16",17.26
"33","2007-02-20",17.280001
"34","2007-02-21",17.379999
"35","2007-02-22",17.92
"36","2007-02-23",18.200001
"37","2007-02-26",18.24
"38","2007-02-27",17.17
"39","2007-02-28",16.99
"40","2007-03-01",16.76
"41","2007-03-02",16.5
"42","2007-03-05",16.17
"43","2007-03-06",16.530001
"44","2007-03-07",17.049999
"45","2007-03-08",17
"46","2007-03-09",17.77
"47","2007-03-12",17.9
"48","2007-03-13",16.469999
"49","2007-03-14",15.86
"50","2007-03-15",17.16
"51","2007-03-16",17.18
"52","2007-03-19",17.290001
"53","2007-03-20",17.389999
"54","2007-03-21",17.6
"55","2007-03-22",17.6
"56","2007-03-23",17.200001
"57","2007-03-26",17.780001
"58","2007-03-27",18.52
"59","2007-03-28",18.09
"60","2007-03-29",17.389999
"61","2007-03-30",18.16
"62","2007-04-02",17.809999
"63","2007-04-03",17.41
"64","2007-04-04",17.32
"65","2007-04-05",17.639999
"66","2007-04-09",17.32
"67","2007-04-10",17.17
"68","2007-04-11",17.1
"69","2007-04-12",17.4
"70","2007-04-13",18.389999
"71","2007-04-16",19.4
"72","2007-04-17",20.309999
"73","2007-04-18",20.01
"74","2007-04-19",19.43
"75","2007-04-20",19.92
"76","2007-04-23",19.67
"77","2007-04-24",19.26
"78","2007-04-25",18.879999
"79","2007-04-26",19.02
"80","2007-04-27",19.110001
"81","2007-04-30",18.85
"82","2007-05-01",18.93
"83","2007-05-02",19.5
"84","2007-05-03",19.76
"85","2007-05-04",19.5
"86","2007-05-07",19.120001
"87","2007-05-08",18.889999
"88","2007-05-09",19.889999
"89","2007-05-10",19.1
"90","2007-05-11",19.76
"91","2007-05-14",19.74
"92","2007-05-15",19.799999
"93","2007-05-16",20.559999
"94","2007-05-17",20.540001
"95","2007-05-18",20.700001
"96","2007-05-21",20.639999
"97","2007-05-22",21.379999
"98","2007-05-23",22.389999
"99","2007-05-24",21.459999
"100","2007-05-25",21.860001
"101","2007-05-29",22.870001
"102","2007-05-30",24.08
"103","2007-05-31",23.01
"104","2007-06-01",23.200001
"105","2007-06-04",22.6
"106","2007-06-05",22.299999
"107","2007-06-06",21.25
"108","2007-06-07",22.15
"109","2007-06-08",22.1
"110","2007-06-11",22.32
"111","2007-06-12",23.049999
"112","2007-06-13",23.08
"113","2007-06-14",24.48
"114","2007-06-15",24.040001
"115","2007-06-18",24.66
"116","2007-06-19",24.73
"117","2007-06-20",26.639999
"118","2007-06-21",27.25
"119","2007-06-22",28.15
"120","2007-06-25",27.280001
"121","2007-06-26",26.84
"122","2007-06-27",27.5
