"","date","STRM"
"1","2007-01-03",5.68
"2","2007-01-04",5.7
"3","2007-01-05",5.72
"4","2007-01-08",5.72
"5","2007-01-09",5.7
"6","2007-01-10",5.75
"7","2007-01-11",5.75
"8","2007-01-12",5.75
"9","2007-01-16",5.75
"10","2007-01-17",5.7
"11","2007-01-18",5.88
"12","2007-01-19",5.86
"13","2007-01-22",5.83
"14","2007-01-23",5.75
"15","2007-01-24",5.67
"16","2007-01-25",5.66
"17","2007-01-26",5.72
"18","2007-01-29",5.57
"19","2007-01-30",5.56
"20","2007-01-31",5.64
"21","2007-02-01",5.72
"22","2007-02-02",5.75
"23","2007-02-05",5.7
"24","2007-02-06",5.61
"25","2007-02-07",5.71
"26","2007-02-08",5.63
"27","2007-02-09",5.54
"28","2007-02-12",5.4
"29","2007-02-13",5.25
"30","2007-02-14",5.17
"31","2007-02-15",5.15
"32","2007-02-16",5.11
"33","2007-02-20",5.19
"34","2007-02-21",5.15
"35","2007-02-22",5.07
"36","2007-02-23",5.11
"37","2007-02-26",5.15
"38","2007-02-27",5.02
"39","2007-02-28",5.14
"40","2007-03-01",5.1
"41","2007-03-02",5.07
"42","2007-03-05",5.09
"43","2007-03-06",5.09
"44","2007-03-07",5.15
"45","2007-03-08",5.16
"46","2007-03-09",5.15
"47","2007-03-12",5.07
"48","2007-03-13",5.02
"49","2007-03-14",4.94
"50","2007-03-15",4.9
"51","2007-03-16",4.69
"52","2007-03-19",4.74
"53","2007-03-20",4.72
"54","2007-03-21",4.5
"55","2007-03-22",4.51
"56","2007-03-23",4.39
"57","2007-03-26",4.36
"58","2007-03-27",4.4
"59","2007-03-28",4.45
"60","2007-03-29",4.01
"61","2007-03-30",4.27
"62","2007-04-02",4.29
"63","2007-04-03",3.98
"64","2007-04-04",4.01
"65","2007-04-05",4.04
"66","2007-04-09",3.9
"67","2007-04-10",3.86
"68","2007-04-11",3.75
"69","2007-04-12",4.1
"70","2007-04-13",4.27
"71","2007-04-16",4.59
"72","2007-04-17",4.77
"73","2007-04-18",4.9
"74","2007-04-19",4.85
"75","2007-04-20",4.98
"76","2007-04-23",4.87
"77","2007-04-24",4.72
"78","2007-04-25",4.64
"79","2007-04-26",4.56
"80","2007-04-27",4.5
"81","2007-04-30",4.72
"82","2007-05-01",4.54
"83","2007-05-02",4.61
"84","2007-05-03",4.66
"85","2007-05-04",4.67
"86","2007-05-07",4.6
"87","2007-05-08",4.55
"88","2007-05-09",4.64
"89","2007-05-10",4.65
"90","2007-05-11",4.7
"91","2007-05-14",4.5
"92","2007-05-15",4.37
"93","2007-05-16",4.84
"94","2007-05-17",4.93
"95","2007-05-18",4.88
"96","2007-05-21",4.92
"97","2007-05-22",4.19
"98","2007-05-23",4.35
"99","2007-05-24",4.44
"100","2007-05-25",4.31
"101","2007-05-29",4.4
"102","2007-05-30",4.36
"103","2007-05-31",4.5
"104","2007-06-01",4.45
"105","2007-06-04",4.45
"106","2007-06-05",4.3
"107","2007-06-06",4.4
"108","2007-06-07",4.32
"109","2007-06-08",4.32
"110","2007-06-11",4.25
"111","2007-06-12",4.25
"112","2007-06-13",4.25
"113","2007-06-14",4.2
"114","2007-06-15",4.2
"115","2007-06-18",4.21
"116","2007-06-19",4.05
"117","2007-06-20",3.83
"118","2007-06-21",3.85
"119","2007-06-22",4.09
"120","2007-06-25",4.17
"121","2007-06-26",4.15
"122","2007-06-27",4.12
"123","2007-06-28",4.2
"124","2007-06-29",4.19
"125","2007-07-02",4.07
"126","2007-07-03",4.07
"127","2007-07-05",4.04
"128","2007-07-06",4.1
"129","2007-07-09",4.07
"130","2007-07-10",4.01
"131","2007-07-11",3.98
"132","2007-07-12",3.99
"133","2007-07-13",3.91
"134","2007-07-16",3.85
"135","2007-07-17",3.8
"136","2007-07-18",3.85
"137","2007-07-19",3.78
"138","2007-07-20",3.69
"139","2007-07-23",3.79
"140","2007-07-24",3.64
"141","2007-07-25",3.72
"142","2007-07-26",3.52
"143","2007-07-27",3.44
"144","2007-07-30",3.59
