"","date","CUE"
"1","2018-01-02",11.63
"2","2018-01-03",12.75
"3","2018-01-04",13.75
"4","2018-01-05",15
"5","2018-01-08",14.6
"6","2018-01-09",14.99
"7","2018-01-10",14.76
"8","2018-01-11",15.21
"9","2018-01-12",15.5
"10","2018-01-16",15.53
"11","2018-01-17",15.37
"12","2018-01-18",14.66
"13","2018-01-19",14.45
"14","2018-01-22",15.48
"15","2018-01-23",15.6
"16","2018-01-24",15.7
"17","2018-01-25",15.83
"18","2018-01-26",15.49
"19","2018-01-29",15.55
"20","2018-01-30",15.08
"21","2018-01-31",15.15
"22","2018-02-01",14.95
"23","2018-02-02",14.95
"24","2018-02-05",14.74
"25","2018-02-06",14.42
"26","2018-02-07",14.49
"27","2018-02-08",14.16
"28","2018-02-09",14.18
"29","2018-02-12",13.69
"30","2018-02-13",13.76
"31","2018-02-14",14.35
"32","2018-02-15",14.34
"33","2018-02-16",14.9
"34","2018-02-20",14.72
"35","2018-02-21",15.24
"36","2018-02-22",15.02
"37","2018-02-23",15
"38","2018-02-26",15.24
"39","2018-02-27",15.11
"40","2018-02-28",15.15
"41","2018-03-01",14.81
"42","2018-03-02",15.1
"43","2018-03-05",16.139999
"44","2018-03-06",16.4
"45","2018-03-07",16.299999
"46","2018-03-08",17.25
"47","2018-03-09",16.889999
"48","2018-03-12",16.690001
"49","2018-03-13",17.01
"50","2018-03-14",17.09
"51","2018-03-15",17.09
"52","2018-03-16",16.65
"53","2018-03-19",16.690001
"54","2018-03-20",16.559999
"55","2018-03-21",16.940001
"56","2018-03-22",16.469999
"57","2018-03-23",15.93
"58","2018-03-26",14.9
"59","2018-03-27",13.54
"60","2018-03-28",13.84
"61","2018-03-29",14.05
"62","2018-04-02",13.91
"63","2018-04-03",14
"64","2018-04-04",13.62
"65","2018-04-05",13.87
"66","2018-04-06",12.86
"67","2018-04-09",13.66
"68","2018-04-10",13.53
"69","2018-04-11",13.4
"70","2018-04-12",13.8
"71","2018-04-13",14
"72","2018-04-16",14.13
"73","2018-04-17",13.82
"74","2018-04-18",13.77
"75","2018-04-19",13.31
"76","2018-04-20",13.36
"77","2018-04-23",13.55
"78","2018-04-24",13.43
"79","2018-04-25",13.45
"80","2018-04-26",13.31
"81","2018-04-27",11.97
"82","2018-04-30",11.04
"83","2018-05-01",10.93
"84","2018-05-02",11.49
"85","2018-05-03",11.57
"86","2018-05-04",11.95
"87","2018-05-07",12.16
"88","2018-05-08",11.99
"89","2018-05-09",12.03
"90","2018-05-10",13.47
"91","2018-05-11",14.31
"92","2018-05-14",14.32
"93","2018-05-15",14.22
"94","2018-05-16",14.31
"95","2018-05-17",14.2
"96","2018-05-18",14.4
"97","2018-05-21",14.28
"98","2018-05-22",14.05
"99","2018-05-23",13.7
"100","2018-05-24",13.19
"101","2018-05-25",13.67
"102","2018-05-29",13.33
"103","2018-05-30",13.06
"104","2018-05-31",12.81
"105","2018-06-01",13.6
"106","2018-06-04",13.17
"107","2018-06-05",13.19
"108","2018-06-06",13.6
"109","2018-06-07",13.65
"110","2018-06-08",14.22
"111","2018-06-11",14.48
"112","2018-06-12",14.24
"113","2018-06-13",13.97
"114","2018-06-14",13.84
"115","2018-06-15",13.25
"116","2018-06-18",12.88
"117","2018-06-19",13.01
"118","2018-06-20",12.24
"119","2018-06-21",12.44
"120","2018-06-22",12.57
"121","2018-06-25",12.9
"122","2018-06-26",12.97
"123","2018-06-27",12.62
"124","2018-06-28",12.16
"125","2018-06-29",11.86
"126","2018-07-02",11.75
"127","2018-07-03",11.8
"128","2018-07-05",11.77
"129","2018-07-06",11.76
"130","2018-07-09",11.78
"131","2018-07-10",11.25
"132","2018-07-11",11.26
"133","2018-07-12",11.89
"134","2018-07-13",11.83
"135","2018-07-16",11.62
"136","2018-07-17",11.28
"137","2018-07-18",11.15
"138","2018-07-19",11.07
"139","2018-07-20",11.22
"140","2018-07-23",11.54
"141","2018-07-24",11.86
"142","2018-07-25",10.92
"143","2018-07-26",10.91
"144","2018-07-27",10.12
"145","2018-07-30",9.44
"146","2018-07-31",9.06
"147","2018-08-01",9.54
"148","2018-08-02",8.67
"149","2018-08-03",8.6
"150","2018-08-06",8.66
"151","2018-08-07",8.33
"152","2018-08-08",8.41
"153","2018-08-09",8.36
"154","2018-08-10",8.32
"155","2018-08-13",8.16
"156","2018-08-14",8.26
"157","2018-08-15",7.92
"158","2018-08-16",8.14
"159","2018-08-17",7.91
"160","2018-08-20",8.09
"161","2018-08-21",9.03
"162","2018-08-22",9.2
"163","2018-08-23",8.35
"164","2018-08-24",8.58
"165","2018-08-27",8.64
"166","2018-08-28",8.61
"167","2018-08-29",8.55
"168","2018-08-30",9.03
"169","2018-08-31",9.62
"170","2018-09-04",9.34
"171","2018-09-05",9.53
"172","2018-09-06",9.24
"173","2018-09-07",9.24
"174","2018-09-10",9.39
"175","2018-09-11",9.4
"176","2018-09-12",9.26
"177","2018-09-13",9.05
"178","2018-09-14",9.05
"179","2018-09-17",9.09
"180","2018-09-18",9.16
"181","2018-09-19",9.25
"182","2018-09-20",9.19
"183","2018-09-21",9.19
"184","2018-09-24",9.15
"185","2018-09-25",9.03
"186","2018-09-26",8.94
"187","2018-09-27",8.93
"188","2018-09-28",9.05
"189","2018-10-01",8.73
"190","2018-10-02",8.46
"191","2018-10-03",8.14
"192","2018-10-04",7.91
"193","2018-10-05",7.79
"194","2018-10-08",7.24
"195","2018-10-09",7.01
"196","2018-10-10",7.61
"197","2018-10-11",7.19
"198","2018-10-12",6.87
"199","2018-10-15",6.76
"200","2018-10-16",7.5
"201","2018-10-17",7.11
