"","date","UE"
"1","2015-01-16",23.98
"2","2015-01-20",23.59
"3","2015-01-21",23.9
"4","2015-01-22",24.67
"5","2015-01-23",23.85
"6","2015-01-26",23.860001
"7","2015-01-27",23.57
"8","2015-01-28",23.25
"9","2015-01-29",24.08
"10","2015-01-30",23.74
"11","2015-02-02",23.629999
"12","2015-02-03",24.040001
"13","2015-02-04",23.959999
"14","2015-02-05",24.540001
"15","2015-02-06",24.16
"16","2015-02-09",24.030001
"17","2015-02-10",24.290001
"18","2015-02-11",24.190001
"19","2015-02-12",24.290001
"20","2015-02-13",24.469999
"21","2015-02-17",24.040001
"22","2015-02-18",24.129999
"23","2015-02-19",24.110001
"24","2015-02-20",24.15
"25","2015-02-23",24.15
"26","2015-02-24",23.92
"27","2015-02-25",23.85
"28","2015-02-26",23.879999
"29","2015-02-27",23.940001
"30","2015-03-02",24
"31","2015-03-03",23.84
"32","2015-03-04",23.59
"33","2015-03-05",23.91
"34","2015-03-06",23.530001
"35","2015-03-09",24.110001
"36","2015-03-10",23.85
"37","2015-03-11",23.719999
"38","2015-03-12",23.58
"39","2015-03-13",23.59
"40","2015-03-16",23.459999
"41","2015-03-17",23.51
"42","2015-03-18",23.940001
"43","2015-03-19",23.879999
"44","2015-03-20",23.85
"45","2015-03-23",24.17
"46","2015-03-24",24.32
"47","2015-03-25",23.690001
"48","2015-03-26",24.01
"49","2015-03-27",23.65
"50","2015-03-30",23.780001
"51","2015-03-31",23.700001
"52","2015-04-01",23.700001
"53","2015-04-02",23.639999
"54","2015-04-06",24.02
"55","2015-04-07",23.84
"56","2015-04-08",23.940001
"57","2015-04-09",23.700001
"58","2015-04-10",23.99
"59","2015-04-13",23.790001
"60","2015-04-14",23.92
"61","2015-04-15",23.719999
"62","2015-04-16",23.620001
"63","2015-04-17",23.57
"64","2015-04-20",23.51
"65","2015-04-21",23.59
"66","2015-04-22",23.57
"67","2015-04-23",23.49
"68","2015-04-24",23.4
"69","2015-04-27",23.27
"70","2015-04-28",23.23
"71","2015-04-29",22.93
"72","2015-04-30",22.629999
"73","2015-05-01",22.5
"74","2015-05-04",22.469999
"75","2015-05-05",21.940001
"76","2015-05-06",21.889999
"77","2015-05-07",21.969999
"78","2015-05-08",22.1
"79","2015-05-11",21.76
"80","2015-05-12",21.790001
"81","2015-05-13",21.639999
"82","2015-05-14",21.98
"83","2015-05-15",22.15
"84","2015-05-18",22.18
"85","2015-05-19",22.190001
"86","2015-05-20",22.209999
"87","2015-05-21",22.120001
"88","2015-05-22",22.120001
"89","2015-05-26",21.98
"90","2015-05-27",22.1
"91","2015-05-28",21.99
"92","2015-05-29",21.6
