"","date","ZUO"
"1","2018-04-12",20
"2","2018-04-13",20.6
"3","2018-04-16",20.6
"4","2018-04-17",19.549999
"5","2018-04-18",19.559999
"6","2018-04-19",19.65
"7","2018-04-20",19.719999
"8","2018-04-23",20
"9","2018-04-24",19.700001
"10","2018-04-25",19.610001
"11","2018-04-26",20.280001
"12","2018-04-27",19.610001
"13","2018-04-30",19.26
"14","2018-05-01",19.67
"15","2018-05-02",19.59
"16","2018-05-03",19.66
"17","2018-05-04",19.549999
"18","2018-05-07",19.25
"19","2018-05-08",19.51
"20","2018-05-09",19.790001
"21","2018-05-10",20.040001
"22","2018-05-11",20.16
"23","2018-05-14",19.889999
"24","2018-05-15",19.219999
"25","2018-05-16",19.360001
"26","2018-05-17",19.690001
"27","2018-05-18",19.67
"28","2018-05-21",19.629999
"29","2018-05-22",19.73
"30","2018-05-23",20.01
"31","2018-05-24",21.01
"32","2018-05-25",21.4
"33","2018-05-29",20.67
"34","2018-05-30",21.940001
"35","2018-05-31",22.18
"36","2018-06-01",26.4
"37","2018-06-04",28.02
"38","2018-06-05",28.540001
"39","2018-06-06",30.200001
"40","2018-06-07",27.799999
"41","2018-06-08",29.23
"42","2018-06-11",31.530001
"43","2018-06-12",29
"44","2018-06-13",29.74
"45","2018-06-14",31.34
"46","2018-06-15",34.630001
"47","2018-06-18",37.09
"48","2018-06-19",33.509998
"49","2018-06-20",32.009998
"50","2018-06-21",29.190001
"51","2018-06-22",27.639999
"52","2018-06-25",28.68
"53","2018-06-26",27.469999
"54","2018-06-27",26.959999
"55","2018-06-28",28.33
"56","2018-06-29",27.200001
"57","2018-07-02",28.49
"58","2018-07-03",28.32
"59","2018-07-05",26.74
"60","2018-07-06",26.309999
"61","2018-07-09",26.07
"62","2018-07-10",24.780001
"63","2018-07-11",24.26
"64","2018-07-12",25.889999
"65","2018-07-13",25.690001
"66","2018-07-16",24.41
"67","2018-07-17",26.58
"68","2018-07-18",27.18
"69","2018-07-19",25.809999
"70","2018-07-20",25.27
"71","2018-07-23",26.540001
"72","2018-07-24",25.25
"73","2018-07-25",26.309999
"74","2018-07-26",26.030001
"75","2018-07-27",25.120001
"76","2018-07-30",22.93
"77","2018-07-31",24.530001
"78","2018-08-01",24.58
"79","2018-08-02",25.83
"80","2018-08-03",25.18
"81","2018-08-06",28
"82","2018-08-07",27.4
"83","2018-08-08",26.73
"84","2018-08-09",28.200001
"85","2018-08-10",28.43
"86","2018-08-13",29.379999
"87","2018-08-14",30.57
"88","2018-08-15",30
"89","2018-08-16",30.34
"90","2018-08-17",29.15
"91","2018-08-20",28.299999
"92","2018-08-21",28.799999
"93","2018-08-22",29.719999
"94","2018-08-23",30.17
"95","2018-08-24",33.380001
"96","2018-08-27",35.099998
"97","2018-08-28",32.34
"98","2018-08-29",33.400002
"99","2018-08-30",34.009998
"100","2018-08-31",27.58
"101","2018-09-04",27.860001
"102","2018-09-05",25.84
