"","date","TREX"
"1","2007-01-03",2.82
"2","2007-01-04",2.83375
"3","2007-01-05",2.75125
"4","2007-01-08",2.7575
"5","2007-01-09",2.6875
"6","2007-01-10",2.6625
"7","2007-01-11",2.71125
"8","2007-01-12",2.85375
"9","2007-01-16",2.9075
"10","2007-01-17",2.92
"11","2007-01-18",2.96375
"12","2007-01-19",3.0075
"13","2007-01-22",3
"14","2007-01-23",3.1125
"15","2007-01-24",3.18375
"16","2007-01-25",3.1975
"17","2007-01-26",3.2075
"18","2007-01-29",3.27875
"19","2007-01-30",3.33125
"20","2007-01-31",3.345
"21","2007-02-01",3.3625
"22","2007-02-02",3.37375
"23","2007-02-05",3.27875
"24","2007-02-06",3.27125
"25","2007-02-07",3.305
"26","2007-02-08",3.29125
"27","2007-02-09",3.255
"28","2007-02-12",3.2475
"29","2007-02-13",3.2675
"30","2007-02-14",3.2175
"31","2007-02-15",3.24875
"32","2007-02-16",3.24
"33","2007-02-20",3.2125
"34","2007-02-21",3.17125
"35","2007-02-22",3.16125
"36","2007-02-23",3.19625
"37","2007-02-26",3.22625
"38","2007-02-27",3.075
"39","2007-02-28",3.0525
"40","2007-03-01",3.06875
"41","2007-03-02",2.9625
"42","2007-03-05",2.93625
"43","2007-03-06",3.0825
"44","2007-03-07",3.07
"45","2007-03-08",3.04125
"46","2007-03-09",3.075
"47","2007-03-12",3.0275
"48","2007-03-13",2.95625
"49","2007-03-14",2.98
"50","2007-03-15",3.0425
"51","2007-03-16",2.96875
"52","2007-03-19",3.02875
"53","2007-03-20",3.08125
"54","2007-03-21",3.0725
"55","2007-03-22",3.035
"56","2007-03-23",3.00125
"57","2007-03-26",2.86375
"58","2007-03-27",2.7525
"59","2007-03-28",2.7375
"60","2007-03-29",2.74125
"61","2007-03-30",2.69125
"62","2007-04-02",2.70375
"63","2007-04-03",2.69
"64","2007-04-04",2.67875
"65","2007-04-05",2.69875
"66","2007-04-09",2.71375
"67","2007-04-10",2.71
"68","2007-04-11",2.57375
"69","2007-04-12",2.60625
"70","2007-04-13",2.5875
"71","2007-04-16",2.62
"72","2007-04-17",2.62625
"73","2007-04-18",2.60875
"74","2007-04-19",2.64
"75","2007-04-20",2.6925
"76","2007-04-23",2.7
"77","2007-04-24",2.6725
"78","2007-04-25",2.63
"79","2007-04-26",2.53125
"80","2007-04-27",2.5125
"81","2007-04-30",2.54875
"82","2007-05-01",2.565
"83","2007-05-02",2.66625
"84","2007-05-03",2.71
"85","2007-05-04",2.72375
"86","2007-05-07",2.60625
"87","2007-05-08",2.60625
"88","2007-05-09",2.595
"89","2007-05-10",2.49875
"90","2007-05-11",2.49375
"91","2007-05-14",2.465
"92","2007-05-15",2.43125
"93","2007-05-16",2.49125
"94","2007-05-17",2.46375
"95","2007-05-18",2.5225
"96","2007-05-21",2.63875
"97","2007-05-22",2.6575
"98","2007-05-23",2.6375
"99","2007-05-24",2.69375
