"","date","PHR"
"1","2019-07-18",25.08
"2","2019-07-19",24
"3","2019-07-22",23.98
"4","2019-07-23",24.84
"5","2019-07-24",25
"6","2019-07-25",24.799999
"7","2019-07-26",26.709999
"8","2019-07-29",26.27
"9","2019-07-30",27.27
"10","2019-07-31",27.33
"11","2019-08-01",27.42
"12","2019-08-02",26.860001
"13","2019-08-05",26.440001
"14","2019-08-06",27.209999
"15","2019-08-07",26.85
"16","2019-08-08",27.370001
"17","2019-08-09",28.209999
"18","2019-08-12",28.83
"19","2019-08-13",28.66
"20","2019-08-14",26.34
"21","2019-08-15",25.25
"22","2019-08-16",26.67
"23","2019-08-19",26.860001
"24","2019-08-20",26.549999
"25","2019-08-21",26.969999
"26","2019-08-22",27.09
"27","2019-08-23",26.309999
"28","2019-08-26",25.43
"29","2019-08-27",25.719999
"30","2019-08-28",25.01
"31","2019-08-29",26.959999
"32","2019-08-30",26.77
"33","2019-09-03",27.01
"34","2019-09-04",27.93
"35","2019-09-05",26.879999
"36","2019-09-06",25.26
"37","2019-09-09",22.51
"38","2019-09-10",25.32
"39","2019-09-11",25.610001
"40","2019-09-12",26.190001
"41","2019-09-13",27.110001
"42","2019-09-16",27.25
"43","2019-09-17",27.15
"44","2019-09-18",27.379999
"45","2019-09-19",27.01
"46","2019-09-20",27.280001
"47","2019-09-23",28.209999
"48","2019-09-24",26.360001
"49","2019-09-25",27
"50","2019-09-26",25.41
"51","2019-09-27",24.99
"52","2019-09-30",24.24
"53","2019-10-01",24.32
"54","2019-10-02",23.049999
"55","2019-10-03",23.6
"56","2019-10-04",24.719999
"57","2019-10-07",26.139999
"58","2019-10-08",25.379999
"59","2019-10-09",25.559999
"60","2019-10-10",26.24
"61","2019-10-11",27.66
"62","2019-10-14",26.93
"63","2019-10-15",27.059999
"64","2019-10-16",27.9
"65","2019-10-17",28.6
"66","2019-10-18",28.030001
"67","2019-10-21",27.549999
"68","2019-10-22",27.120001
"69","2019-10-23",26.41
"70","2019-10-24",26.93
"71","2019-10-25",26.84
"72","2019-10-28",26.76
"73","2019-10-29",27.65
"74","2019-10-30",27.93
"75","2019-10-31",29.629999
"76","2019-11-01",29.91
"77","2019-11-04",29.540001
"78","2019-11-05",29.08
"79","2019-11-06",29.860001
"80","2019-11-07",29.959999
"81","2019-11-08",29.700001
"82","2019-11-11",28.559999
"83","2019-11-12",28.74
"84","2019-11-13",29.92
"85","2019-11-14",29.610001
"86","2019-11-15",29.58
"87","2019-11-18",28.379999
"88","2019-11-19",28.91
"89","2019-11-20",28.66
"90","2019-11-21",28.879999
"91","2019-11-22",28.950001
"92","2019-11-25",29.24
"93","2019-11-26",29.379999
"94","2019-11-27",29.059999
"95","2019-11-29",28.120001
"96","2019-12-02",28.280001
"97","2019-12-03",28.120001
"98","2019-12-04",28.440001
"99","2019-12-05",28.4
"100","2019-12-06",29.129999
"101","2019-12-09",28.93
"102","2019-12-10",28.83
"103","2019-12-11",28.66
"104","2019-12-12",28.67
"105","2019-12-13",26.58
"106","2019-12-16",25.92
"107","2019-12-17",26.01
"108","2019-12-18",26.65
"109","2019-12-19",26.09
"110","2019-12-20",25.98
"111","2019-12-23",26.139999
"112","2019-12-24",26.190001
"113","2019-12-26",26.459999
"114","2019-12-27",26.389999
"115","2019-12-30",26.379999
"116","2019-12-31",26.639999
"117","2020-01-02",26.370001
"118","2020-01-03",26.59
"119","2020-01-06",27.24
"120","2020-01-07",27.24
"121","2020-01-08",27.110001
"122","2020-01-09",26.780001
"123","2020-01-10",26.559999
"124","2020-01-13",26.209999
"125","2020-01-14",25.879999
"126","2020-01-15",26
"127","2020-01-16",27.59
"128","2020-01-17",27.83
"129","2020-01-21",28.33
