"","date","VIST"
"1","2019-07-26",9.1
"2","2019-07-29",10
"3","2019-07-30",10.1
"4","2019-07-31",10.02
"5","2019-08-01",9.4
"6","2019-08-02",9.28
"7","2019-08-05",8.75
"8","2019-08-06",8.23
"9","2019-08-07",8.47
"10","2019-08-08",8.9
"11","2019-08-09",8.7
"12","2019-08-12",7.29
"13","2019-08-13",6.94
"14","2019-08-14",6.46
"15","2019-08-15",6.16
"16","2019-08-16",6.64
"17","2019-08-19",6.15
"18","2019-08-20",6.04
"19","2019-08-21",6.07
"20","2019-08-22",5.9
"21","2019-08-23",5.66
"22","2019-08-26",5.65
"23","2019-08-27",4.86
"24","2019-08-28",4.04
"25","2019-08-29",4.04
"26","2019-08-30",4
"27","2019-09-03",4.09
"28","2019-09-04",4.19
"29","2019-09-05",4.96
"30","2019-09-06",5.23
"31","2019-09-09",5.46
"32","2019-09-10",5.75
"33","2019-09-11",5.58
"34","2019-09-12",5.32
"35","2019-09-13",5.13
"36","2019-09-16",5.22
"37","2019-09-17",5
"38","2019-09-18",5.03
"39","2019-09-19",5.1
"40","2019-09-20",4.92
"41","2019-09-23",4.92
"42","2019-09-24",4.77
"43","2019-09-25",4.81
"44","2019-09-26",4.92
"45","2019-09-27",5.23
"46","2019-09-30",5.17
"47","2019-10-01",5.14
"48","2019-10-02",5.18
"49","2019-10-03",5.18
"50","2019-10-04",5.25
"51","2019-10-07",5.3
"52","2019-10-08",5.21
"53","2019-10-09",5.2
"54","2019-10-10",5.25
"55","2019-10-11",5.76
"56","2019-10-14",5.45
"57","2019-10-15",5.67
"58","2019-10-16",5.36
"59","2019-10-17",5.14
"60","2019-10-18",4.9
"61","2019-10-21",5.2
"62","2019-10-22",4.93
"63","2019-10-23",4.97
"64","2019-10-24",5
"65","2019-10-25",5.06
"66","2019-10-28",4.73
"67","2019-10-29",4.9
"68","2019-10-30",4.85
"69","2019-10-31",4.9
"70","2019-11-01",5.42
"71","2019-11-04",5.76
"72","2019-11-05",5.82
"73","2019-11-06",5.67
"74","2019-11-07",5.53
"75","2019-11-08",5.38
"76","2019-11-11",5.53
"77","2019-11-12",5.33
"78","2019-11-13",5.32
"79","2019-11-14",5.26
"80","2019-11-15",5.55
"81","2019-11-18",5.9
"82","2019-11-19",5.89
"83","2019-11-20",5.93
"84","2019-11-21",5.95
"85","2019-11-22",6.05
"86","2019-11-25",6.05
"87","2019-11-26",5.98
"88","2019-11-27",5.91
"89","2019-11-29",5.72
"90","2019-12-02",5.75
"91","2019-12-03",5.84
"92","2019-12-04",6.74
"93","2019-12-05",7.25
"94","2019-12-06",7.4
"95","2019-12-09",7.68
"96","2019-12-10",7.99
"97","2019-12-11",7.87
"98","2019-12-12",8
"99","2019-12-13",7.95
"100","2019-12-16",7.83
"101","2019-12-17",7.7
"102","2019-12-18",8.22
"103","2019-12-19",8.4
"104","2019-12-20",8.17
"105","2019-12-23",7.81
"106","2019-12-24",7.94
"107","2019-12-26",7.75
"108","2019-12-27",7.72
"109","2019-12-30",7.8
"110","2019-12-31",7.85
"111","2020-01-02",8.05
"112","2020-01-03",8.2
"113","2020-01-06",8.08
"114","2020-01-07",8
"115","2020-01-08",7.93
"116","2020-01-09",7.8
"117","2020-01-10",7.85
"118","2020-01-13",7.29
"119","2020-01-14",6.91
"120","2020-01-15",6.66
"121","2020-01-16",7.28
"122","2020-01-17",7.5
"123","2020-01-21",7.9
"124","2020-01-22",8.12
"125","2020-01-23",8.09
"126","2020-01-24",7.8
"127","2020-01-27",7.4
"128","2020-01-28",7.37
"129","2020-01-29",7.46
"130","2020-01-30",7.21
"131","2020-01-31",7.11
"132","2020-02-03",6.93
"133","2020-02-04",6.6
"134","2020-02-05",6.75
"135","2020-02-06",7.21
"136","2020-02-07",7.4
"137","2020-02-10",7.41
"138","2020-02-11",7.25
"139","2020-02-12",7.55
"140","2020-02-13",7.47
"141","2020-02-14",7.6
"142","2020-02-18",7.44
"143","2020-02-19",7.74
"144","2020-02-20",7.68
"145","2020-02-21",7.51
"146","2020-02-24",7.05
"147","2020-02-25",6.73
"148","2020-02-26",6.58
"149","2020-02-27",6.16
"150","2020-02-28",6.23
"151","2020-03-02",5.99
"152","2020-03-03",6.5
"153","2020-03-04",6.33
"154","2020-03-05",6.15
"155","2020-03-06",6.05
"156","2020-03-09",4.11
"157","2020-03-10",4.68
"158","2020-03-11",4.1
"159","2020-03-12",3.2
"160","2020-03-13",3.45
"161","2020-03-16",2.67
"162","2020-03-17",2.65
"163","2020-03-18",2.37
"164","2020-03-19",2.32
"165","2020-03-20",2.32
"166","2020-03-23",2.15
"167","2020-03-24",2.31
"168","2020-03-25",2.36
"169","2020-03-26",2.41
"170","2020-03-27",2.2
