"","date","PT"
"1","2018-10-25",12.49
"2","2018-10-26",12.2
"3","2018-10-29",11.88
"4","2018-10-30",11.88
"5","2018-10-31",11.8
"6","2018-11-01",11.75
"7","2018-11-02",11.65
"8","2018-11-05",11.65
"9","2018-11-06",11.63
"10","2018-11-07",10.5
"11","2018-11-08",11
"12","2018-11-09",11.7
"13","2018-11-12",11.7
"14","2018-11-13",11
"15","2018-11-14",11
"16","2018-11-15",11.7
"17","2018-11-16",11.05
"18","2018-11-19",11.05
"19","2018-11-20",11.67
"20","2018-11-21",11.88
"21","2018-11-23",11.88
"22","2018-11-26",11.71
"23","2018-11-27",11.12
"24","2018-11-28",11.13
"25","2018-11-29",11.13
"26","2018-11-30",11.13
"27","2018-12-03",11.13
"28","2018-12-04",11.06
"29","2018-12-06",11.03
"30","2018-12-07",11.03
"31","2018-12-10",10.3
"32","2018-12-11",10.3
"33","2018-12-12",11.35
"34","2018-12-13",11
"35","2018-12-14",11
"36","2018-12-17",11.1
"37","2018-12-18",11
"38","2018-12-19",11
"39","2018-12-20",10.6
"40","2018-12-21",10.1
"41","2018-12-24",10.1
"42","2018-12-26",10.1
"43","2018-12-27",10.5
"44","2018-12-28",9.34
"45","2018-12-31",10.47
"46","2019-01-02",10.05
"47","2019-01-03",10.07
"48","2019-01-04",10.1
"49","2019-01-07",10.1
"50","2019-01-08",10.8
"51","2019-01-09",10.7
"52","2019-01-10",10.7
"53","2019-01-11",10.85
"54","2019-01-14",10.85
"55","2019-01-15",10.86
"56","2019-01-16",11
"57","2019-01-17",11
"58","2019-01-18",11
"59","2019-01-22",11
"60","2019-01-23",10.97
"61","2019-01-24",11
"62","2019-01-25",10.99
"63","2019-01-28",10.95
"64","2019-01-29",10.97
"65","2019-01-30",10.97
"66","2019-01-31",11
"67","2019-02-01",10.5
"68","2019-02-04",10.51
"69","2019-02-05",11.05
"70","2019-02-06",11.02
"71","2019-02-07",11
"72","2019-02-08",11
"73","2019-02-11",10.92
"74","2019-02-12",10.99
"75","2019-02-13",11
"76","2019-02-14",10.98
"77","2019-02-15",10.9
"78","2019-02-19",10.4
"79","2019-02-20",9.61
"80","2019-02-21",10.14
"81","2019-02-22",10.4
"82","2019-02-25",10.81
"83","2019-02-26",10.8
"84","2019-02-27",10.88
"85","2019-02-28",10.96
"86","2019-03-01",10.99
"87","2019-03-04",11
"88","2019-03-05",11
"89","2019-03-06",10.99
"90","2019-03-07",11.02
"91","2019-03-08",11.25
"92","2019-03-11",10.6
"93","2019-03-12",11.12
"94","2019-03-13",11.35
"95","2019-03-14",11.45
"96","2019-03-15",11.6
"97","2019-03-18",11.85
"98","2019-03-19",11.99
"99","2019-03-20",12.05
"100","2019-03-21",12.23
"101","2019-03-22",12.05
"102","2019-03-25",12.3
"103","2019-03-26",12.51
"104","2019-03-27",12.8
"105","2019-03-28",12.94
"106","2019-03-29",12.88
"107","2019-04-01",11.98
"108","2019-04-02",11.22
"109","2019-04-03",11.55
"110","2019-04-04",11.47
"111","2019-04-05",11.86
"112","2019-04-08",11.52
"113","2019-04-09",11
"114","2019-04-10",10.57
"115","2019-04-11",10.4
"116","2019-04-12",10.04
"117","2019-04-15",10.05
"118","2019-04-16",9.93
"119","2019-04-17",9.55
"120","2019-04-18",8.36
"121","2019-04-22",7.62
"122","2019-04-23",7.45
"123","2019-04-24",7.11
"124","2019-04-25",7.2
"125","2019-04-26",6.75
"126","2019-04-29",6.3
"127","2019-04-30",6.15
"128","2019-05-01",6.46
"129","2019-05-02",6.5
"130","2019-05-03",6.26
"131","2019-05-06",6.12
"132","2019-05-07",5.95
"133","2019-05-08",6.21
"134","2019-05-09",7.5
"135","2019-05-10",8.04
"136","2019-05-13",8.1
"137","2019-05-14",8.21
"138","2019-05-15",8.31
"139","2019-05-16",8.32
"140","2019-05-17",7.53
"141","2019-05-20",7.8
"142","2019-05-21",7.9
"143","2019-05-22",7.85
"144","2019-05-23",7.35
"145","2019-05-24",7.26
"146","2019-05-28",7.32
"147","2019-05-29",7.4
"148","2019-05-30",7.57
"149","2019-05-31",7.7
"150","2019-06-03",5.68
"151","2019-06-04",4.58
"152","2019-06-05",4.5
"153","2019-06-06",4.58
"154","2019-06-07",4.63
"155","2019-06-10",4.6
"156","2019-06-11",4.7
"157","2019-06-12",4.55
"158","2019-06-13",4.54
"159","2019-06-14",4.63
"160","2019-06-17",4.4
"161","2019-06-18",4.39
"162","2019-06-19",4.1
"163","2019-06-20",2.8
"164","2019-06-21",3.15
"165","2019-06-24",3.02
"166","2019-06-25",2.84
"167","2019-06-26",2.87
"168","2019-06-27",3
"169","2019-06-28",2.97
"170","2019-07-01",3.19
"171","2019-07-02",3.58
"172","2019-07-03",3.25
"173","2019-07-05",3.25
"174","2019-07-08",3.57
"175","2019-07-09",3.78
"176","2019-07-10",3.97
"177","2019-07-11",3.85
"178","2019-07-12",3.74
"179","2019-07-15",3.6
"180","2019-07-16",3.04
"181","2019-07-17",2.84
"182","2019-07-18",2.72
"183","2019-07-19",2.96
"184","2019-07-22",3.13
"185","2019-07-23",3.04
"186","2019-07-24",3.08
"187","2019-07-25",3.28
"188","2019-07-26",3.42
"189","2019-07-29",3.7
"190","2019-07-30",3.93
"191","2019-07-31",3.85
"192","2019-08-01",3.75
"193","2019-08-02",3.45
"194","2019-08-05",3.4
"195","2019-08-06",3.4
"196","2019-08-07",3.43
"197","2019-08-08",3.55
"198","2019-08-09",3.72
"199","2019-08-12",3.8
"200","2019-08-13",4.01
"201","2019-08-14",4.16
"202","2019-08-15",3.86
"203","2019-08-16",4.16
"204","2019-08-19",3.6
"205","2019-08-20",3.34
"206","2019-08-21",3.32
"207","2019-08-22",3.28
"208","2019-08-23",3.08
"209","2019-08-26",2.74
"210","2019-08-27",3.03
"211","2019-08-28",3.33
"212","2019-08-29",3.12
"213","2019-08-30",3.12
"214","2019-09-03",2.87
"215","2019-09-04",2.93
"216","2019-09-05",3.16
"217","2019-09-06",3.02
"218","2019-09-09",2.97
"219","2019-09-10",2.87
"220","2019-09-11",2.78
"221","2019-09-12",2.68
"222","2019-09-13",2.7
"223","2019-09-16",2.83
"224","2019-09-17",2.64
"225","2019-09-18",2.54
"226","2019-09-19",2.44
"227","2019-09-20",2.29
"228","2019-09-23",2.28
"229","2019-09-24",1.63
"230","2019-09-25",1.38
"231","2019-09-26",1.37
"232","2019-09-27",1.29
"233","2019-09-30",1.16
"234","2019-10-01",1.42
"235","2019-10-02",1.33
"236","2019-10-03",1.29
"237","2019-10-04",1.29
"238","2019-10-07",1.42
