"","date","SILC"
"1","2007-01-03",8.79
"2","2007-01-04",8.65
"3","2007-01-05",8.7
"4","2007-01-08",9.05
"5","2007-01-09",9.22
"6","2007-01-10",9.19
"7","2007-01-11",9.47
"8","2007-01-12",9.45
"9","2007-01-16",9.5
"10","2007-01-17",9.26
"11","2007-01-18",9.24
"12","2007-01-19",9.28
"13","2007-01-22",9.1
"14","2007-01-23",9.09
"15","2007-01-24",9.33
"16","2007-01-25",9.45
"17","2007-01-26",10
"18","2007-01-29",14.17
"19","2007-01-30",14.03
"20","2007-01-31",13.7
"21","2007-02-01",14.85
"22","2007-02-02",15
"23","2007-02-05",14.96
"24","2007-02-06",15
"25","2007-02-07",15.21
"26","2007-02-08",15.34
"27","2007-02-09",15.64
"28","2007-02-12",14.89
"29","2007-02-13",14.7
"30","2007-02-14",14.6
"31","2007-02-15",14.14
"32","2007-02-16",14.5
"33","2007-02-20",14.75
"34","2007-02-21",14.87
"35","2007-02-22",14.92
"36","2007-02-23",14.95
"37","2007-02-26",14.55
"38","2007-02-27",13.74
"39","2007-02-28",12.88
"40","2007-03-01",12.61
"41","2007-03-02",12.44
"42","2007-03-05",11.9
"43","2007-03-06",12.52
"44","2007-03-07",12.26
"45","2007-03-08",12.77
"46","2007-03-09",12.61
"47","2007-03-12",12.55
"48","2007-03-13",12.27
"49","2007-03-14",12.18
"50","2007-03-15",12.58
"51","2007-03-16",13.5
"52","2007-03-19",14.57
"53","2007-03-20",15.8
"54","2007-03-21",16.9
"55","2007-03-22",17.25
"56","2007-03-23",17.040001
"57","2007-03-26",17
"58","2007-03-27",16.950001
"59","2007-03-28",16.639999
"60","2007-03-29",16.290001
"61","2007-03-30",16.469999
"62","2007-04-02",17.629999
"63","2007-04-03",17.459999
"64","2007-04-04",19.6
"65","2007-04-05",21.24
"66","2007-04-09",22.18
"67","2007-04-10",21.25
"68","2007-04-11",21.07
"69","2007-04-12",22.700001
"70","2007-04-13",22.92
"71","2007-04-16",23.49
"72","2007-04-17",23.33
"73","2007-04-18",22.9
"74","2007-04-19",22.950001
"75","2007-04-20",22.799999
"76","2007-04-23",23.700001
"77","2007-04-24",24.66
"78","2007-04-25",22.67
"79","2007-04-26",21.620001
"80","2007-04-27",21.450001
"81","2007-04-30",22.49
"82","2007-05-01",23.049999
"83","2007-05-02",23.530001
"84","2007-05-03",23.120001
"85","2007-05-04",21.790001
"86","2007-05-07",21.02
"87","2007-05-08",20.620001
"88","2007-05-09",20.58
"89","2007-05-10",19.98
"90","2007-05-11",20.65
"91","2007-05-14",21.610001
"92","2007-05-15",20.959999
"93","2007-05-16",20.309999
"94","2007-05-17",20.43
"95","2007-05-18",20.4
"96","2007-05-21",20.049999
"97","2007-05-22",20.969999
"98","2007-05-23",20.389999
"99","2007-05-24",19.799999
"100","2007-05-25",20.540001
"101","2007-05-29",23.360001
"102","2007-05-30",22.49
"103","2007-05-31",22.48
"104","2007-06-01",23.799999
"105","2007-06-04",23.77
"106","2007-06-05",22.43
"107","2007-06-06",20.309999
"108","2007-06-07",19.950001
"109","2007-06-08",19.879999
"110","2007-06-11",19.35
"111","2007-06-12",18.65
"112","2007-06-13",19.01
"113","2007-06-14",19.549999
"114","2007-06-15",19.780001
"115","2007-06-18",19.450001
"116","2007-06-19",19.6
"117","2007-06-20",18.99
"118","2007-06-21",18.82
"119","2007-06-22",18.809999
"120","2007-06-25",17.379999
"121","2007-06-26",17.77
"122","2007-06-27",18.639999
"123","2007-06-28",20.120001
"124","2007-06-29",20.110001
