"","date","GGB"
"1","2007-01-03",8.21
"2","2007-01-04",8.065
"3","2007-01-05",7.785
"4","2007-01-08",7.945
"5","2007-01-09",7.725
"6","2007-01-10",7.755
"7","2007-01-11",7.76
"8","2007-01-12",7.835
"9","2007-01-16",7.65
"10","2007-01-17",7.6
"11","2007-01-18",7.595
"12","2007-01-19",7.675
"13","2007-01-22",7.75
"14","2007-01-23",8.025
"15","2007-01-24",8.305
"16","2007-01-25",8.195
"17","2007-01-26",8.25
"18","2007-01-29",8.165
"19","2007-01-30",8.3
"20","2007-01-31",8.45
"21","2007-02-01",8.51
"22","2007-02-02",8.535
"23","2007-02-05",8.67
"24","2007-02-06",9.1
"25","2007-02-07",8.825
"26","2007-02-08",8.7
"27","2007-02-09",8.67
"28","2007-02-12",8.54
"29","2007-02-13",9.085
"30","2007-02-14",9.25
"31","2007-02-15",9.345
"32","2007-02-16",9.36
"33","2007-02-20",9.51
"34","2007-02-21",9.55
"35","2007-02-22",9.415
"36","2007-02-23",9.25
"37","2007-02-26",9.41
"38","2007-02-27",8.455
"39","2007-02-28",8.605
"40","2007-03-01",8.43
"41","2007-03-02",8.13
"42","2007-03-05",7.805
"43","2007-03-06",8.185
"44","2007-03-07",8.21
"45","2007-03-08",8.34
"46","2007-03-09",8.52
"47","2007-03-12",8.655
"48","2007-03-13",8.195
"49","2007-03-14",8.37
"50","2007-03-15",8.32
"51","2007-03-16",8.245
"52","2007-03-19",8.45
"53","2007-03-20",8.615
"54","2007-03-21",8.985
"55","2007-03-22",8.965
"56","2007-03-23",9.085
"57","2007-03-26",9.05
"58","2007-03-27",8.91
"59","2007-03-28",8.72
"60","2007-03-29",8.96
"61","2007-03-30",9.065
"62","2007-04-02",9.18
"63","2007-04-03",9.36
"64","2007-04-04",9.54
"65","2007-04-05",9.435
"66","2007-04-09",9.815
"67","2007-04-10",9.75
"68","2007-04-11",9.565
"69","2007-04-12",9.65
"70","2007-04-13",9.775
"71","2007-04-16",9.985
"72","2007-04-17",9.85
"73","2007-04-18",10.05
"74","2007-04-19",10.1
"75","2007-04-20",10.31
"76","2007-04-23",10.275
"77","2007-04-24",10.045
"78","2007-04-25",10.205
"79","2007-04-26",10.075
"80","2007-04-27",10.075
"81","2007-04-30",10.015
"82","2007-05-01",9.95
"83","2007-05-02",10.15
"84","2007-05-03",10.375
"85","2007-05-04",10.315
"86","2007-05-07",10.315
"87","2007-05-08",10.225
"88","2007-05-09",10.51
"89","2007-05-10",10.22
"90","2007-05-11",10.365
"91","2007-05-14",10.36
"92","2007-05-15",10.545
"93","2007-05-16",11.07
"94","2007-05-17",11.04
"95","2007-05-18",11.08
"96","2007-05-21",11.26
"97","2007-05-22",11.045
"98","2007-05-23",10.92
"99","2007-05-24",10.455
"100","2007-05-25",10.86
"101","2007-05-29",10.985
"102","2007-05-30",11.285
"103","2007-05-31",11.37
"104","2007-06-01",11.935
"105","2007-06-04",11.98
"106","2007-06-05",11.985
"107","2007-06-06",11.62
"108","2007-06-07",11.22
"109","2007-06-08",11.65
"110","2007-06-11",11.65
"111","2007-06-12",11.365
"112","2007-06-13",11.995
"113","2007-06-14",12.25
"114","2007-06-15",12.61
"115","2007-06-18",12.625
"116","2007-06-19",12.5
"117","2007-06-20",12.305
"118","2007-06-21",12.76
"119","2007-06-22",12.43
"120","2007-06-25",12.305
"121","2007-06-26",12.27
"122","2007-06-27",12.46
"123","2007-06-28",12.81
"124","2007-06-29",12.86
"125","2007-07-02",13.23
"126","2007-07-03",13.23
"127","2007-07-05",13.295
"128","2007-07-06",13.555
"129","2007-07-09",13.8
"130","2007-07-10",13.475
"131","2007-07-11",13.66
"132","2007-07-12",13.8
"133","2007-07-13",13.775
"134","2007-07-16",13.625
"135","2007-07-17",13.755
"136","2007-07-18",13.85
"137","2007-07-19",14
"138","2007-07-20",13.87
"139","2007-07-23",14.035
"140","2007-07-24",13.34
"141","2007-07-25",13.44
"142","2007-07-26",12.725
"143","2007-07-27",12.385
"144","2007-07-30",12.68
"145","2007-07-31",12.635
"146","2007-08-01",12.645
"147","2007-08-02",12.88
"148","2007-08-03",12.38
"149","2007-08-06",12.395
"150","2007-08-07",12.645
"151","2007-08-08",12.89
"152","2007-08-09",12.245
"153","2007-08-10",11.86
"154","2007-08-13",11.665
"155","2007-08-14",11.115
"156","2007-08-15",10.425
"157","2007-08-16",9.695
"158","2007-08-17",10.2
"159","2007-08-20",10.29
"160","2007-08-21",10.5
