"","date","ALTA"
"1","2015-06-11",16.700001
"2","2015-06-12",16.41
"3","2015-06-15",16.059999
"4","2015-06-16",16.200001
"5","2015-06-17",16.49
"6","2015-06-18",16.6
"7","2015-06-19",16.950001
"8","2015-06-22",16.719999
"9","2015-06-23",17.200001
"10","2015-06-24",16.950001
"11","2015-06-25",16.790001
"12","2015-06-26",16.85
"13","2015-06-29",16.879999
"14","2015-06-30",16.98
"15","2015-07-01",17
"16","2015-07-02",16.91
"17","2015-07-06",16.43
"18","2015-07-07",16.35
"19","2015-07-08",16.98
"20","2015-07-09",16.48
"21","2015-07-10",16.459999
"22","2015-07-13",16.379999
"23","2015-07-14",16.73
"24","2015-07-15",16.610001
"25","2015-07-16",16.799999
"26","2015-07-17",16.790001
"27","2015-07-20",17
"28","2015-07-21",16.799999
"29","2015-07-22",16.85
"30","2015-07-23",16.860001
"31","2015-07-24",16.712
"32","2015-07-27",16.860001
"33","2015-07-28",16.950001
"34","2015-07-29",17.469999
"35","2015-07-30",17.57
"36","2015-07-31",17.700001
"37","2015-08-03",17.6
"38","2015-08-04",17.68
"39","2015-08-05",17.43
"40","2015-08-06",17.299999
"41","2015-08-07",17.25
"42","2015-08-10",17.379999
"43","2015-08-11",17.52
"44","2015-08-12",17.65
"45","2015-08-13",17.52
"46","2015-08-14",17.58
"47","2015-08-17",17.48
"48","2015-08-18",17.59
"49","2015-08-19",17.5
"50","2015-08-20",17.24
"51","2015-08-21",16.65
"52","2015-08-24",16.32
"53","2015-08-25",16.6
"54","2015-08-26",16.6
"55","2015-08-27",16.67
"56","2015-08-28",16.790001
"57","2015-08-31",16.85
"58","2015-09-01",16.85
"59","2015-09-02",16.91
"60","2015-09-03",16.98
"61","2015-09-04",16.809999
"62","2015-09-08",17
"63","2015-09-09",16.870001
"64","2015-09-10",16.959999
"65","2015-09-11",17.17
"66","2015-09-14",17.26
"67","2015-09-15",17.4
"68","2015-09-16",17.469999
"69","2015-09-17",17.379999
"70","2015-09-18",15.97
"71","2015-09-21",16.370001
"72","2015-09-22",16.51
"73","2015-09-23",16.52
"74","2015-09-24",16.440001
"75","2015-09-25",16.559999
"76","2015-09-28",16.709999
"77","2015-09-29",16.809999
"78","2015-09-30",16.309999
"79","2015-10-01",16.43
"80","2015-10-02",16.09
"81","2015-10-05",16.290001
"82","2015-10-06",16.200001
"83","2015-10-07",16.5
"84","2015-10-08",16.35
"85","2015-10-09",16.42
"86","2015-10-12",16.41
"87","2015-10-13",16.34
"88","2015-10-14",16.129999
"89","2015-10-15",16.25
"90","2015-10-16",16.459999
"91","2015-10-19",16.389999
"92","2015-10-20",16.379999
"93","2015-10-21",16.33
"94","2015-10-22",16.389999
"95","2015-10-23",16.59
"96","2015-10-26",16.200001
"97","2015-10-27",15.82
"98","2015-10-28",16.719999
"99","2015-10-29",16.5
"100","2015-10-30",16.459999
"101","2015-11-02",16.4
"102","2015-11-03",16.459999
"103","2015-11-04",16.65
"104","2015-11-05",16.870001
"105","2015-11-06",16.719999
"106","2015-11-09",16.85
"107","2015-11-10",16.799999
"108","2015-11-11",17
"109","2015-11-12",17
"110","2015-11-13",17
"111","2015-11-16",17.129999
"112","2015-11-17",17.200001
"113","2015-11-18",17.200001
"114","2015-11-19",17.200001
"115","2015-11-20",17.299999
"116","2015-11-23",17.25
"117","2015-11-24",17.18
"118","2015-11-25",17.18
"119","2015-11-27",17.18
"120","2015-11-30",17.01
"121","2015-12-01",16.959999
"122","2015-12-02",16.799999
"123","2015-12-03",16.629999
"124","2015-12-04",16.719999
"125","2015-12-07",16.780001
"126","2015-12-08",16.469999
"127","2015-12-09",16.68
