"","date","LNSR"
"1","2020-10-02",9
"2","2020-10-05",12.2
"3","2020-10-06",10.9
"4","2020-10-07",10.62
"5","2020-10-08",9.42
"6","2020-10-09",8.38
"7","2020-10-12",7.63
"8","2020-10-13",8.71
"9","2020-10-14",9.15
"10","2020-10-15",9.4
"11","2020-10-16",9.35
"12","2020-10-19",8.79
"13","2020-10-20",8.4
"14","2020-10-21",8.54
"15","2020-10-22",8.58
"16","2020-10-23",8.27
"17","2020-10-26",8.26
"18","2020-10-27",7.87
"19","2020-10-28",7.97
"20","2020-10-29",8.16
"21","2020-10-30",9.76
"22","2020-11-02",9.46
"23","2020-11-03",9.22
"24","2020-11-04",8.63
"25","2020-11-05",8.57
"26","2020-11-06",8.22
"27","2020-11-09",8.84
"28","2020-11-10",9.6
"29","2020-11-11",9.21
"30","2020-11-12",8.58
"31","2020-11-13",8.95
"32","2020-11-16",9.29
"33","2020-11-17",9.28
"34","2020-11-18",9.21
"35","2020-11-19",9.2
"36","2020-11-20",9.12
"37","2020-11-23",9.01
"38","2020-11-24",9.32
"39","2020-11-25",9.53
"40","2020-11-27",9.41
