"","date","AMBA"
"1","2012-10-10",6.06
"2","2012-10-11",6.08
"3","2012-10-12",6.23
"4","2012-10-15",6.15
"5","2012-10-16",6.01
"6","2012-10-17",6
"7","2012-10-18",6
"8","2012-10-19",6
"9","2012-10-22",6.11
"10","2012-10-23",6
"11","2012-10-24",6.02
"12","2012-10-25",6.24
"13","2012-10-26",6.58
"14","2012-10-31",7.22
"15","2012-11-01",7.65
"16","2012-11-02",7.7
"17","2012-11-05",8.23
"18","2012-11-06",8.59
"19","2012-11-07",8.19
"20","2012-11-08",7.82
"21","2012-11-09",8
"22","2012-11-12",7.73
"23","2012-11-13",8
"24","2012-11-14",7.88
"25","2012-11-15",8.36
"26","2012-11-16",8.71
"27","2012-11-19",9.22
"28","2012-11-20",9.31
"29","2012-11-21",9.15
"30","2012-11-23",9.3
"31","2012-11-26",8.92
"32","2012-11-27",8.88
"33","2012-11-28",8.73
"34","2012-11-29",8.7
"35","2012-11-30",8.71
"36","2012-12-03",8.67
"37","2012-12-04",8.63
"38","2012-12-05",8.98
"39","2012-12-06",9.08
"40","2012-12-07",9.02
"41","2012-12-10",8.72
"42","2012-12-11",8.92
"43","2012-12-12",9.29
"44","2012-12-13",9.35
"45","2012-12-14",9.1
"46","2012-12-17",10
"47","2012-12-18",10.36
"48","2012-12-19",10.18
"49","2012-12-20",10
"50","2012-12-21",9.76
"51","2012-12-24",9.59
"52","2012-12-26",10
"53","2012-12-27",10.43
"54","2012-12-28",11
"55","2012-12-31",11.15
"56","2013-01-02",11.95
"57","2013-01-03",11.73
"58","2013-01-04",11.88
"59","2013-01-07",11.93
"60","2013-01-08",12.06
"61","2013-01-09",12.94
"62","2013-01-10",13.05
"63","2013-01-11",12.78
"64","2013-01-14",12.81
"65","2013-01-15",12.75
"66","2013-01-16",12.6
"67","2013-01-17",11.45
"68","2013-01-18",11.67
"69","2013-01-22",12.19
"70","2013-01-23",11.99
"71","2013-01-24",11.63
"72","2013-01-25",11.84
"73","2013-01-28",11.57
"74","2013-01-29",11.52
"75","2013-01-30",10.16
"76","2013-01-31",9.96
"77","2013-02-01",10.48
"78","2013-02-04",10.24
"79","2013-02-05",9.98
"80","2013-02-06",9.99
"81","2013-02-07",9.98
"82","2013-02-08",9.73
"83","2013-02-11",9.42
"84","2013-02-12",9.7
"85","2013-02-13",9.68
"86","2013-02-14",9.51
"87","2013-02-15",9.8
"88","2013-02-19",9.87
"89","2013-02-20",9.49
"90","2013-02-21",9.31
"91","2013-02-22",9.49
"92","2013-02-25",9.59
"93","2013-02-26",9.74
"94","2013-02-27",9.75
"95","2013-02-28",9.96
"96","2013-03-01",10.58
"97","2013-03-04",10.15
"98","2013-03-05",10.58
"99","2013-03-06",11.54
"100","2013-03-07",11.97
"101","2013-03-08",13.58
"102","2013-03-11",13.74
"103","2013-03-12",12.79
"104","2013-03-13",13.31
"105","2013-03-14",13.9
"106","2013-03-15",13.49
"107","2013-03-18",12.35
"108","2013-03-19",12.62
"109","2013-03-20",12.94
"110","2013-03-21",12.95
"111","2013-03-22",12.9
"112","2013-03-25",14.13
"113","2013-03-26",15.04
"114","2013-03-27",14.79
"115","2013-03-28",15.66
"116","2013-04-01",14.87
"117","2013-04-02",14.94
"118","2013-04-03",13.7
"119","2013-04-04",14.55
"120","2013-04-05",14
"121","2013-04-08",14.36
"122","2013-04-09",14.17
"123","2013-04-10",13.98
"124","2013-04-11",13.3
"125","2013-04-12",13.99
"126","2013-04-15",12.91
"127","2013-04-16",13.74
"128","2013-04-17",13
"129","2013-04-18",12.42
"130","2013-04-19",13.31
"131","2013-04-22",12.96
