"","date","ALSK"
"1","2007-01-03",15.26
"2","2007-01-04",15.43
"3","2007-01-05",15.24
"4","2007-01-08",15.26
"5","2007-01-09",15.43
"6","2007-01-10",15.61
"7","2007-01-11",15.59
"8","2007-01-12",15.99
"9","2007-01-16",16.030001
"10","2007-01-17",15.59
"11","2007-01-18",15.36
"12","2007-01-19",15.6
"13","2007-01-22",15.3
"14","2007-01-23",15.49
"15","2007-01-24",15.75
"16","2007-01-25",15.48
"17","2007-01-26",15.77
"18","2007-01-29",15.77
"19","2007-01-30",15.9
"20","2007-01-31",16.16
"21","2007-02-01",16.5
"22","2007-02-02",16.49
"23","2007-02-05",16.34
"24","2007-02-06",16.450001
"25","2007-02-07",16.51
"26","2007-02-08",16.66
"27","2007-02-09",16.49
"28","2007-02-12",16.379999
"29","2007-02-13",16.620001
"30","2007-02-14",16.540001
"31","2007-02-15",16.85
"32","2007-02-16",16.690001
"33","2007-02-20",16.700001
"34","2007-02-21",16.709999
"35","2007-02-22",16.799999
"36","2007-02-23",15.2
"37","2007-02-26",14.89
"38","2007-02-27",14.31
"39","2007-02-28",14.63
"40","2007-03-01",14.32
"41","2007-03-02",14.06
"42","2007-03-05",13.5
"43","2007-03-06",13.65
"44","2007-03-07",13.63
"45","2007-03-08",14.14
"46","2007-03-09",14.13
"47","2007-03-12",13.86
"48","2007-03-13",14.46
"49","2007-03-14",14.7
"50","2007-03-15",14.8
"51","2007-03-16",14.88
"52","2007-03-19",14.77
"53","2007-03-20",15
"54","2007-03-21",15.42
"55","2007-03-22",15.28
"56","2007-03-23",15.2
"57","2007-03-26",15.24
"58","2007-03-27",15.02
"59","2007-03-28",14.48
"60","2007-03-29",14.6
"61","2007-03-30",14.75
"62","2007-04-02",14.89
"63","2007-04-03",15.14
"64","2007-04-04",14.9
"65","2007-04-05",14.81
"66","2007-04-09",14.85
"67","2007-04-10",15.19
"68","2007-04-11",15
"69","2007-04-12",14.94
"70","2007-04-13",15.05
"71","2007-04-16",15.23
"72","2007-04-17",15.31
"73","2007-04-18",15.18
"74","2007-04-19",15.23
"75","2007-04-20",15.25
"76","2007-04-23",15.25
"77","2007-04-24",15.34
"78","2007-04-25",15.26
"79","2007-04-26",15.28
"80","2007-04-27",16.52
"81","2007-04-30",15.9
"82","2007-05-01",15.83
"83","2007-05-02",16.68
"84","2007-05-03",16.290001
"85","2007-05-04",16.01
"86","2007-05-07",16.049999
"87","2007-05-08",15.84
"88","2007-05-09",15.84
"89","2007-05-10",15.61
"90","2007-05-11",16.1
"91","2007-05-14",15.89
"92","2007-05-15",15.55
"93","2007-05-16",15.63
"94","2007-05-17",15.76
"95","2007-05-18",15.7
"96","2007-05-21",15.9
"97","2007-05-22",16.23
"98","2007-05-23",16.440001
"99","2007-05-24",15.79
"100","2007-05-25",16.040001
"101","2007-05-29",15.95
"102","2007-05-30",15.98
"103","2007-05-31",15.78
"104","2007-06-01",16.09
"105","2007-06-04",15.97
"106","2007-06-05",15.95
"107","2007-06-06",15.92
"108","2007-06-07",15.59
"109","2007-06-08",15.75
"110","2007-06-11",15.73
"111","2007-06-12",15.6
"112","2007-06-13",15.72
"113","2007-06-14",15.68
"114","2007-06-15",15.78
"115","2007-06-18",15.62
"116","2007-06-19",15.42
"117","2007-06-20",15.84
"118","2007-06-21",15.76
"119","2007-06-22",15.67
"120","2007-06-25",15.69
"121","2007-06-26",15.84
"122","2007-06-27",15.84
"123","2007-06-28",15.85
"124","2007-06-29",15.84
"125","2007-07-02",15.77
"126","2007-07-03",15.6
"127","2007-07-05",15.89
"128","2007-07-06",15.75
"129","2007-07-09",15.61
"130","2007-07-10",15.02
"131","2007-07-11",15.1
"132","2007-07-12",15.22
"133","2007-07-13",14.96
"134","2007-07-16",14.62
"135","2007-07-17",14.69
"136","2007-07-18",14.59
"137","2007-07-19",14.61
"138","2007-07-20",14.61
"139","2007-07-23",14.56
"140","2007-07-24",14.45
"141","2007-07-25",14.81
"142","2007-07-26",14.31
"143","2007-07-27",14.89
"144","2007-07-30",15.02
"145","2007-07-31",14.37
"146","2007-08-01",14.08
"147","2007-08-02",14.67
"148","2007-08-03",14.23
"149","2007-08-06",14.13
"150","2007-08-07",13.69
"151","2007-08-08",13.69
"152","2007-08-09",12.91
"153","2007-08-10",13.6
"154","2007-08-13",13.85
"155","2007-08-14",13.6
"156","2007-08-15",13.7
"157","2007-08-16",14.17
"158","2007-08-17",14.35
"159","2007-08-20",13.81
"160","2007-08-21",13.98
"161","2007-08-22",14.02
"162","2007-08-23",14.07
"163","2007-08-24",14.5
"164","2007-08-27",14.03
"165","2007-08-28",13.44
"166","2007-08-29",13.72
"167","2007-08-30",13.49
"168","2007-08-31",13.66
"169","2007-09-04",13.63
"170","2007-09-05",13.61
"171","2007-09-06",13.43
"172","2007-09-07",13.28
"173","2007-09-10",13.33
"174","2007-09-11",13.27
"175","2007-09-12",13.39
"176","2007-09-13",13.46
"177","2007-09-14",13.62
"178","2007-09-17",13.57
"179","2007-09-18",14.04
"180","2007-09-19",14.42
"181","2007-09-20",14.18
"182","2007-09-21",15
"183","2007-09-24",14.31
"184","2007-09-25",14.65
