"","date","ALRN"
"1","2017-06-29",10.8
"2","2017-06-30",11.15
"3","2017-07-03",12.6
"4","2017-07-05",12.31
"5","2017-07-06",13.3
"6","2017-07-07",13.8
"7","2017-07-10",13.45
"8","2017-07-11",13.68
"9","2017-07-12",13.43
"10","2017-07-13",13.43
"11","2017-07-14",13.59
"12","2017-07-17",12.95
"13","2017-07-18",13
"14","2017-07-19",13
"15","2017-07-20",12.92
"16","2017-07-21",12.78
"17","2017-07-24",12.6
"18","2017-07-25",13
"19","2017-07-26",12.91
"20","2017-07-27",13.11
"21","2017-07-28",13.19
"22","2017-07-31",12.8
"23","2017-08-01",12.48
"24","2017-08-02",12.73
"25","2017-08-03",12.16
"26","2017-08-04",12.14
"27","2017-08-07",12.16
"28","2017-08-08",12.29
"29","2017-08-09",12.98
"30","2017-08-10",12.58
"31","2017-08-11",12.25
"32","2017-08-14",12.56
"33","2017-08-15",12.11
"34","2017-08-16",12.21
"35","2017-08-17",11.89
"36","2017-08-18",12.2
"37","2017-08-21",12
"38","2017-08-22",12.19
"39","2017-08-23",11.98
"40","2017-08-24",12.15
"41","2017-08-25",11.42
"42","2017-08-28",12
"43","2017-08-29",12
"44","2017-08-30",12
"45","2017-08-31",11.66
"46","2017-09-01",11.8
"47","2017-09-05",12.15
"48","2017-09-06",12.82
"49","2017-09-07",14.06
"50","2017-09-08",14
"51","2017-09-11",12.38
"52","2017-09-12",13.42
"53","2017-09-13",11.83
"54","2017-09-14",11.64
"55","2017-09-15",11.42
"56","2017-09-18",11.59
"57","2017-09-19",11.75
"58","2017-09-20",12.1
"59","2017-09-21",12.12
"60","2017-09-22",12.79
"61","2017-09-25",11.89
"62","2017-09-26",12.09
"63","2017-09-27",12.69
"64","2017-09-28",12.23
"65","2017-09-29",13.38
"66","2017-10-02",14.43
"67","2017-10-03",14.42
"68","2017-10-04",14.91
"69","2017-10-05",14.56
"70","2017-10-06",14.61
"71","2017-10-09",14.63
"72","2017-10-10",14.8
"73","2017-10-11",14.12
"74","2017-10-12",14.51
"75","2017-10-13",14.18
"76","2017-10-16",14.07
"77","2017-10-17",14.1
"78","2017-10-18",14.17
"79","2017-10-19",13.68
"80","2017-10-20",13.58
"81","2017-10-23",13.38
"82","2017-10-24",13.24
"83","2017-10-25",13.18
"84","2017-10-26",13.22
"85","2017-10-27",12.36
"86","2017-10-30",12.13
"87","2017-10-31",12.04
"88","2017-11-01",13.19
"89","2017-11-02",12.24
"90","2017-11-03",12.67
"91","2017-11-06",12.66
"92","2017-11-07",11.87
"93","2017-11-08",11.88
"94","2017-11-09",11.63
"95","2017-11-10",11.58
"96","2017-11-13",11.78
"97","2017-11-14",11.66
"98","2017-11-15",10.92
"99","2017-11-16",11.31
"100","2017-11-17",12.3
"101","2017-11-20",12.28
"102","2017-11-21",12
"103","2017-11-22",11.99
"104","2017-11-24",11.9
"105","2017-11-27",10.94
"106","2017-11-28",11.34
"107","2017-11-29",11.29
"108","2017-11-30",11.22
"109","2017-12-01",11
"110","2017-12-04",10.8
"111","2017-12-05",10.55
"112","2017-12-06",10.32
"113","2017-12-07",10.1
"114","2017-12-08",10.15
"115","2017-12-11",10.16
"116","2017-12-12",9.87
"117","2017-12-13",9.73
"118","2017-12-14",10.07
"119","2017-12-15",10.29
"120","2017-12-18",9.81
"121","2017-12-19",10.13
"122","2017-12-20",9.83
"123","2017-12-21",9.62
"124","2017-12-22",9.05
"125","2017-12-26",9.21
"126","2017-12-27",10.38
"127","2017-12-28",10.42
"128","2017-12-29",10.54
"129","2018-01-02",10.52
"130","2018-01-03",10.6
"131","2018-01-04",10.44
"132","2018-01-05",10.39
"133","2018-01-08",10.59
"134","2018-01-09",10.31
"135","2018-01-10",9.65
"136","2018-01-11",9.71
"137","2018-01-12",9.69
"138","2018-01-16",9.39
"139","2018-01-17",9.62
"140","2018-01-18",9.62
"141","2018-01-19",9.21
"142","2018-01-22",9.32
"143","2018-01-23",9.38
"144","2018-01-24",9.42
"145","2018-01-25",9.43
"146","2018-01-26",9.7
"147","2018-01-29",9.22
"148","2018-01-30",9.25
"149","2018-01-31",9.23
"150","2018-02-01",9.25
"151","2018-02-02",9
"152","2018-02-05",8.52
"153","2018-02-06",8.37
"154","2018-02-07",8.15
"155","2018-02-08",7.73
"156","2018-02-09",7.88
"157","2018-02-12",7.61
"158","2018-02-13",8.3
"159","2018-02-14",8.02
"160","2018-02-15",7.95
"161","2018-02-16",7.76
"162","2018-02-20",7.69
"163","2018-02-21",7.88
"164","2018-02-22",7.99
"165","2018-02-23",8.4
"166","2018-02-26",8.45
"167","2018-02-27",8.44
"168","2018-02-28",8.21
"169","2018-03-01",8.57
"170","2018-03-02",8.8
"171","2018-03-05",8.94
"172","2018-03-06",9.13
"173","2018-03-07",9.17
"174","2018-03-08",8.8
"175","2018-03-09",8.98
"176","2018-03-12",9.32
"177","2018-03-13",9.04
"178","2018-03-14",9
"179","2018-03-15",9.02
"180","2018-03-16",8.5
"181","2018-03-19",9.11
"182","2018-03-20",8.72
"183","2018-03-21",8.95
"184","2018-03-22",8.79
"185","2018-03-23",8.6
"186","2018-03-26",8.05
"187","2018-03-27",7.66
"188","2018-03-28",8.04
"189","2018-03-29",8.13
"190","2018-04-02",7.77
"191","2018-04-03",6.51
"192","2018-04-04",6.73
"193","2018-04-05",6.73
"194","2018-04-06",6.37
"195","2018-04-09",7.18
"196","2018-04-10",6.43
"197","2018-04-11",7.14
"198","2018-04-12",6.58
"199","2018-04-13",6.89
"200","2018-04-16",6.96
"201","2018-04-17",6.99
"202","2018-04-18",6.8
"203","2018-04-19",6.01
"204","2018-04-20",5.84
"205","2018-04-23",6.04
"206","2018-04-24",5.36
"207","2018-04-25",5.67
"208","2018-04-26",5.16
"209","2018-04-27",5.08
"210","2018-04-30",5.08
"211","2018-05-01",5.1
"212","2018-05-02",5.1
"213","2018-05-03",5.19
"214","2018-05-04",5.25
"215","2018-05-07",5.31
"216","2018-05-08",5.14
"217","2018-05-09",5.37
"218","2018-05-10",5.52
"219","2018-05-11",5.45
"220","2018-05-14",5.45
"221","2018-05-15",5.5
"222","2018-05-16",5.39
"223","2018-05-17",5.24
"224","2018-05-18",5.19
"225","2018-05-21",5.1
"226","2018-05-22",5.15
"227","2018-05-23",5.04
"228","2018-05-24",4.98
"229","2018-05-25",5.18
"230","2018-05-29",5.02
"231","2018-05-30",5.23
"232","2018-05-31",5.16
"233","2018-06-01",5.44
"234","2018-06-04",5.45
"235","2018-06-05",5.5
"236","2018-06-06",5.56
"237","2018-06-07",5.41
"238","2018-06-08",5.36
"239","2018-06-11",5.38
"240","2018-06-12",5.08
"241","2018-06-13",5.23
"242","2018-06-14",5.27
"243","2018-06-15",5.35
"244","2018-06-18",5.25
"245","2018-06-19",5.25
"246","2018-06-20",5.28
"247","2018-06-21",6.02
"248","2018-06-22",6.04
"249","2018-06-25",5.73
"250","2018-06-26",5.29
"251","2018-06-27",5.2
"252","2018-06-28",5.37
"253","2018-06-29",5.42
"254","2018-07-02",5.35
"255","2018-07-03",5.45
"256","2018-07-05",5.32
"257","2018-07-06",5.4
"258","2018-07-09",5.4
"259","2018-07-10",5.11
"260","2018-07-11",4.96
"261","2018-07-12",4.925
"262","2018-07-13",5.02
"263","2018-07-16",4.85
"264","2018-07-17",4.64
"265","2018-07-18",4.57
"266","2018-07-19",4.22
"267","2018-07-20",4.28
"268","2018-07-23",4.25
"269","2018-07-24",3.93
"270","2018-07-25",3.7
"271","2018-07-26",3.54
"272","2018-07-27",3.3
"273","2018-07-30",3.19
"274","2018-07-31",3.09
"275","2018-08-01",3.22
"276","2018-08-02",3.33
"277","2018-08-03",3.06
"278","2018-08-06",3
"279","2018-08-07",2.92
"280","2018-08-08",2.6
"281","2018-08-09",2.44
"282","2018-08-10",2.44
"283","2018-08-13",2.25
"284","2018-08-14",2.24
"285","2018-08-15",2.13
"286","2018-08-16",2.03
"287","2018-08-17",2
"288","2018-08-20",2.6
"289","2018-08-21",2.36
"290","2018-08-22",2.1
"291","2018-08-23",2.33
"292","2018-08-24",2.15
"293","2018-08-27",2.25
"294","2018-08-28",2.33
"295","2018-08-29",2.89
"296","2018-08-30",3.06
"297","2018-08-31",2.92
"298","2018-09-04",3.46
"299","2018-09-05",3.82
"300","2018-09-06",3.39
"301","2018-09-07",3.539
"302","2018-09-10",3.07
"303","2018-09-11",2.85
"304","2018-09-12",2.83
"305","2018-09-13",3
"306","2018-09-14",2.79
"307","2018-09-17",2.79
