"","date","CCCC"
"1","2020-10-02",25.49
"2","2020-10-05",26.57
"3","2020-10-06",26.959999
"4","2020-10-07",24.6
"5","2020-10-08",24
"6","2020-10-09",22.799999
"7","2020-10-12",23.17
"8","2020-10-13",23.309999
"9","2020-10-14",24.139999
"10","2020-10-15",25.309999
"11","2020-10-16",25.139999
"12","2020-10-19",26.1
"13","2020-10-20",27.200001
"14","2020-10-21",27.4
"15","2020-10-22",26.85
"16","2020-10-23",26.09
"17","2020-10-26",26.23
"18","2020-10-27",25.709999
"19","2020-10-28",25.07
"20","2020-10-29",25.09
"21","2020-10-30",24.75
"22","2020-11-02",24.74
"23","2020-11-03",26.02
"24","2020-11-04",25.74
"25","2020-11-05",25.85
"26","2020-11-06",26.969999
"27","2020-11-09",26.610001
"28","2020-11-10",25.860001
"29","2020-11-11",26.809999
"30","2020-11-12",26.51
"31","2020-11-13",25.83
"32","2020-11-16",28.09
"33","2020-11-17",29.030001
"34","2020-11-18",28.540001
"35","2020-11-19",28.6
"36","2020-11-20",28.5
"37","2020-11-23",29.02
"38","2020-11-24",32.950001
"39","2020-11-25",34.290001
"40","2020-11-27",35.869999
