"","date","FSRV"
"1","2019-12-31",9.75
"2","2020-01-02",9.75
"3","2020-01-03",9.81
"4","2020-01-06",9.85
"5","2020-01-07",9.8
"6","2020-01-08",9.8
"7","2020-01-09",9.85
"8","2020-01-10",9.88
"9","2020-01-13",9.82
"10","2020-01-14",9.87
"11","2020-01-15",9.87
"12","2020-01-16",9.85
"13","2020-01-17",9.94
"14","2020-01-21",9.9
"15","2020-01-22",9.87
"16","2020-01-23",9.87
"17","2020-01-24",9.89
"18","2020-01-27",10.05
"19","2020-01-28",9.91
"20","2020-01-29",9.95
"21","2020-01-30",9.94
"22","2020-01-31",9.94
"23","2020-02-03",9.94
"24","2020-02-04",9.94
"25","2020-02-05",9.94
"26","2020-02-06",9.92
"27","2020-02-07",9.92
"28","2020-02-10",9.91
"29","2020-02-11",9.96
"30","2020-02-12",9.96
"31","2020-02-13",9.98
"32","2020-02-14",9.98
"33","2020-02-18",9.98
"34","2020-02-19",9.99
"35","2020-02-20",9.99
"36","2020-02-21",10
"37","2020-02-24",10
"38","2020-02-25",10
"39","2020-02-26",10
"40","2020-02-27",10
"41","2020-02-28",10
"42","2020-03-02",10
"43","2020-03-03",10
"44","2020-03-04",9.95
"45","2020-03-05",9.95
"46","2020-03-06",9.95
"47","2020-03-09",9.85
"48","2020-03-10",9.91
"49","2020-03-11",9.9
"50","2020-03-12",9.75
"51","2020-03-13",9.8
"52","2020-03-16",9.67
"53","2020-03-17",9.59
"54","2020-03-18",9.2
"55","2020-03-19",9.32
"56","2020-03-20",9.33
"57","2020-03-23",9.33
"58","2020-03-24",9.34
"59","2020-03-25",9.5
"60","2020-03-26",9.753
"61","2020-03-27",9.55
"62","2020-03-30",9.55
"63","2020-03-31",9.63
"64","2020-04-01",9.84
"65","2020-04-02",9.84
"66","2020-04-03",9.7
"67","2020-04-06",9.7
"68","2020-04-07",9.65
"69","2020-04-08",9.67
"70","2020-04-09",9.67
"71","2020-04-13",9.67
"72","2020-04-14",9.75
"73","2020-04-15",9.75
"74","2020-04-16",9.79
"75","2020-04-17",9.71
"76","2020-04-20",9.796
"77","2020-04-21",9.78
"78","2020-04-22",9.758
"79","2020-04-23",9.83
"80","2020-04-24",9.775
"81","2020-04-27",9.89
"82","2020-04-28",9.88
"83","2020-04-29",9.88
"84","2020-04-30",9.85
"85","2020-05-01",9.67
"86","2020-05-04",9.85
"87","2020-05-05",9.78
"88","2020-05-06",9.779
"89","2020-05-07",9.8
"90","2020-05-08",9.79
"91","2020-05-11",9.781
"92","2020-05-12",9.69
"93","2020-05-13",9.77
"94","2020-05-14",9.72
"95","2020-05-15",9.78
"96","2020-05-18",9.75
"97","2020-05-19",9.77
"98","2020-05-20",9.686
"99","2020-05-21",9.78
"100","2020-05-22",9.89
"101","2020-05-26",9.79
"102","2020-05-27",9.78
"103","2020-05-28",9.76
"104","2020-05-29",9.9
"105","2020-06-01",9.78
"106","2020-06-02",9.8
"107","2020-06-03",9.825
"108","2020-06-04",9.78
"109","2020-06-05",9.82
"110","2020-06-08",9.8
"111","2020-06-09",9.86
"112","2020-06-10",9.78
"113","2020-06-11",9.78
"114","2020-06-12",9.78
"115","2020-06-15",9.85
"116","2020-06-16",9.85
"117","2020-06-17",9.9
"118","2020-06-18",9.94
"119","2020-06-19",9.8
"120","2020-06-22",9.93
"121","2020-06-23",9.94
"122","2020-06-24",9.94
"123","2020-06-25",9.88
"124","2020-06-26",9.872
"125","2020-06-29",9.893
"126","2020-06-30",9.95
"127","2020-07-01",9.99
"128","2020-07-02",10.17
"129","2020-07-06",10.05
"130","2020-07-07",10.055
"131","2020-07-08",10.041
"132","2020-07-09",9.96
"133","2020-07-10",10.03
"134","2020-07-13",10.2
"135","2020-07-14",10.21
"136","2020-07-15",10.16
"137","2020-07-16",10.22
"138","2020-07-17",10.18
"139","2020-07-20",10.18
"140","2020-07-21",10.2
"141","2020-07-22",10.2
"142","2020-07-23",10.12
"143","2020-07-24",10.171
"144","2020-07-27",10.17
"145","2020-07-28",10.19
"146","2020-07-29",10.19
"147","2020-07-30",10.14
"148","2020-07-31",10.11
"149","2020-08-03",10.175
"150","2020-08-04",10.1
"151","2020-08-05",10.12
"152","2020-08-06",10.1
"153","2020-08-07",10.05
"154","2020-08-10",10.07
"155","2020-08-11",10.05
"156","2020-08-12",10.04
"157","2020-08-13",10.15
"158","2020-08-14",10
"159","2020-08-17",9.96
"160","2020-08-18",9.955
"161","2020-08-19",9.98
"162","2020-08-20",9.97
"163","2020-08-21",9.999
"164","2020-08-24",9.96
"165","2020-08-25",10.03
"166","2020-08-26",10.025
"167","2020-08-27",9.96
"168","2020-08-28",9.92
"169","2020-08-31",9.93
"170","2020-09-01",10
"171","2020-09-02",9.999
"172","2020-09-03",10
"173","2020-09-04",10
"174","2020-09-08",10.04
"175","2020-09-09",10.09
"176","2020-09-10",10.05
"177","2020-09-11",10.05
"178","2020-09-14",10.1
"179","2020-09-15",10
"180","2020-09-16",10.05
"181","2020-09-17",10.05
"182","2020-09-18",10.1
"183","2020-09-21",10.05
"184","2020-09-22",10.1
"185","2020-09-23",10.01
"186","2020-09-24",10
"187","2020-09-25",10
"188","2020-09-28",10.1
"189","2020-09-29",10.03
"190","2020-09-30",10.03
"191","2020-10-01",10.08
"192","2020-10-02",10.1
"193","2020-10-05",10.1
"194","2020-10-06",10
"195","2020-10-07",10.037
"196","2020-10-08",10
"197","2020-10-09",9.98
"198","2020-10-12",10.01
