"","date","EBMT"
"1","2007-01-03",8.552631
"2","2007-01-04",8.552631
"3","2007-01-05",8.789474
"4","2007-01-08",8.421053
"5","2007-01-09",8.421053
"6","2007-01-10",8.421053
"7","2007-01-11",8.421053
"8","2007-01-12",8.421053
"9","2007-01-16",8.421053
"10","2007-01-17",8.421053
"11","2007-01-18",8.421053
"12","2007-01-19",8.421053
"13","2007-01-22",8.421053
"14","2007-01-23",8.421053
"15","2007-01-24",8.421053
"16","2007-01-25",8.381579
"17","2007-01-26",8.684211
"18","2007-01-29",9.078947
"19","2007-01-30",9.078947
"20","2007-01-31",9.078947
"21","2007-02-01",9.078947
"22","2007-02-02",9.078947
"23","2007-02-05",9.078947
"24","2007-02-06",9.078947
"25","2007-02-07",9.078947
"26","2007-02-08",9.078947
"27","2007-02-09",8.736842
"28","2007-02-12",8.736842
"29","2007-02-13",8.723684
"30","2007-02-14",8.684211
"31","2007-02-15",8.684211
"32","2007-02-16",8.684211
"33","2007-02-20",8.684211
"34","2007-02-21",8.684211
"35","2007-02-22",8.552631
"36","2007-02-23",8.526316
"37","2007-02-26",8.565789
"38","2007-02-27",8.565789
"39","2007-02-28",8.592105
"40","2007-03-01",8.684211
"41","2007-03-02",8.5
"42","2007-03-05",8.5
"43","2007-03-06",8.5
"44","2007-03-07",8.5
"45","2007-03-08",8.684211
"46","2007-03-09",8.684211
"47","2007-03-12",8.684211
"48","2007-03-13",8.684211
"49","2007-03-14",8.684211
"50","2007-03-15",8.684211
"51","2007-03-16",8.592105
"52","2007-03-19",8.447369
"53","2007-03-20",8.447369
"54","2007-03-21",8.447369
"55","2007-03-22",8.447369
"56","2007-03-23",8.447369
"57","2007-03-26",8.421053
"58","2007-03-27",8.421053
"59","2007-03-28",8.421053
"60","2007-03-29",8.552631
"61","2007-03-30",8.552631
"62","2007-04-02",8.75
"63","2007-04-03",8.75
"64","2007-04-04",8.342105
"65","2007-04-05",8.271052
"66","2007-04-09",8.342105
"67","2007-04-10",8.947369
"68","2007-04-11",8.947369
"69","2007-04-12",8.947369
"70","2007-04-13",8.605263
