"","date","ZNH"
"1","2007-01-03",14.906667
"2","2007-01-04",14.513333
"3","2007-01-05",14.32
"4","2007-01-08",14.713333
"5","2007-01-09",15.1
"6","2007-01-10",14.673333
"7","2007-01-11",15.846666
"8","2007-01-12",15.766666
"9","2007-01-16",16.906666
"10","2007-01-17",17.879999
"11","2007-01-18",17.333334
"12","2007-01-19",17.273333
"13","2007-01-22",16.940001
"14","2007-01-23",16.16
"15","2007-01-24",15.693334
"16","2007-01-25",15.04
"17","2007-01-26",14.96
"18","2007-01-29",16.033333
"19","2007-01-30",15.66
"20","2007-01-31",15.613334
"21","2007-02-01",15.146667
"22","2007-02-02",15.113334
"23","2007-02-05",15.026667
"24","2007-02-06",16.066668
"25","2007-02-07",16.013334
"26","2007-02-08",15.96
"27","2007-02-09",15.426666
"28","2007-02-12",15.52
"29","2007-02-13",15.993333
"30","2007-02-14",15.873333
"31","2007-02-15",16.566668
"32","2007-02-16",16.646667
"33","2007-02-20",17.24
"34","2007-02-21",17.066668
"35","2007-02-22",16.620001
"36","2007-02-23",16.26
"37","2007-02-26",15.933333
"38","2007-02-27",14.466666
"39","2007-02-28",15
"40","2007-03-01",14.626667
"41","2007-03-02",14.346666
"42","2007-03-05",13.873333
"43","2007-03-06",14.486667
"44","2007-03-07",14.373333
"45","2007-03-08",14.54
"46","2007-03-09",14.38
"47","2007-03-12",14.92
"48","2007-03-13",14.54
"49","2007-03-14",15.433333
"50","2007-03-15",15.4
"51","2007-03-16",15.233334
"52","2007-03-19",15.266666
"53","2007-03-20",15.62
"54","2007-03-21",15.813334
"55","2007-03-22",15.46
"56","2007-03-23",15.866667
"57","2007-03-26",15.886666
"58","2007-03-27",15.32
"59","2007-03-28",15.053333
"60","2007-03-29",14.846666
"61","2007-03-30",15.126667
"62","2007-04-02",15.346666
"63","2007-04-03",15.5
"64","2007-04-04",15.653334
"65","2007-04-05",15.713333
"66","2007-04-09",15.966666
"67","2007-04-10",15.58
"68","2007-04-11",15.66
"69","2007-04-12",15.853333
"70","2007-04-13",15.493333
"71","2007-04-16",15.54
"72","2007-04-17",15.986667
"73","2007-04-18",15.9
"74","2007-04-19",15.28
"75","2007-04-20",15.646667
"76","2007-04-23",15.34
"77","2007-04-24",15.066667
"78","2007-04-25",15.126667
"79","2007-04-26",15
"80","2007-04-27",15.04
"81","2007-04-30",14.733334
"82","2007-05-01",14.626667
"83","2007-05-02",14.533334
"84","2007-05-03",14.666667
"85","2007-05-04",14.726666
"86","2007-05-07",14.826667
"87","2007-05-08",15.32
"88","2007-05-09",16.333334
"89","2007-05-10",16.493334
"90","2007-05-11",17.313334
"91","2007-05-14",18.113333
"92","2007-05-15",17.986666
"93","2007-05-16",17.693333
"94","2007-05-17",17.873333
"95","2007-05-18",18.033333
"96","2007-05-21",19.093334
"97","2007-05-22",19.826666
"98","2007-05-23",20.860001
"99","2007-05-24",19.866667
"100","2007-05-25",20.52
"101","2007-05-29",19.853333
"102","2007-05-30",19.346666
"103","2007-05-31",19.853333
"104","2007-06-01",19.386667
"105","2007-06-04",18.353333
"106","2007-06-05",18.973333
"107","2007-06-06",18.84
"108","2007-06-07",18.753334
"109","2007-06-08",19.4
"110","2007-06-11",19.360001
"111","2007-06-12",19.066668
"112","2007-06-13",20.033333
"113","2007-06-14",21.293333
"114","2007-06-15",21.48
"115","2007-06-18",21.466667
"116","2007-06-19",21.593334
"117","2007-06-20",22.586666
"118","2007-06-21",23.76
"119","2007-06-22",23.573334
"120","2007-06-25",22.686666
"121","2007-06-26",23.18
"122","2007-06-27",23.113333
"123","2007-06-28",22.98
"124","2007-06-29",23.406666
"125","2007-07-02",24.046667
"126","2007-07-03",23.793333
"127","2007-07-05",23.406666
"128","2007-07-06",23.799999
"129","2007-07-09",23.379999
"130","2007-07-10",22.986666
"131","2007-07-11",22.953333
"132","2007-07-12",22.826666
"133","2007-07-13",22.333334
"134","2007-07-16",21.866667
"135","2007-07-17",21.58
"136","2007-07-18",21.940001
"137","2007-07-19",22.373333
"138","2007-07-20",23
"139","2007-07-23",24.346666
"140","2007-07-24",24.16
"141","2007-07-25",26.933332
"142","2007-07-26",27.333334
"143","2007-07-27",27.453333
"144","2007-07-30",29.493334
"145","2007-07-31",28.16
"146","2007-08-01",26.786667
"147","2007-08-02",28.4
"148","2007-08-03",27.906666
"149","2007-08-06",27.48
"150","2007-08-07",27.34
"151","2007-08-08",27.726667
"152","2007-08-09",28.26
"153","2007-08-10",29.293333
"154","2007-08-13",30.299999
"155","2007-08-14",32.419998
"156","2007-08-15",30.573334
"157","2007-08-16",27
"158","2007-08-17",29.333334
"159","2007-08-20",30.726667
"160","2007-08-21",29.966667
"161","2007-08-22",30.453333
"162","2007-08-23",31.626667
"163","2007-08-24",33
"164","2007-08-27",37.333332
"165","2007-08-28",37.360001
"166","2007-08-29",42
"167","2007-08-30",41.706665
"168","2007-08-31",43.566666
"169","2007-09-04",42.153332
"170","2007-09-05",41.153332
"171","2007-09-06",40.34
"172","2007-09-07",41.293335
"173","2007-09-10",44.400002
"174","2007-09-11",43.846668
"175","2007-09-12",42.946667
"176","2007-09-13",43.353333
"177","2007-09-14",44.693333
"178","2007-09-17",46.439999
"179","2007-09-18",50.400002
"180","2007-09-19",54.566666
"181","2007-09-20",62.986668
"182","2007-09-21",60.553333
"183","2007-09-24",53.373333
"184","2007-09-25",56.106667
"185","2007-09-26",53.860001
"186","2007-09-27",53.386665
"187","2007-09-28",51.34
"188","2007-10-01",53.066666
"189","2007-10-02",51.84
"190","2007-10-03",47.893333
"191","2007-10-04",46.626667
"192","2007-10-05",50.046665
"193","2007-10-08",47.173332
"194","2007-10-09",47.573334
"195","2007-10-10",45.333332
"196","2007-10-11",44.886665
"197","2007-10-12",50.099998
