"","date","CLLS"
"1","2015-03-24",41.5
"2","2015-03-25",39.299999
"3","2015-03-26",37.349998
"4","2015-03-27",35
"5","2015-03-30",35.200001
"6","2015-03-31",34.580002
"7","2015-04-01",33.470001
"8","2015-04-02",32.25
"9","2015-04-06",32.860001
"10","2015-04-07",31.889999
"11","2015-04-08",31.52
"12","2015-04-09",32.209999
"13","2015-04-10",34.869999
"14","2015-04-13",34.200001
"15","2015-04-14",33.669998
"16","2015-04-15",32.400002
"17","2015-04-16",31.950001
"18","2015-04-17",32.59
"19","2015-04-20",32.490002
"20","2015-04-21",32.209999
"21","2015-04-22",31.299999
"22","2015-04-23",32.68
"23","2015-04-24",32.610001
"24","2015-04-27",33.049999
"25","2015-04-28",32.509998
"26","2015-04-29",32.23
"27","2015-04-30",32.900002
"28","2015-05-01",32.91
"29","2015-05-04",32.630001
"30","2015-05-05",31.450001
"31","2015-05-06",31.1
"32","2015-05-07",31.549999
"33","2015-05-08",31.65
"34","2015-05-11",31.67
"35","2015-05-12",31.73
"36","2015-05-13",32.470001
"37","2015-05-14",31.389999
"38","2015-05-15",32.25
"39","2015-05-18",31.700001
"40","2015-05-19",31.219999
"41","2015-05-20",30.65
"42","2015-05-21",30.799999
"43","2015-05-22",34
"44","2015-05-26",36.450001
"45","2015-05-27",40.990002
"46","2015-05-28",47.66
"47","2015-05-29",42.900002
"48","2015-06-01",41.400002
"49","2015-06-02",42.419998
"50","2015-06-03",41.189999
"51","2015-06-04",42.09
"52","2015-06-05",43.490002
"53","2015-06-08",41.400002
"54","2015-06-09",41.650002
"55","2015-06-10",40.720001
"56","2015-06-11",40.68
"57","2015-06-12",40.860001
"58","2015-06-15",38.5
"59","2015-06-16",37.02
"60","2015-06-17",36.139999
"61","2015-06-18",36.610001
"62","2015-06-19",36.25
"63","2015-06-22",36.400002
"64","2015-06-23",36.540001
"65","2015-06-24",35.68
"66","2015-06-25",34.639999
"67","2015-06-26",35.290001
"68","2015-06-29",33.259998
"69","2015-06-30",36.080002
"70","2015-07-01",34.990002
"71","2015-07-02",34.93
"72","2015-07-06",34.279999
"73","2015-07-07",33.919998
"74","2015-07-08",33.450001
"75","2015-07-09",34.450001
"76","2015-07-10",35.720001
"77","2015-07-13",36.02
"78","2015-07-14",35.52
"79","2015-07-15",36.27
"80","2015-07-16",37.529999
"81","2015-07-17",39.779999
"82","2015-07-20",38.529999
"83","2015-07-21",37.25
"84","2015-07-22",37.09
"85","2015-07-23",36.48
"86","2015-07-24",35.57
"87","2015-07-27",34.869999
"88","2015-07-28",36.380001
"89","2015-07-29",35.290001
"90","2015-07-30",34.470001
"91","2015-07-31",35.740002
"92","2015-08-03",35.119999
"93","2015-08-04",34.779999
"94","2015-08-05",35
"95","2015-08-06",35.32
"96","2015-08-07",34.5
"97","2015-08-10",34.75
"98","2015-08-11",33.939999
"99","2015-08-12",33.18
"100","2015-08-13",33.73
"101","2015-08-14",32.549999
"102","2015-08-17",33.560001
"103","2015-08-18",32.77
"104","2015-08-19",32
"105","2015-08-20",30.690001
"106","2015-08-21",29.75
