"","date","TER"
"1","2007-01-03",14.93
"2","2007-01-04",15.46
"3","2007-01-05",15.29
"4","2007-01-08",15.45
"5","2007-01-09",15.69
"6","2007-01-10",16.190001
"7","2007-01-11",16.049999
"8","2007-01-12",16.02
"9","2007-01-16",15.97
"10","2007-01-17",15.93
"11","2007-01-18",14.97
"12","2007-01-19",15.22
"13","2007-01-22",15.2
"14","2007-01-23",15.21
"15","2007-01-24",15.61
"16","2007-01-25",15.33
"17","2007-01-26",15.24
"18","2007-01-29",14.87
"19","2007-01-30",14.94
"20","2007-01-31",14.9
"21","2007-02-01",15.08
"22","2007-02-02",15.21
"23","2007-02-05",15.21
"24","2007-02-06",15.04
"25","2007-02-07",15.32
"26","2007-02-08",15.43
"27","2007-02-09",15.34
"28","2007-02-12",15.25
"29","2007-02-13",15.39
"30","2007-02-14",15.59
"31","2007-02-15",15.64
"32","2007-02-16",15.89
"33","2007-02-20",16.049999
"34","2007-02-21",16.030001
"35","2007-02-22",16.360001
"36","2007-02-23",16.639999
"37","2007-02-26",16.6
"38","2007-02-27",15.95
"39","2007-02-28",16.110001
"40","2007-03-01",16.01
"41","2007-03-02",15.48
"42","2007-03-05",15.49
"43","2007-03-06",15.71
"44","2007-03-07",15.97
"45","2007-03-08",16.469999
"46","2007-03-09",16.639999
"47","2007-03-12",16.84
"48","2007-03-13",16.219999
"49","2007-03-14",16.299999
"50","2007-03-15",16.809999
"51","2007-03-16",16.709999
"52","2007-03-19",16.74
"53","2007-03-20",16.77
"54","2007-03-21",17.17
"55","2007-03-22",16.9
"56","2007-03-23",17.030001
"57","2007-03-26",17
"58","2007-03-27",16.74
"59","2007-03-28",16.5
"60","2007-03-29",16.440001
"61","2007-03-30",16.540001
"62","2007-04-02",16.6
"63","2007-04-03",16.76
"64","2007-04-04",17.16
"65","2007-04-05",17.09
"66","2007-04-09",17.030001
"67","2007-04-10",17.01
"68","2007-04-11",16.75
"69","2007-04-12",16.690001
"70","2007-04-13",16.35
"71","2007-04-16",16.52
"72","2007-04-17",16.35
"73","2007-04-18",16.75
"74","2007-04-19",16.84
"75","2007-04-20",16.639999
"76","2007-04-23",16.719999
"77","2007-04-24",16.66
"78","2007-04-25",17.07
"79","2007-04-26",17.48
"80","2007-04-27",17.440001
"81","2007-04-30",17.450001
"82","2007-05-01",17.4
"83","2007-05-02",17.52
"84","2007-05-03",17.389999
"85","2007-05-04",17.389999
"86","2007-05-07",17.18
"87","2007-05-08",16.91
"88","2007-05-09",17.290001
"89","2007-05-10",16.790001
"90","2007-05-11",17.040001
"91","2007-05-14",16.83
"92","2007-05-15",16.65
"93","2007-05-16",16.719999
"94","2007-05-17",16.73
"95","2007-05-18",16.940001
"96","2007-05-21",16.969999
"97","2007-05-22",17.129999
"98","2007-05-23",16.83
"99","2007-05-24",16.559999
"100","2007-05-25",16.639999
"101","2007-05-29",16.67
"102","2007-05-30",16.58
"103","2007-05-31",17.02
"104","2007-06-01",17.02
"105","2007-06-04",17.17
"106","2007-06-05",16.950001
"107","2007-06-06",16.790001
"108","2007-06-07",16.459999
"109","2007-06-08",16.73
"110","2007-06-11",16.620001
"111","2007-06-12",16.57
"112","2007-06-13",16.870001
"113","2007-06-14",17.110001
"114","2007-06-15",17.360001
"115","2007-06-18",17.6
"116","2007-06-19",17.59
"117","2007-06-20",17.719999
"118","2007-06-21",18.299999
"119","2007-06-22",17.77
"120","2007-06-25",17.379999
"121","2007-06-26",17.15
"122","2007-06-27",17.5
"123","2007-06-28",17.190001
"124","2007-06-29",17.58
"125","2007-07-02",17.879999
"126","2007-07-03",17.82
"127","2007-07-05",17.68
"128","2007-07-06",17.969999
"129","2007-07-09",18.17
"130","2007-07-10",17.92
"131","2007-07-11",17.5
"132","2007-07-12",17.9
"133","2007-07-13",17.879999
"134","2007-07-16",17.790001
"135","2007-07-17",18.030001
"136","2007-07-18",17.719999
"137","2007-07-19",17.610001
"138","2007-07-20",17.440001
"139","2007-07-23",17.24
"140","2007-07-24",16.73
"141","2007-07-25",16.68
"142","2007-07-26",16.129999
"143","2007-07-27",15.75
"144","2007-07-30",15.99
"145","2007-07-31",15.69
"146","2007-08-01",15.6
"147","2007-08-02",15.76
"148","2007-08-03",15.12
"149","2007-08-06",15.61
"150","2007-08-07",15.5
"151","2007-08-08",15.63
"152","2007-08-09",15.41
"153","2007-08-10",15.44
"154","2007-08-13",15.67
"155","2007-08-14",15.31
"156","2007-08-15",15.01
"157","2007-08-16",15.02
"158","2007-08-17",15.45
"159","2007-08-20",15.48
"160","2007-08-21",15.49
"161","2007-08-22",15.66
"162","2007-08-23",15.31
"163","2007-08-24",15.43
"164","2007-08-27",15.17
"165","2007-08-28",14.56
"166","2007-08-29",15.12
"167","2007-08-30",14.64
"168","2007-08-31",14.89
"169","2007-09-04",14.88
"170","2007-09-05",14.24
"171","2007-09-06",14.5
"172","2007-09-07",14.45
"173","2007-09-10",14.64
"174","2007-09-11",14.74
"175","2007-09-12",14.12
"176","2007-09-13",13.99
"177","2007-09-14",13.88
"178","2007-09-17",14.07
"179","2007-09-18",14.49
"180","2007-09-19",14.28
"181","2007-09-20",14.21
"182","2007-09-21",14.26
"183","2007-09-24",14.01
