"","date","EBR"
"1","2008-11-19",10.75
"2","2008-11-20",9.8
"3","2008-11-21",11.89
"4","2008-11-24",10.98
"5","2008-11-25",11.33
"6","2008-11-26",12.1
"7","2008-11-28",11.54
"8","2008-12-01",10.77
"9","2008-12-02",11.25
"10","2008-12-03",10.91
"11","2008-12-04",10.97
"12","2008-12-05",11.71
"13","2008-12-08",11.66
"14","2008-12-09",11.57
"15","2008-12-10",11.42
"16","2008-12-11",11.26
"17","2008-12-12",12
"18","2008-12-15",11.48
"19","2008-12-16",12.14
"20","2008-12-17",11.44
"21","2008-12-18",11.78
"22","2008-12-19",12.13
"23","2008-12-22",11.59
"24","2008-12-23",10.85
"25","2008-12-24",10.78
"26","2008-12-26",11.2
"27","2008-12-29",10.63
"28","2008-12-30",11.04
"29","2008-12-31",11.17
"30","2009-01-02",11.6
"31","2009-01-05",12.14
"32","2009-01-06",11.97
"33","2009-01-07",11.65
"34","2009-01-08",11.49
"35","2009-01-09",11.31
"36","2009-01-12",11.25
"37","2009-01-13",11.61
"38","2009-01-14",10.95
"39","2009-01-15",11.86
"40","2009-01-16",11.98
"41","2009-01-20",10.8
"42","2009-01-21",11.79
"43","2009-01-22",11.14
"44","2009-01-23",11.37
"45","2009-01-26",11.2
"46","2009-01-27",11.3
"47","2009-01-28",11.54
"48","2009-01-29",11.27
"49","2009-01-30",11.18
"50","2009-02-02",11.14
"51","2009-02-03",10.92
"52","2009-02-04",11.02
"53","2009-02-05",11.68
"54","2009-02-06",11.88
"55","2009-02-09",12.05
"56","2009-02-10",11.87
"57","2009-02-11",12.17
"58","2009-02-12",12
"59","2009-02-13",12.25
"60","2009-02-17",11.47
"61","2009-02-18",11.25
"62","2009-02-19",10.99
"63","2009-02-20",11.03
"64","2009-02-23",10.16
"65","2009-02-24",10.42
"66","2009-02-25",10.53
"67","2009-02-26",10.76
"68","2009-02-27",10.8
"69","2009-03-02",10.4
"70","2009-03-03",10.25
"71","2009-03-04",10.54
"72","2009-03-05",10.3
"73","2009-03-06",10.51
"74","2009-03-09",10.23
"75","2009-03-10",11.08
"76","2009-03-11",10.38
"77","2009-03-12",10.6
"78","2009-03-13",10.51
"79","2009-03-16",10.48
"80","2009-03-17",11.07
"81","2009-03-18",11.28
"82","2009-03-19",11.12
"83","2009-03-20",10.97
"84","2009-03-23",10.93
"85","2009-03-24",10.69
"86","2009-03-25",10.91
"87","2009-03-26",11.51
"88","2009-03-27",10.88
"89","2009-03-30",11.02
"90","2009-03-31",10.83
"91","2009-04-01",11.68
"92","2009-04-02",12.27
"93","2009-04-03",12.79
"94","2009-04-06",12.36
"95","2009-04-07",12.24
"96","2009-04-08",12.6
"97","2009-04-09",12.78
"98","2009-04-13",12.94
"99","2009-04-14",12.25
"100","2009-04-15",12.93
"101","2009-04-16",13
"102","2009-04-17",12.89
"103","2009-04-20",12.55
"104","2009-04-21",13.27
"105","2009-04-22",12.72
"106","2009-04-23",12.72
"107","2009-04-24",12.61
"108","2009-04-27",12.4
"109","2009-04-28",12.81
"110","2009-04-29",13.6
"111","2009-04-30",13.08
"112","2009-05-01",13.63
"113","2009-05-04",13.89
"114","2009-05-05",12.78
"115","2009-05-06",12.9
"116","2009-05-07",12.94
"117","2009-05-08",13.25
"118","2009-05-11",13.09
"119","2009-05-12",12.78
"120","2009-05-13",11.84
"121","2009-05-14",12.62
"122","2009-05-15",12.3
"123","2009-05-18",12.67
"124","2009-05-19",12.65
"125","2009-05-20",12.57
"126","2009-05-21",12.46
"127","2009-05-22",12.52
"128","2009-05-26",12.47
"129","2009-05-27",12.6
"130","2009-05-28",12.87
"131","2009-05-29",13.23
"132","2009-06-01",13.69
"133","2009-06-02",13.58
"134","2009-06-03",12.98
"135","2009-06-04",13.3
"136","2009-06-05",13.08
"137","2009-06-08",12.85
"138","2009-06-09",13.05
"139","2009-06-10",13.28
"140","2009-06-11",14.08
"141","2009-06-12",14.02
"142","2009-06-15",13.26
"143","2009-06-16",13.15
"144","2009-06-17",13.55
"145","2009-06-18",13.69
"146","2009-06-19",14.77
"147","2009-06-22",14.53
"148","2009-06-23",14.42
"149","2009-06-24",14.15
"150","2009-06-25",14.35
"151","2009-06-26",14.36
"152","2009-06-29",14.68
"153","2009-06-30",14.58
"154","2009-07-01",14.88
"155","2009-07-02",14.3
"156","2009-07-06",14.94
"157","2009-07-07",14.56
"158","2009-07-08",14.31
"159","2009-07-09",14.31
"160","2009-07-10",14.26
"161","2009-07-13",14.69
"162","2009-07-14",14.32
"163","2009-07-15",14.85
"164","2009-07-16",14.83
"165","2009-07-17",14.95
"166","2009-07-20",15.36
"167","2009-07-21",15.28
"168","2009-07-22",15.16
"169","2009-07-23",15.14
"170","2009-07-24",14.96
"171","2009-07-27",15.2
"172","2009-07-28",14.97
"173","2009-07-29",14.79
"174","2009-07-30",15.2
"175","2009-07-31",15.29
"176","2009-08-03",15.66
"177","2009-08-04",15.79
"178","2009-08-05",16.059999
"179","2009-08-06",16.700001
"180","2009-08-07",16.35
"181","2009-08-10",15.89
"182","2009-08-11",15.32
"183","2009-08-12",15.29
"184","2009-08-13",15.26
"185","2009-08-14",14.92
"186","2009-08-17",14.22
"187","2009-08-18",14.8
"188","2009-08-19",14.53
"189","2009-08-20",14.65
"190","2009-08-21",14.7
"191","2009-08-24",14.83
"192","2009-08-25",14.42
"193","2009-08-26",14.6
"194","2009-08-27",15.39
"195","2009-08-28",14.8
"196","2009-08-31",14.39
"197","2009-09-01",14.1
"198","2009-09-02",14.2
"199","2009-09-03",14.66
"200","2009-09-04",15.07
"201","2009-09-08",15.38
"202","2009-09-09",15.25
"203","2009-09-10",15.64
"204","2009-09-11",15.53
"205","2009-09-14",15.77
"206","2009-09-15",15.66
"207","2009-09-16",15.98
"208","2009-09-17",15.87
"209","2009-09-18",15.94
"210","2009-09-21",15.38
"211","2009-09-22",15.67
"212","2009-09-23",15.32
"213","2009-09-24",15.03
"214","2009-09-25",15.15
"215","2009-09-28",15.22
"216","2009-09-29",15.15
"217","2009-09-30",15.47
"218","2009-10-01",14.96
"219","2009-10-02",15.43
"220","2009-10-05",15.84
"221","2009-10-06",15.95
"222","2009-10-07",16.120001
"223","2009-10-08",16.15
"224","2009-10-09",16.190001
"225","2009-10-12",16.33
"226","2009-10-13",16.370001
"227","2009-10-14",16.91
"228","2009-10-15",16.879999
"229","2009-10-16",16.52
"230","2009-10-19",16.389999
"231","2009-10-20",15.69
"232","2009-10-21",15.9
"233","2009-10-22",15.8
"234","2009-10-23",15.57
"235","2009-10-26",15.09
"236","2009-10-27",14.64
"237","2009-10-28",13.97
"238","2009-10-29",14.81
"239","2009-10-30",14.34
"240","2009-11-02",14.24
"241","2009-11-03",14.44
"242","2009-11-04",15.23
"243","2009-11-05",15.69
"244","2009-11-06",16.09
"245","2009-11-09",16.870001
"246","2009-11-10",16.549999
"247","2009-11-11",16.26
"248","2009-11-12",15.85
"249","2009-11-13",16.190001
"250","2009-11-16",16.389999
"251","2009-11-17",16.57
"252","2009-11-18",16.459999
"253","2009-11-19",16.24
"254","2009-11-20",16.049999
"255","2009-11-23",16.26
"256","2009-11-24",16.33
"257","2009-11-25",16.719999
"258","2009-11-27",17.389999
"259","2009-11-30",17.17
"260","2009-12-01",18.09
"261","2009-12-02",19.58
"262","2009-12-03",19.549999
"263","2009-12-04",19.84
"264","2009-12-07",19.83
"265","2009-12-08",20.030001
"266","2009-12-09",20.860001
"267","2009-12-10",22.27
"268","2009-12-11",22.1
"269","2009-12-14",20.969999
"270","2009-12-15",21.200001
