"","date","HCI"
"1","2008-09-15",6.1
"2","2008-09-16",6.09
"3","2008-09-17",5.45
"4","2008-09-18",6.2
"5","2008-09-19",6.25
"6","2008-09-22",6.11
"7","2008-09-23",6.55
"8","2008-09-24",6.16
"9","2008-09-25",6.76
"10","2008-09-26",6.15
"11","2008-09-29",5.45
"12","2008-09-30",6
"13","2008-10-01",5.92
"14","2008-10-02",6.5
"15","2008-10-03",6.4
"16","2008-10-06",5.28
"17","2008-10-07",5
"18","2008-10-08",5.4
"19","2008-10-09",5.02
"20","2008-10-10",4.5
"21","2008-10-13",4.62
"22","2008-10-14",5.01
"23","2008-10-15",4.96
"24","2008-10-16",4.8
"25","2008-10-17",5.4
"26","2008-10-20",5.35
"27","2008-10-21",5.75
"28","2008-10-22",5.9
"29","2008-10-23",5.68
"30","2008-10-24",5.49
"31","2008-10-27",5.69
"32","2008-10-28",5.2
"33","2008-10-29",5.25
"34","2008-10-30",5.4
"35","2008-10-31",5.73
"36","2008-11-03",5.73
"37","2008-11-04",5.73
"38","2008-11-05",5.41
"39","2008-11-06",5.6
"40","2008-11-07",5.88
"41","2008-11-10",5.74
"42","2008-11-11",5.64
"43","2008-11-12",5.4
"44","2008-11-13",5.54
"45","2008-11-14",5.3
"46","2008-11-17",5.3
"47","2008-11-18",5.28
"48","2008-11-19",4.36
"49","2008-11-20",4.4
"50","2008-11-21",4.5
"51","2008-11-24",4.99
"52","2008-11-25",4.91
"53","2008-11-26",4.91
"54","2008-11-28",4.78
"55","2008-12-01",5.04
"56","2008-12-02",4.79
"57","2008-12-03",4.85
"58","2008-12-04",5
"59","2008-12-05",5
"60","2008-12-08",5
"61","2008-12-09",5
"62","2008-12-10",4.9
"63","2008-12-11",5
"64","2008-12-12",4.99
"65","2008-12-15",4.98
"66","2008-12-16",5.03
"67","2008-12-17",4.9
"68","2008-12-18",4.96
"69","2008-12-19",5
"70","2008-12-22",4.79
"71","2008-12-23",4.76
"72","2008-12-24",4.76
"73","2008-12-26",5
"74","2008-12-29",5.05
"75","2008-12-30",5.1
"76","2008-12-31",5.36
"77","2009-01-02",5.15
"78","2009-01-05",5.1
"79","2009-01-06",5.26
"80","2009-01-07",4.93
"81","2009-01-08",5.13
"82","2009-01-09",5.09
"83","2009-01-12",5.05
"84","2009-01-13",5.1
"85","2009-01-14",5.14
"86","2009-01-15",4.9
"87","2009-01-16",4.6
"88","2009-01-20",4.65
"89","2009-01-21",4.94
"90","2009-01-22",4.5
"91","2009-01-23",4.7
"92","2009-01-26",4.73
"93","2009-01-27",4.9
"94","2009-01-28",4.85
"95","2009-01-29",4.93
"96","2009-01-30",5
"97","2009-02-02",5
"98","2009-02-03",5
"99","2009-02-04",5
"100","2009-02-05",4.9
"101","2009-02-06",4.9
"102","2009-02-09",5.1
"103","2009-02-10",5.09
"104","2009-02-11",5.06
"105","2009-02-12",4.99
"106","2009-02-13",5.01
"107","2009-02-17",4.75
"108","2009-02-18",4.85
"109","2009-02-19",4.85
"110","2009-02-20",4.45
"111","2009-02-23",4.89
"112","2009-02-24",4.88
"113","2009-02-25",4.87
"114","2009-02-26",4.88
"115","2009-02-27",4.87
"116","2009-03-02",5.1
"117","2009-03-03",4.97
"118","2009-03-04",5.1
"119","2009-03-05",5.05
