"","date","RMR"
"1","2015-12-14",11.89
"2","2015-12-15",13
"3","2015-12-16",13.28
"4","2015-12-17",14.44
"5","2015-12-18",16.76
"6","2015-12-21",14.05
"7","2015-12-22",13.32
"8","2015-12-23",13.43
"9","2015-12-24",13.45
"10","2015-12-28",13.98
"11","2015-12-29",14.4
"12","2015-12-30",14.44
"13","2015-12-31",14.41
"14","2016-01-04",15.67
"15","2016-01-05",15.82
"16","2016-01-06",15.97
"17","2016-01-07",15.71
"18","2016-01-08",15.88
"19","2016-01-11",16.43
"20","2016-01-12",17.190001
"21","2016-01-13",17.809999
"22","2016-01-14",20.110001
"23","2016-01-15",19.200001
"24","2016-01-19",19.370001
"25","2016-01-20",18.99
"26","2016-01-21",19.02
"27","2016-01-22",21.51
"28","2016-01-25",21.629999
"29","2016-01-26",22.42
"30","2016-01-27",21.02
"31","2016-01-28",20.620001
"32","2016-01-29",20.85
"33","2016-02-01",19.940001
"34","2016-02-02",19
"35","2016-02-03",19.77
"36","2016-02-04",21.26
"37","2016-02-05",21.75
"38","2016-02-08",21.700001
"39","2016-02-09",21.42
"40","2016-02-10",21.32
"41","2016-02-11",20.85
"42","2016-02-12",20.389999
"43","2016-02-16",20.690001
"44","2016-02-17",21.790001
"45","2016-02-18",22.110001
"46","2016-02-19",23.02
"47","2016-02-22",23.74
"48","2016-02-23",23.66
"49","2016-02-24",23.07
"50","2016-02-25",23.190001
"51","2016-02-26",23.09
"52","2016-02-29",22.559999
"53","2016-03-01",23.18
"54","2016-03-02",23.34
"55","2016-03-03",23.950001
"56","2016-03-04",23.709999
"57","2016-03-07",23.07
"58","2016-03-08",23.27
"59","2016-03-09",23.27
"60","2016-03-10",23.6
"61","2016-03-11",23.9
"62","2016-03-14",23.879999
"63","2016-03-15",23.85
"64","2016-03-16",23.950001
"65","2016-03-17",24.870001
"66","2016-03-18",24.879999
"67","2016-03-21",24.629999
"68","2016-03-22",24.459999
"69","2016-03-23",24.370001
"70","2016-03-24",24.360001
"71","2016-03-28",24.790001
"72","2016-03-29",24.98
"73","2016-03-30",25.040001
"74","2016-03-31",25.01
"75","2016-04-01",24.040001
"76","2016-04-04",24.059999
"77","2016-04-05",24.389999
"78","2016-04-06",24.32
"79","2016-04-07",24.16
"80","2016-04-08",24.129999
"81","2016-04-11",24.9
"82","2016-04-12",24.790001
"83","2016-04-13",25.08
"84","2016-04-14",25.25
"85","2016-04-15",24.719999
"86","2016-04-18",24.5
"87","2016-04-19",24.860001
"88","2016-04-20",24.76
"89","2016-04-21",24.01
"90","2016-04-22",25.01
"91","2016-04-25",25.01
"92","2016-04-26",25.48
"93","2016-04-27",25.24
"94","2016-04-28",25.15
"95","2016-04-29",24.92
"96","2016-05-02",25.84
"97","2016-05-03",25.860001
"98","2016-05-04",25.809999
"99","2016-05-05",25.809999
"100","2016-05-06",25.879999
"101","2016-05-09",26.08
"102","2016-05-10",27.49
"103","2016-05-11",28.780001
"104","2016-05-12",29.18
"105","2016-05-13",29.280001
"106","2016-05-16",29.559999
"107","2016-05-17",29.26
"108","2016-05-18",29.389999
