"","date","VYGR"
"1","2015-11-11",17.75
"2","2015-11-12",17.5
"3","2015-11-13",18.1
"4","2015-11-16",17.799999
"5","2015-11-17",19.15
"6","2015-11-18",20
"7","2015-11-19",21.959999
"8","2015-11-20",22.889999
"9","2015-11-23",23.360001
"10","2015-11-24",26
"11","2015-11-25",27.27
"12","2015-11-27",26.41
"13","2015-11-30",25.190001
"14","2015-12-01",27.85
"15","2015-12-02",27.860001
"16","2015-12-03",28.280001
"17","2015-12-04",29.25
"18","2015-12-07",30.200001
"19","2015-12-08",30.110001
"20","2015-12-09",24.719999
"21","2015-12-10",24.59
"22","2015-12-11",23.719999
"23","2015-12-14",21
"24","2015-12-15",21
"25","2015-12-16",19.639999
"26","2015-12-17",20.690001
"27","2015-12-18",21.440001
"28","2015-12-21",20.99
"29","2015-12-22",20.73
"30","2015-12-23",20.700001
"31","2015-12-24",20.959999
"32","2015-12-28",21.35
"33","2015-12-29",22.98
"34","2015-12-30",22.9
"35","2015-12-31",21.9
"36","2016-01-04",21.15
"37","2016-01-05",20.440001
"38","2016-01-06",20.950001
"39","2016-01-07",18.91
"40","2016-01-08",18.83
"41","2016-01-11",16.51
"42","2016-01-12",16.360001
"43","2016-01-13",14.78
"44","2016-01-14",14
"45","2016-01-15",13.78
"46","2016-01-19",12.64
"47","2016-01-20",12.33
"48","2016-01-21",11.51
"49","2016-01-22",12.37
"50","2016-01-25",12.32
"51","2016-01-26",11.56
"52","2016-01-27",11.04
"53","2016-01-28",10.46
"54","2016-01-29",10.68
"55","2016-02-01",11.09
"56","2016-02-02",11.91
"57","2016-02-03",11.53
"58","2016-02-04",10.5
"59","2016-02-05",10.36
"60","2016-02-08",10.11
"61","2016-02-09",10.39
"62","2016-02-10",10.42
"63","2016-02-11",10.11
"64","2016-02-12",10.21
"65","2016-02-16",9.91
"66","2016-02-17",9.93
"67","2016-02-18",10.06
"68","2016-02-19",10.09
"69","2016-02-22",10
"70","2016-02-23",9.8
"71","2016-02-24",9.74
"72","2016-02-25",9.99
"73","2016-02-26",10.03
"74","2016-02-29",9.57
"75","2016-03-01",8.56
"76","2016-03-02",9.25
"77","2016-03-03",10.07
"78","2016-03-04",9.21
"79","2016-03-07",9.21
"80","2016-03-08",9.15
"81","2016-03-09",9.04
"82","2016-03-10",8.8
"83","2016-03-11",9.66
"84","2016-03-14",10.04
"85","2016-03-15",9.91
"86","2016-03-16",10.33
"87","2016-03-17",10.56
"88","2016-03-18",9.59
"89","2016-03-21",9.34
"90","2016-03-22",9.35
"91","2016-03-23",9.2
"92","2016-03-24",8.74
"93","2016-03-28",8.74
"94","2016-03-29",9
"95","2016-03-30",8.84
"96","2016-03-31",8.73
"97","2016-04-01",9.21
"98","2016-04-04",8.91
"99","2016-04-05",8.77
"100","2016-04-06",9.29
"101","2016-04-07",9.27
"102","2016-04-08",9.17
"103","2016-04-11",9.64
"104","2016-04-12",10.98
"105","2016-04-13",13.49
"106","2016-04-14",12.43
"107","2016-04-15",12.16
"108","2016-04-18",12.39
"109","2016-04-19",12.47
"110","2016-04-20",11.51
"111","2016-04-21",11.83
