"","date","TNXP"
"1","2012-05-10",30000
"2","2012-05-11",30000
"3","2012-05-14",30000
"4","2012-05-15",30000
"5","2012-05-16",26400
"6","2012-05-17",20200
"7","2012-05-18",20200
"8","2012-05-21",20200
"9","2012-05-22",20200
"10","2012-05-23",20000
"11","2012-05-24",20000
"12","2012-05-25",19000
"13","2012-05-29",19000
"14","2012-05-30",19000
"15","2012-05-31",19000
"16","2012-06-01",16800
"17","2012-06-04",16800
"18","2012-06-05",16800
"19","2012-06-06",17000
"20","2012-06-07",20000
"21","2012-06-08",19000
"22","2012-06-11",20000
"23","2012-06-12",20000
"24","2012-06-13",20000
"25","2012-06-14",20000
"26","2012-06-15",19000
"27","2012-06-18",19000
"28","2012-06-19",19000
"29","2012-06-20",16600
"30","2012-06-21",16600
"31","2012-06-22",16600
"32","2012-06-25",20400
"33","2012-06-26",20000
"34","2012-06-27",20000
"35","2012-06-28",20000
"36","2012-06-29",20000
"37","2012-07-02",19800
"38","2012-07-03",19800
"39","2012-07-05",19800
"40","2012-07-06",19800
"41","2012-07-09",20000
"42","2012-07-10",19800
"43","2012-07-11",19800
"44","2012-07-12",19800
"45","2012-07-13",19600
"46","2012-07-16",19600
"47","2012-07-17",19200
"48","2012-07-18",18000
"49","2012-07-19",18000
"50","2012-07-20",18000
"51","2012-07-23",17000
"52","2012-07-24",18800
"53","2012-07-25",18000
"54","2012-07-26",18200
"55","2012-07-27",18200
"56","2012-07-30",18200
"57","2012-07-31",18200
"58","2012-08-01",18200
"59","2012-08-02",18200
"60","2012-08-03",18200
"61","2012-08-06",18200
"62","2012-08-07",18200
"63","2012-08-08",18200
"64","2012-08-09",18200
"65","2012-08-10",17000
"66","2012-08-13",17000
"67","2012-08-14",17800
"68","2012-08-15",17800
"69","2012-08-16",17800
"70","2012-08-17",17800
"71","2012-08-20",17800
"72","2012-08-21",17800
"73","2012-08-22",17800
"74","2012-08-23",17000
"75","2012-08-24",17000
"76","2012-08-27",17000
"77","2012-08-28",16000
"78","2012-08-29",16000
"79","2012-08-30",16000
"80","2012-08-31",16000
"81","2012-09-04",16000
"82","2012-09-05",16000
"83","2012-09-06",16000
"84","2012-09-07",15800
"85","2012-09-10",15800
"86","2012-09-11",15800
"87","2012-09-12",15800
"88","2012-09-13",15000
"89","2012-09-14",14800
"90","2012-09-17",14800
"91","2012-09-18",14800
"92","2012-09-19",14800
"93","2012-09-20",14800
"94","2012-09-21",14800
"95","2012-09-24",14800
"96","2012-09-25",14800
"97","2012-09-26",14800
"98","2012-09-27",14800
"99","2012-09-28",14800
"100","2012-10-01",14800
"101","2012-10-02",14800
"102","2012-10-03",14000
"103","2012-10-04",14000
"104","2012-10-05",14000
"105","2012-10-08",14000
"106","2012-10-09",14000
"107","2012-10-10",14000
"108","2012-10-11",14000
"109","2012-10-12",14000
"110","2012-10-15",14000
"111","2012-10-16",14000
"112","2012-10-17",14000
"113","2012-10-18",14000
"114","2012-10-19",14000
"115","2012-10-22",14000
"116","2012-10-23",14000
"117","2012-10-24",14000
"118","2012-10-25",16000
"119","2012-10-26",13000
"120","2012-10-31",13600
"121","2012-11-01",13600
"122","2012-11-02",13600
"123","2012-11-05",14000
"124","2012-11-06",14000
"125","2012-11-07",14000
"126","2012-11-08",14000
"127","2012-11-09",14000
"128","2012-11-12",12000
"129","2012-11-13",10200
"130","2012-11-14",10200
"131","2012-11-15",10200
"132","2012-11-16",11000
"133","2012-11-19",11000
"134","2012-11-20",11000
"135","2012-11-21",10000
"136","2012-11-23",10000
"137","2012-11-26",10000
"138","2012-11-27",11000
"139","2012-11-28",11000
"140","2012-11-29",11000
"141","2012-11-30",12000
"142","2012-12-03",12000
"143","2012-12-04",12000
"144","2012-12-05",10000
"145","2012-12-06",10000
"146","2012-12-07",10000
"147","2012-12-10",10000
"148","2012-12-11",10000
"149","2012-12-12",10000
"150","2012-12-13",10000
"151","2012-12-14",10000
"152","2012-12-17",9200
"153","2012-12-18",9200
"154","2012-12-19",9200
"155","2012-12-20",9200
"156","2012-12-21",9200
"157","2012-12-24",9200
"158","2012-12-26",9200
"159","2012-12-27",9200
"160","2012-12-28",9200
"161","2012-12-31",11000
"162","2013-01-02",11000
"163","2013-01-03",11000
"164","2013-01-04",11000
"165","2013-01-07",8800
"166","2013-01-08",11000
"167","2013-01-09",12000
"168","2013-01-10",13000
"169","2013-01-11",12000
"170","2013-01-14",13000
"171","2013-01-15",11000
"172","2013-01-16",11000
"173","2013-01-17",11000
"174","2013-01-18",11000
"175","2013-01-22",11000
"176","2013-01-23",10000
"177","2013-01-24",10000
"178","2013-01-25",10000
"179","2013-01-28",10000
"180","2013-01-29",10000
"181","2013-01-30",10000
"182","2013-01-31",10000
"183","2013-02-01",10000
"184","2013-02-04",13800
"185","2013-02-05",13800
"186","2013-02-06",13800
"187","2013-02-07",7000
"188","2013-02-08",12400
"189","2013-02-11",11000
"190","2013-02-12",8000
"191","2013-02-13",8000
"192","2013-02-14",8000
"193","2013-02-15",6000
"194","2013-02-19",6400
"195","2013-02-20",4800
"196","2013-02-21",4800
"197","2013-02-22",4800
"198","2013-02-25",4800
"199","2013-02-26",4800
"200","2013-02-27",4800
"201","2013-02-28",6400
"202","2013-03-01",8400
"203","2013-03-04",6400
"204","2013-03-05",7800
"205","2013-03-06",7800
"206","2013-03-07",7800
"207","2013-03-08",6600
"208","2013-03-11",6000
"209","2013-03-12",6000
"210","2013-03-13",6000
"211","2013-03-14",6000
"212","2013-03-15",6000
"213","2013-03-18",6000
"214","2013-03-19",7200
"215","2013-03-20",6000
"216","2013-03-21",7000
"217","2013-03-22",6000
"218","2013-03-25",6000
"219","2013-03-26",5600
"220","2013-03-27",5800
"221","2013-03-28",7200
"222","2013-04-01",7000
"223","2013-04-02",6600
"224","2013-04-03",6600
"225","2013-04-04",7800
"226","2013-04-05",7400
"227","2013-04-08",7400
"228","2013-04-09",7000
"229","2013-04-10",6600
"230","2013-04-11",7400
"231","2013-04-12",7400
"232","2013-04-15",6000
"233","2013-04-16",7000
"234","2013-04-17",7000
"235","2013-04-18",7000
"236","2013-04-19",6000
"237","2013-04-22",6000
"238","2013-04-23",6000
"239","2013-04-24",7000
"240","2013-04-25",7000
"241","2013-04-26",7000
"242","2013-04-29",7200
"243","2013-04-30",7200
"244","2013-05-01",7200
"245","2013-05-02",7200
"246","2013-05-03",7500
"247","2013-05-06",10000
"248","2013-05-07",10000
"249","2013-05-08",10000
"250","2013-05-09",10000
"251","2013-05-10",10000
"252","2013-05-13",10000
"253","2013-05-14",9800
"254","2013-05-15",9100
"255","2013-05-16",6500
"256","2013-05-17",6500
"257","2013-05-20",7750
"258","2013-05-21",7490
"259","2013-05-22",7480
"260","2013-05-23",6500
"261","2013-05-24",7490
"262","2013-05-28",7250
"263","2013-05-29",7250
"264","2013-05-30",6500
"265","2013-05-31",6950
"266","2013-06-03",6000
"267","2013-06-04",6000
"268","2013-06-05",6000
"269","2013-06-06",6000
"270","2013-06-07",6000
"271","2013-06-10",6450
"272","2013-06-11",6450
"273","2013-06-12",6500
"274","2013-06-13",6500
"275","2013-06-14",6250
"276","2013-06-17",6250
"277","2013-06-18",6250
"278","2013-06-19",6000
"279","2013-06-20",5350
"280","2013-06-21",6990
"281","2013-06-24",6750
"282","2013-06-25",6740
"283","2013-06-26",6740
"284","2013-06-27",6740
"285","2013-06-28",6740
"286","2013-07-01",6740
"287","2013-07-02",5250
"288","2013-07-03",4000
"289","2013-07-05",6120
"290","2013-07-08",6120
"291","2013-07-09",6500
"292","2013-07-10",6500
"293","2013-07-11",6500
"294","2013-07-12",6500
"295","2013-07-15",6500
"296","2013-07-16",7500
"297","2013-07-17",7500
"298","2013-07-18",7500
"299","2013-07-19",7990
"300","2013-07-22",6500
"301","2013-07-23",6500
"302","2013-07-24",6500
"303","2013-07-25",6500
"304","2013-07-26",6500
"305","2013-07-29",6240
"306","2013-07-30",6240
"307","2013-07-31",6240
"308","2013-08-01",5300
"309","2013-08-02",5300
"310","2013-08-05",5300
"311","2013-08-06",5300
"312","2013-08-07",5500
"313","2013-08-08",5500
"314","2013-08-09",3840
"315","2013-08-12",3770
"316","2013-08-13",3840
