"","date","LLIT"
"1","2010-04-22",100.639999
"2","2010-04-23",99.120003
"3","2010-04-26",92.720001
"4","2010-04-27",96
"5","2010-04-28",91.199997
"6","2010-04-29",87.279999
"7","2010-04-30",84.800003
"8","2010-05-03",80.480003
"9","2010-05-04",69.599998
"10","2010-05-05",72.160004
"11","2010-05-06",69.599998
"12","2010-05-07",67.040001
"13","2010-05-10",64.879997
"14","2010-05-11",66
"15","2010-05-12",67.68
"16","2010-05-13",66
"17","2010-05-14",69.599998
"18","2010-05-17",67.199997
"19","2010-05-18",57.599998
"20","2010-05-19",52.799999
"21","2010-05-20",57.360001
"22","2010-05-21",57.52
"23","2010-05-24",58.32
"24","2010-05-25",55.119999
"25","2010-05-26",57.599998
"26","2010-05-27",61.52
"27","2010-05-28",62.080002
"28","2010-06-01",64
"29","2010-06-02",63.439999
"30","2010-06-03",58.080002
"31","2010-06-04",60.560001
"32","2010-06-07",60.080002
"33","2010-06-08",57.599998
"34","2010-06-09",54.799999
"35","2010-06-10",56
"36","2010-06-11",60.959999
"37","2010-06-14",57.200001
"38","2010-06-15",57.599998
"39","2010-06-16",53.919998
"40","2010-06-17",56.16
"41","2010-06-18",54.799999
"42","2010-06-21",55.119999
"43","2010-06-22",56
"44","2010-06-23",55.200001
"45","2010-06-24",54.32
"46","2010-06-25",52.799999
"47","2010-06-28",51.599998
"48","2010-06-29",50.400002
"49","2010-06-30",50.400002
"50","2010-07-01",48.240002
"51","2010-07-02",47.360001
"52","2010-07-06",48
"53","2010-07-07",50.240002
"54","2010-07-08",47.919998
"55","2010-07-09",47.759998
"56","2010-07-12",42
"57","2010-07-13",44.400002
"58","2010-07-14",43.84
"59","2010-07-15",41.919998
"60","2010-07-16",39.200001
"61","2010-07-19",38
"62","2010-07-20",41.84
"63","2010-07-21",42.080002
"64","2010-07-22",41.200001
"65","2010-07-23",41.759998
"66","2010-07-26",41.759998
"67","2010-07-27",38
"68","2010-07-28",39.200001
"69","2010-07-29",40.959999
"70","2010-07-30",38.400002
"71","2010-08-02",39.52
"72","2010-08-03",38.560001
"73","2010-08-04",38.400002
"74","2010-08-05",38.400002
"75","2010-08-06",38
"76","2010-08-09",36.959999
"77","2010-08-10",36.16
"78","2010-08-11",32.560001
"79","2010-08-12",32
"80","2010-08-13",36.799999
"81","2010-08-16",36.799999
"82","2010-08-17",35.52
"83","2010-08-18",35.919998
"84","2010-08-19",33.84
"85","2010-08-20",32.48
"86","2010-08-23",32.32
"87","2010-08-24",31.280001
"88","2010-08-25",30.959999
"89","2010-08-26",29.120001
"90","2010-08-27",30.4
"91","2010-08-30",28.48
"92","2010-08-31",27.84
"93","2010-09-01",30
"94","2010-09-02",29.76
"95","2010-09-03",31.440001
"96","2010-09-07",36
"97","2010-09-08",40.48
"98","2010-09-09",48.080002
"99","2010-09-10",56.080002
"100","2010-09-13",54.639999
"101","2010-09-14",49.279999
"102","2010-09-15",46
"103","2010-09-16",43.52
"104","2010-09-17",44.48
"105","2010-09-20",47.200001
"106","2010-09-21",45.200001
"107","2010-09-22",43.84
"108","2010-09-23",41.52
"109","2010-09-24",41.360001
"110","2010-09-27",40
"111","2010-09-28",40.48
"112","2010-09-29",39.200001
"113","2010-09-30",41.919998
"114","2010-10-01",40.48
"115","2010-10-04",40.080002
"116","2010-10-05",40
"117","2010-10-06",40
"118","2010-10-07",38.880001
"119","2010-10-08",47.599998
"120","2010-10-11",52.799999
"121","2010-10-12",50.400002
"122","2010-10-13",48
"123","2010-10-14",44.32
"124","2010-10-15",48.720001
"125","2010-10-18",48.959999
"126","2010-10-19",48.959999
"127","2010-10-20",50
"128","2010-10-21",46.880001
"129","2010-10-22",48
"130","2010-10-25",44.880001
"131","2010-10-26",44.560001
"132","2010-10-27",43.040001
"133","2010-10-28",46.240002
"134","2010-10-29",45.84
"135","2010-11-01",45.84
"136","2010-11-02",43.68
"137","2010-11-03",41.200001
