"","date","NGHC"
"1","2014-02-20",14.25
"2","2014-02-21",14.22
"3","2014-02-24",14.25
"4","2014-02-25",14.05
"5","2014-02-26",14.162
"6","2014-02-27",14.08
"7","2014-02-28",14.2
"8","2014-03-03",14.2
"9","2014-03-04",14.2
"10","2014-03-05",14.12
"11","2014-03-06",14.11
"12","2014-03-07",14.2
"13","2014-03-10",14.2
"14","2014-03-11",14.2
"15","2014-03-12",14.2
"16","2014-03-13",14.2
"17","2014-03-14",14.05
"18","2014-03-17",14
"19","2014-03-18",13.99
"20","2014-03-19",13.97
"21","2014-03-20",14
"22","2014-03-21",13.58
"23","2014-03-24",13.96
"24","2014-03-25",14
"25","2014-03-26",14
"26","2014-03-27",13.96
"27","2014-03-28",13.99
"28","2014-03-31",14
"29","2014-04-01",14
"30","2014-04-02",14
"31","2014-04-03",14
"32","2014-04-04",13.99
"33","2014-04-07",13.99
"34","2014-04-08",14
"35","2014-04-09",14
"36","2014-04-10",13.95
"37","2014-04-11",13.95
"38","2014-04-14",13.98
"39","2014-04-15",13.95
"40","2014-04-16",13.99
"41","2014-04-17",14.01
"42","2014-04-21",13.97
"43","2014-04-22",13.99
"44","2014-04-23",14
"45","2014-04-24",14
"46","2014-04-25",14
"47","2014-04-28",14
"48","2014-04-29",14
"49","2014-04-30",13.87
"50","2014-05-01",14
"51","2014-05-02",13.98
"52","2014-05-05",13.99
"53","2014-05-06",14
"54","2014-05-07",13.99
"55","2014-05-08",13.99
"56","2014-05-09",13.97
"57","2014-05-12",14
"58","2014-05-13",13.99
"59","2014-05-14",14
"60","2014-05-15",14.33
"61","2014-05-16",14.83
"62","2014-05-19",14.6
"63","2014-05-20",14.69
"64","2014-05-21",14.76
"65","2014-05-22",14.88
"66","2014-05-23",15.39
"67","2014-05-27",15.91
"68","2014-05-28",16
"69","2014-05-29",16.49
"70","2014-05-30",16.4
"71","2014-06-02",16.6
"72","2014-06-03",16.5
"73","2014-06-04",16.83
"74","2014-06-05",16.75
"75","2014-06-06",16.6
"76","2014-06-09",16.51
"77","2014-06-10",16.709999
"78","2014-06-11",16.58
"79","2014-06-12",16.940001
"80","2014-06-13",16.959999
"81","2014-06-16",16.93
"82","2014-06-17",17
"83","2014-06-18",17.25
"84","2014-06-19",17.969999
"85","2014-06-20",17.75
"86","2014-06-23",17.25
"87","2014-06-24",17.5
"88","2014-06-25",17.75
"89","2014-06-26",17.299999
"90","2014-06-27",17.09
"91","2014-06-30",17.4
"92","2014-07-01",17.559999
"93","2014-07-02",17.860001
"94","2014-07-03",18.200001
"95","2014-07-07",17.82
"96","2014-07-08",18.34
"97","2014-07-09",18.68
"98","2014-07-10",18.129999
"99","2014-07-11",18.16
"100","2014-07-14",18.16
"101","2014-07-15",18.51
"102","2014-07-16",19.059999
"103","2014-07-17",18.809999
"104","2014-07-18",18.620001
