"","date","MAN"
"1","2007-01-03",76.269997
"2","2007-01-04",76.379997
"3","2007-01-05",75.010002
"4","2007-01-08",75.239998
"5","2007-01-09",75.080002
"6","2007-01-10",74.730003
"7","2007-01-11",75.629997
"8","2007-01-12",76.43
"9","2007-01-16",76.379997
"10","2007-01-17",77.379997
"11","2007-01-18",75.730003
"12","2007-01-19",75.879997
"13","2007-01-22",75.419998
"14","2007-01-23",76.230003
"15","2007-01-24",74.489998
"16","2007-01-25",74.120003
"17","2007-01-26",73.940002
"18","2007-01-29",75.379997
"19","2007-01-30",71.559998
"20","2007-01-31",72.93
"21","2007-02-01",73.290001
"22","2007-02-02",74.019997
"23","2007-02-05",73.940002
"24","2007-02-06",74.800003
"25","2007-02-07",74.660004
"26","2007-02-08",75.599998
"27","2007-02-09",74.980003
"28","2007-02-12",74.769997
"29","2007-02-13",75.669998
"30","2007-02-14",76.300003
"31","2007-02-15",76.370003
"32","2007-02-16",77.739998
"33","2007-02-20",78.199997
"34","2007-02-21",78.550003
"35","2007-02-22",78.860001
"36","2007-02-23",78.5
"37","2007-02-26",77.360001
"38","2007-02-27",74.709999
"39","2007-02-28",74.300003
"40","2007-03-01",74.300003
"41","2007-03-02",72.32
"42","2007-03-05",73.629997
"43","2007-03-06",73.989998
"44","2007-03-07",73.25
"45","2007-03-08",74.279999
"46","2007-03-09",74.970001
"47","2007-03-12",73.860001
"48","2007-03-13",72.93
"49","2007-03-14",73.309998
"50","2007-03-15",73.32
"51","2007-03-16",73.099998
"52","2007-03-19",73.709999
"53","2007-03-20",74.279999
"54","2007-03-21",75.379997
"55","2007-03-22",76.010002
"56","2007-03-23",75.300003
"57","2007-03-26",74.910004
"58","2007-03-27",75.029999
"59","2007-03-28",73.989998
"60","2007-03-29",73.389999
"61","2007-03-30",73.769997
"62","2007-04-02",73.980003
"63","2007-04-03",75.07
"64","2007-04-04",73
"65","2007-04-05",73.139999
"66","2007-04-09",74.589996
"67","2007-04-10",74.389999
"68","2007-04-11",74.309998
"69","2007-04-12",75.779999
"70","2007-04-13",75.489998
"71","2007-04-16",75.730003
