"","date","SYNC"
"1","2012-02-13",5.14
"2","2012-02-14",5.04
"3","2012-02-15",5.05
"4","2012-02-16",5.02
"5","2012-02-17",5
"6","2012-02-21",5
"7","2012-02-22",4.93
"8","2012-02-23",4.77
"9","2012-02-24",4.9
"10","2012-02-27",4.8
"11","2012-02-28",4.9
"12","2012-02-29",4.88
"13","2012-03-01",4.85
"14","2012-03-02",4.98
"15","2012-03-05",4.99
"16","2012-03-06",5
"17","2012-03-07",5.17
"18","2012-03-08",5.1
"19","2012-03-09",5.24
"20","2012-03-12",5.33
"21","2012-03-13",5.38
"22","2012-03-14",5.78
"23","2012-03-15",6.2
"24","2012-03-16",6.06
"25","2012-03-19",5.79
"26","2012-03-20",6.09
"27","2012-03-21",7.05
"28","2012-03-22",7.37
"29","2012-03-23",7.62
"30","2012-03-26",7.87
"31","2012-03-27",7.41
"32","2012-03-28",7.13
"33","2012-03-29",7.26
"34","2012-03-30",7.56
"35","2012-04-02",8
"36","2012-04-03",7.77
"37","2012-04-04",7.7
"38","2012-04-05",7.65
"39","2012-04-09",7.62
"40","2012-04-10",7.4
"41","2012-04-11",7.21
"42","2012-04-12",7.56
"43","2012-04-13",7.45
"44","2012-04-16",7.1
"45","2012-04-17",7.02
"46","2012-04-18",7.12
"47","2012-04-19",6.97
"48","2012-04-20",7.03
"49","2012-04-23",6.41
"50","2012-04-24",6.97
"51","2012-04-25",7.38
"52","2012-04-26",7.62
"53","2012-04-27",8
"54","2012-04-30",8.29
"55","2012-05-01",8.84
"56","2012-05-02",10.09
"57","2012-05-03",10.63
"58","2012-05-04",11.39
"59","2012-05-07",13.1
"60","2012-05-08",11.31
"61","2012-05-09",11.24
"62","2012-05-10",10.94
"63","2012-05-11",9.24
"64","2012-05-14",10.54
"65","2012-05-15",11.05
"66","2012-05-16",10.53
"67","2012-05-17",9.58
"68","2012-05-18",9.88
"69","2012-05-21",9.5
"70","2012-05-22",10.24
"71","2012-05-23",11.21
"72","2012-05-24",11.14
"73","2012-05-25",11.23
"74","2012-05-29",12.13
"75","2012-05-30",13.89
"76","2012-05-31",14.7
"77","2012-06-01",11.95
"78","2012-06-04",12.4
"79","2012-06-05",11.13
"80","2012-06-06",12.07
"81","2012-06-07",12.14
"82","2012-06-08",13.39
"83","2012-06-11",13.08
"84","2012-06-12",12.87
"85","2012-06-13",12.37
"86","2012-06-14",12.17
"87","2012-06-15",13.1
"88","2012-06-18",13.34
"89","2012-06-19",13.42
"90","2012-06-20",12.96
"91","2012-06-21",12.09
"92","2012-06-22",11.85
"93","2012-06-25",11.55
"94","2012-06-26",12.29
"95","2012-06-27",12.83
"96","2012-06-28",13.5
"97","2012-06-29",13.7
"98","2012-07-02",14.18
"99","2012-07-03",14.33
"100","2012-07-05",13.71
"101","2012-07-06",15.45
"102","2012-07-09",17.34
"103","2012-07-10",15.3
"104","2012-07-11",14.15
"105","2012-07-12",15.26
"106","2012-07-13",16.139999
"107","2012-07-16",15.45
"108","2012-07-17",15.11
"109","2012-07-18",15
"110","2012-07-19",13.02
"111","2012-07-20",11.25
"112","2012-07-23",12.67
"113","2012-07-24",12.69
"114","2012-07-25",12.96
"115","2012-07-26",9.12
"116","2012-07-27",9.89
"117","2012-07-30",10.16
"118","2012-07-31",9.73
"119","2012-08-01",8.86
"120","2012-08-02",9.12
"121","2012-08-03",10.1
