"","date","TBPH"
"1","2014-05-16",22.959999
"2","2014-05-19",21.969999
"3","2014-05-20",21.52
"4","2014-05-21",21.52
"5","2014-05-22",21.52
"6","2014-05-23",21.52
"7","2014-05-27",21.52
"8","2014-05-28",21.52
"9","2014-05-29",21.52
"10","2014-05-30",21.52
"11","2014-06-02",19.5
"12","2014-06-03",23.51
"13","2014-06-04",24
"14","2014-06-05",24.66
"15","2014-06-06",26.48
"16","2014-06-09",26.5
"17","2014-06-10",26.629999
"18","2014-06-11",27.99
"19","2014-06-12",28
"20","2014-06-13",28.4
"21","2014-06-16",32.900002
"22","2014-06-17",32.799999
"23","2014-06-18",30.66
"24","2014-06-19",32.18
"25","2014-06-20",34.389999
"26","2014-06-23",34.869999
"27","2014-06-24",34.369999
"28","2014-06-25",33.970001
"29","2014-06-26",33.959999
"30","2014-06-27",33.93
"31","2014-06-30",31.879999
"32","2014-07-01",33.849998
"33","2014-07-02",33.84
"34","2014-07-03",33.990002
"35","2014-07-07",33.689999
"36","2014-07-08",32.66
"37","2014-07-09",32.560001
"38","2014-07-10",30.360001
"39","2014-07-11",30.01
"40","2014-07-14",30.799999
"41","2014-07-15",31.969999
"42","2014-07-16",32.009998
"43","2014-07-17",31.85
"44","2014-07-18",32.09
"45","2014-07-21",32.130001
"46","2014-07-22",32.380001
"47","2014-07-23",31.969999
"48","2014-07-24",31.889999
"49","2014-07-25",31.610001
"50","2014-07-28",30.68
"51","2014-07-29",29.76
"52","2014-07-30",29.690001
"53","2014-07-31",28.030001
"54","2014-08-01",28.950001
"55","2014-08-04",28.889999
"56","2014-08-05",29.860001
"57","2014-08-06",29.48
"58","2014-08-07",29.440001
"59","2014-08-08",29.790001
"60","2014-08-11",28.709999
"61","2014-08-12",28.91
"62","2014-08-13",29.65
"63","2014-08-14",27.889999
"64","2014-08-15",27.440001
"65","2014-08-18",27.75
"66","2014-08-19",26.860001
"67","2014-08-20",26.98
"68","2014-08-21",27.85
"69","2014-08-22",28.35
"70","2014-08-25",28.870001
"71","2014-08-26",29.35
"72","2014-08-27",29.18
"73","2014-08-28",28.639999
"74","2014-08-29",29.365
"75","2014-09-02",29.049999
"76","2014-09-03",28.559999
"77","2014-09-04",27.719999
"78","2014-09-05",28.02
"79","2014-09-08",28.75
"80","2014-09-09",28.4
"81","2014-09-10",28
"82","2014-09-11",28
"83","2014-09-12",27
"84","2014-09-15",26.379999
"85","2014-09-16",26.33
"86","2014-09-17",26.18
"87","2014-09-18",26.549999
"88","2014-09-19",26.33
"89","2014-09-22",25.870001
"90","2014-09-23",25.219999
"91","2014-09-24",25.290001
"92","2014-09-25",24.48
"93","2014-09-26",24.17
"94","2014-09-29",23.41
"95","2014-09-30",23.049999
"96","2014-10-01",22.52
"97","2014-10-02",22.91
"98","2014-10-03",23.190001
"99","2014-10-06",23.115
