"","date","ORC"
"1","2013-02-14",14.8
"2","2013-02-15",14.8
"3","2013-02-19",14.75
"4","2013-02-20",14.8
"5","2013-02-21",14.74
"6","2013-02-22",14.74
"7","2013-02-25",14.67
"8","2013-02-26",14.69
"9","2013-02-27",14.6
"10","2013-02-28",14.49
"11","2013-03-01",14.4
"12","2013-03-04",14.49
"13","2013-03-05",14.4
"14","2013-03-06",14.45
"15","2013-03-07",14.4
"16","2013-03-08",14.69
"17","2013-03-11",14.55
"18","2013-03-12",14.4
"19","2013-03-13",14.5
"20","2013-03-14",14.55
"21","2013-03-15",14.1
"22","2013-03-18",14.25
"23","2013-03-19",14.2
"24","2013-03-20",14.35
"25","2013-03-21",14.19
"26","2013-03-22",13.82
"27","2013-03-25",13.72
"28","2013-03-26",13.99
"29","2013-03-27",13.85
"30","2013-03-28",13.98
"31","2013-04-01",13.94
"32","2013-04-02",13.78
"33","2013-04-03",13.76
"34","2013-04-04",13.81
"35","2013-04-05",13.97
"36","2013-04-08",13.65
"37","2013-04-09",13.73
"38","2013-04-10",13.97
"39","2013-04-11",13.96
"40","2013-04-12",13.63
"41","2013-04-15",13.55
"42","2013-04-16",13.52
"43","2013-04-17",13.33
"44","2013-04-18",13.4
"45","2013-04-19",13.21
"46","2013-04-22",13.39
"47","2013-04-23",13.23
"48","2013-04-24",13.22
"49","2013-04-25",13.19
"50","2013-04-26",13.21
"51","2013-04-29",13.45
"52","2013-04-30",13.4
"53","2013-05-01",13.38
"54","2013-05-02",13.38
"55","2013-05-03",13.51
"56","2013-05-06",13.39
"57","2013-05-07",13.47
"58","2013-05-08",13.42
"59","2013-05-09",13.3
"60","2013-05-10",13.43
"61","2013-05-13",13.32
"62","2013-05-14",13.31
"63","2013-05-15",13.16
"64","2013-05-16",13.3
"65","2013-05-17",13.34
"66","2013-05-20",13.47
"67","2013-05-21",13.37
"68","2013-05-22",13.71
"69","2013-05-23",13.45
"70","2013-05-24",13.44
"71","2013-05-28",12.86
"72","2013-05-29",12.75
"73","2013-05-30",12.46
"74","2013-05-31",12.01
"75","2013-06-03",12.12
"76","2013-06-04",11.81
"77","2013-06-05",11.8
"78","2013-06-06",12.3
"79","2013-06-07",12.26
"80","2013-06-10",12.43
"81","2013-06-11",12.51
"82","2013-06-12",12.39
"83","2013-06-13",12.59
"84","2013-06-14",12.29
"85","2013-06-17",12.48
"86","2013-06-18",12.08
"87","2013-06-19",12.15
