"","date","WORX"
"1","2016-10-06",79.610001
"2","2016-10-07",88.349998
"3","2016-10-10",82.650002
"4","2016-10-11",78.279999
"5","2016-10-12",84.360001
"6","2016-10-13",79.989998
"7","2016-10-14",76
"8","2016-10-17",76.190002
"9","2016-10-18",75.809998
"10","2016-10-19",77.139999
"11","2016-10-20",75.961998
"12","2016-10-21",75.107002
"13","2016-10-24",67.639999
"14","2016-10-25",71.25
"15","2016-10-26",73.150002
"16","2016-10-27",73.339996
"17","2016-10-28",75.809998
"18","2016-10-31",75.43
"19","2016-11-01",74.099998
"20","2016-11-02",74.669998
"21","2016-11-03",76.949997
"22","2016-11-04",79.800003
"23","2016-11-07",87.400002
"24","2016-11-08",84.360001
"25","2016-11-09",77.139999
"26","2016-11-10",77.139999
"27","2016-11-11",79.040001
"28","2016-11-14",77.330002
"29","2016-11-15",79.040001
"30","2016-11-16",78.375
"31","2016-11-17",80.75
"32","2016-11-18",81.129997
"33","2016-11-21",79.230003
"34","2016-11-22",77.519997
"35","2016-11-23",73.150002
"36","2016-11-25",78.089996
"37","2016-11-28",76
"38","2016-11-29",76.190002
"39","2016-11-30",79.419998
"40","2016-12-01",75.239998
"41","2016-12-02",77.709999
"42","2016-12-05",76
"43","2016-12-06",74.290001
"44","2016-12-07",73.529999
"45","2016-12-08",72.959999
"46","2016-12-09",72.199997
"47","2016-12-12",75.050003
"48","2016-12-13",76
"49","2016-12-14",75.809998
"50","2016-12-15",75.620003
"51","2016-12-16",67.830002
"52","2016-12-19",67.639999
"53","2016-12-20",70.850998
"54","2016-12-21",69.730003
"55","2016-12-22",68.589996
"56","2016-12-23",67.449997
"57","2016-12-27",67.449997
"58","2016-12-28",65.550003
"59","2016-12-29",64.599998
"60","2016-12-30",69.160004
"61","2017-01-03",71.25
"62","2017-01-04",70.870003
"63","2017-01-05",72.769997
"64","2017-01-06",72.580002
"65","2017-01-09",73.606003
"66","2017-01-10",75.43
"67","2017-01-11",73.720001
"68","2017-01-12",73.150002
"69","2017-01-13",72.389999
"70","2017-01-17",71.25
"71","2017-01-18",73.150002
"72","2017-01-19",73.529999
"73","2017-01-20",71.25
"74","2017-01-23",71.25
"75","2017-01-24",70.870003
"76","2017-01-25",72.199997
"77","2017-01-26",70.775002
"78","2017-01-27",68.209999
"79","2017-01-30",67.449997
"80","2017-01-31",65.739998
"81","2017-02-01",67.449997
"82","2017-02-02",68.209999
"83","2017-02-03",64.980003
"84","2017-02-06",64.220001
"85","2017-02-07",64.980003
"86","2017-02-08",62.700001
"87","2017-02-09",62.509998
"88","2017-02-10",55.860001
