"","date","TEX"
"1","2007-01-03",59.060001
"2","2007-01-04",58.75
"3","2007-01-05",57.98
"4","2007-01-08",59.099998
"5","2007-01-09",59.240002
"6","2007-01-10",56.959999
"7","2007-01-11",56.759998
"8","2007-01-12",58.43
"9","2007-01-16",57.509998
"10","2007-01-17",58.41
"11","2007-01-18",57.529999
"12","2007-01-19",57.939999
"13","2007-01-22",56.759998
"14","2007-01-23",58.700001
"15","2007-01-24",59.27
"16","2007-01-25",58.360001
"17","2007-01-26",57.860001
"18","2007-01-29",56.610001
"19","2007-01-30",57.48
"20","2007-01-31",56.889999
"21","2007-02-01",57.82
"22","2007-02-02",59.419998
"23","2007-02-05",58.549999
"24","2007-02-06",59.200001
"25","2007-02-07",60.630001
"26","2007-02-08",59.07
"27","2007-02-09",58.450001
"28","2007-02-12",59.080002
"29","2007-02-13",60.5
"30","2007-02-14",60.799999
"31","2007-02-15",65.690002
"32","2007-02-16",66.589996
"33","2007-02-20",67.82
"34","2007-02-21",71.589996
"35","2007-02-22",70.610001
"36","2007-02-23",71.019997
"37","2007-02-26",68.720001
"38","2007-02-27",65.099998
"39","2007-02-28",65.879997
"40","2007-03-01",64.849998
"41","2007-03-02",62.549999
"42","2007-03-05",62.470001
"43","2007-03-06",64.629997
"44","2007-03-07",65.580002
"45","2007-03-08",67.330002
"46","2007-03-09",67.919998
"47","2007-03-12",68.889999
"48","2007-03-13",66.260002
"49","2007-03-14",66.959999
"50","2007-03-15",67.300003
"51","2007-03-16",68.370003
"52","2007-03-19",70.75
"53","2007-03-20",70.93
"54","2007-03-21",71.949997
"55","2007-03-22",71.580002
"56","2007-03-23",71.980003
"57","2007-03-26",72.199997
"58","2007-03-27",70.980003
"59","2007-03-28",70.68
"60","2007-03-29",71.379997
"61","2007-03-30",71.760002
"62","2007-04-02",71.839996
"63","2007-04-03",72
"64","2007-04-04",72.279999
"65","2007-04-05",72
"66","2007-04-09",72.779999
"67","2007-04-10",72.110001
"68","2007-04-11",71.879997
"69","2007-04-12",73.540001
"70","2007-04-13",73.949997
"71","2007-04-16",76.330002
"72","2007-04-17",77.029999
"73","2007-04-18",76.949997
"74","2007-04-19",76.589996
"75","2007-04-20",77.550003
"76","2007-04-23",79.290001
"77","2007-04-24",79.360001
"78","2007-04-25",80.410004
"79","2007-04-26",78.529999
"80","2007-04-27",79.440002
"81","2007-04-30",77.849998
"82","2007-05-01",77.150002
"83","2007-05-02",79.980003
"84","2007-05-03",80.099998
"85","2007-05-04",80.010002
