"","date","TSEM"
"1","2007-01-03",27
"2","2007-01-04",26.4
"3","2007-01-05",26.549999
"4","2007-01-08",25.950001
"5","2007-01-09",27.299999
"6","2007-01-10",27.9
"7","2007-01-11",27.9
"8","2007-01-12",28.049999
"9","2007-01-16",27.75
"10","2007-01-17",27.6
"11","2007-01-18",26.700001
"12","2007-01-19",27
"13","2007-01-22",28.5
"14","2007-01-23",28.950001
"15","2007-01-24",28.950001
"16","2007-01-25",29.1
"17","2007-01-26",28.200001
"18","2007-01-29",28.35
"19","2007-01-30",28.200001
"20","2007-01-31",29.4
"21","2007-02-01",30.15
"22","2007-02-02",30.450001
"23","2007-02-05",30.75
"24","2007-02-06",31.200001
"25","2007-02-07",29.4
"26","2007-02-08",28.049999
"27","2007-02-09",28.799999
"28","2007-02-12",27.450001
"29","2007-02-13",27.75
"30","2007-02-14",28.200001
"31","2007-02-15",27.9
"32","2007-02-16",28.200001
"33","2007-02-20",28.65
"34","2007-02-21",28.5
"35","2007-02-22",28.35
"36","2007-02-23",28.200001
"37","2007-02-26",28.5
"38","2007-02-27",26.85
"39","2007-02-28",27.15
"40","2007-03-01",26.85
"41","2007-03-02",26.4
"42","2007-03-05",25.35
"43","2007-03-06",26.549999
"44","2007-03-07",26.549999
"45","2007-03-08",25.950001
"46","2007-03-09",26.25
"47","2007-03-12",26.1
"48","2007-03-13",25.65
"49","2007-03-14",25.5
"50","2007-03-15",25.799999
"51","2007-03-16",26.1
"52","2007-03-19",25.5
"53","2007-03-20",25.049999
"54","2007-03-21",25.35
"55","2007-03-22",24.75
"56","2007-03-23",25.65
"57","2007-03-26",25.799999
"58","2007-03-27",25.65
"59","2007-03-28",25.5
"60","2007-03-29",25.049999
"61","2007-03-30",25.65
"62","2007-04-02",25.5
"63","2007-04-03",26.1
"64","2007-04-04",26.1
"65","2007-04-05",26.1
"66","2007-04-09",25.950001
"67","2007-04-10",25.950001
"68","2007-04-11",26.549999
"69","2007-04-12",27.450001
"70","2007-04-13",27.75
"71","2007-04-16",27.299999
"72","2007-04-17",26.85
"73","2007-04-18",27.15
"74","2007-04-19",27.299999
"75","2007-04-20",27.9
"76","2007-04-23",27.450001
"77","2007-04-24",28.049999
"78","2007-04-25",28.5
"79","2007-04-26",28.35
"80","2007-04-27",27.9
"81","2007-04-30",27.15
"82","2007-05-01",27.15
"83","2007-05-02",26.700001
"84","2007-05-03",27.450001
"85","2007-05-04",27
"86","2007-05-07",27.450001
"87","2007-05-08",26.85
"88","2007-05-09",27.15
"89","2007-05-10",27.15
"90","2007-05-11",27.15
"91","2007-05-14",27.299999
"92","2007-05-15",27.299999
"93","2007-05-16",27.299999
"94","2007-05-17",27.15
"95","2007-05-18",27
"96","2007-05-21",26.700001
"97","2007-05-22",27
"98","2007-05-23",26.700001
"99","2007-05-24",25.5
"100","2007-05-25",25.5
"101","2007-05-29",25.049999
"102","2007-05-30",24.9
"103","2007-05-31",23.4
"104","2007-06-01",24
"105","2007-06-04",24
"106","2007-06-05",24
"107","2007-06-06",24
"108","2007-06-07",23.1
"109","2007-06-08",23.1
"110","2007-06-11",23.4
"111","2007-06-12",23.4
"112","2007-06-13",23.700001
"113","2007-06-14",23.700001
"114","2007-06-15",23.549999
"115","2007-06-18",23.4
"116","2007-06-19",23.25
"117","2007-06-20",22.5
"118","2007-06-21",22.5
"119","2007-06-22",23.25
"120","2007-06-25",22.35
"121","2007-06-26",21.9
"122","2007-06-27",21.75
"123","2007-06-28",21.6
"124","2007-06-29",21.450001
"125","2007-07-02",21.75
"126","2007-07-03",22.200001
"127","2007-07-05",21.75
"128","2007-07-06",22.049999
"129","2007-07-09",22.200001
"130","2007-07-10",22.049999
"131","2007-07-11",22.35
"132","2007-07-12",22.950001
"133","2007-07-13",24
"134","2007-07-16",25.35
"135","2007-07-17",25.5
"136","2007-07-18",24.9
"137","2007-07-19",27.15
"138","2007-07-20",27.6
"139","2007-07-23",26.700001
"140","2007-07-24",26.4
"141","2007-07-25",25.799999
"142","2007-07-26",24.450001
"143","2007-07-27",23.85
"144","2007-07-30",23.700001
"145","2007-07-31",24.299999
"146","2007-08-01",23.4
"147","2007-08-02",23.85
"148","2007-08-03",23.25
