"","date","QH"
"1","2020-07-10",12.77
"2","2020-07-13",12.41
"3","2020-07-14",11.59
"4","2020-07-15",11.3
"5","2020-07-16",10.58
"6","2020-07-17",10.51
"7","2020-07-20",10.38
"8","2020-07-21",9.8
"9","2020-07-22",8.7
"10","2020-07-23",8.33
"11","2020-07-24",8
"12","2020-07-27",7.79
"13","2020-07-28",8.4
"14","2020-07-29",9.25
"15","2020-07-30",8.8
"16","2020-07-31",8.74
"17","2020-08-03",8.73
"18","2020-08-04",8.85
"19","2020-08-05",8.76
"20","2020-08-06",8.93
"21","2020-08-07",8.71
"22","2020-08-10",8.82
"23","2020-08-11",8.46
"24","2020-08-12",8.35
"25","2020-08-13",8.4
"26","2020-08-14",8.55
"27","2020-08-17",8.58
"28","2020-08-18",8.67
"29","2020-08-19",8.895
"30","2020-08-20",9.05
"31","2020-08-21",9.09
"32","2020-08-24",8.96
"33","2020-08-25",8.96
"34","2020-08-26",8.5
"35","2020-08-27",7.69
"36","2020-08-28",7.35
"37","2020-08-31",7.12
"38","2020-09-01",7.24
"39","2020-09-02",7.17
"40","2020-09-03",7.07
"41","2020-09-04",6.84
"42","2020-09-08",6.67
"43","2020-09-09",6.68
"44","2020-09-10",8.32
"45","2020-09-11",8.2
"46","2020-09-14",7.75
"47","2020-09-15",7.53
"48","2020-09-16",7.71
"49","2020-09-17",7.54
"50","2020-09-18",7.5
"51","2020-09-21",7.16
"52","2020-09-22",7.05
"53","2020-09-23",7.01
"54","2020-09-24",6.82
"55","2020-09-25",6.86
"56","2020-09-28",6.98
"57","2020-09-29",6.91
"58","2020-09-30",6.99
"59","2020-10-01",7.13
"60","2020-10-02",7.08
"61","2020-10-05",7.12
"62","2020-10-06",7.07
"63","2020-10-07",7.15
"64","2020-10-08",7.25
"65","2020-10-09",7.02
"66","2020-10-12",6.95
"67","2020-10-13",6.97
"68","2020-10-14",7.16
"69","2020-10-15",7.02
"70","2020-10-16",7.02
"71","2020-10-19",6.9
"72","2020-10-20",7.5
"73","2020-10-21",7.3
"74","2020-10-22",7.67
"75","2020-10-23",7.56
"76","2020-10-26",7.65
"77","2020-10-27",7.56
"78","2020-10-28",7.34
"79","2020-10-29",7.18
"80","2020-10-30",6.94
"81","2020-11-02",6.95
"82","2020-11-03",6.89
"83","2020-11-04",6.8
"84","2020-11-05",6.81
"85","2020-11-06",6.9
"86","2020-11-09",6.93
"87","2020-11-10",6.78
"88","2020-11-11",6.95
"89","2020-11-12",6.76
"90","2020-11-13",6.865
"91","2020-11-16",7.01
"92","2020-11-17",7.65
"93","2020-11-18",7.2
"94","2020-11-19",7.13
"95","2020-11-20",7.1
"96","2020-11-23",7.31
"97","2020-11-24",8.1
"98","2020-11-25",7.63
"99","2020-11-27",8.48
