"","date","OESX"
"1","2007-12-19",21.41
"2","2007-12-20",19.85
"3","2007-12-21",19
"4","2007-12-24",19.34
"5","2007-12-26",20.48
"6","2007-12-27",20
"7","2007-12-28",19.65
"8","2007-12-31",18.82
"9","2008-01-02",20
"10","2008-01-03",19.9
"11","2008-01-04",19.5
"12","2008-01-07",17.27
"13","2008-01-08",17.17
"14","2008-01-09",20.25
"15","2008-01-10",20
"16","2008-01-11",18.5
"17","2008-01-14",18.719999
"18","2008-01-15",17.879999
"19","2008-01-16",17.530001
"20","2008-01-17",17.620001
"21","2008-01-18",16.41
"22","2008-01-22",16
"23","2008-01-23",15.9
"24","2008-01-24",15.2
"25","2008-01-25",14
"26","2008-01-28",13.9
"27","2008-01-29",14
"28","2008-01-30",13.88
"29","2008-01-31",13.07
"30","2008-02-01",13.6
"31","2008-02-04",14.4
"32","2008-02-05",14.68
"33","2008-02-06",14.9
"34","2008-02-07",8.51
"35","2008-02-08",9.1
"36","2008-02-11",9
"37","2008-02-12",8.96
"38","2008-02-13",9.05
"39","2008-02-14",8.73
"40","2008-02-15",8.51
"41","2008-02-19",8.6
"42","2008-02-20",8.13
"43","2008-02-21",8.37
"44","2008-02-22",8.47
"45","2008-02-25",8.36
"46","2008-02-26",7.84
"47","2008-02-27",8.14
"48","2008-02-28",9.05
"49","2008-02-29",9.02
"50","2008-03-03",10.14
"51","2008-03-04",9.75
"52","2008-03-05",10.12
"53","2008-03-06",9.8
"54","2008-03-07",9.4
"55","2008-03-10",9.5
"56","2008-03-11",9.71
"57","2008-03-12",9.61
"58","2008-03-13",9.16
"59","2008-03-14",9.15
"60","2008-03-17",9
"61","2008-03-18",9.16
"62","2008-03-19",9.55
"63","2008-03-20",9.65
"64","2008-03-24",9.76
"65","2008-03-25",9.93
"66","2008-03-26",10
"67","2008-03-27",9.85
"68","2008-03-28",9.71
"69","2008-03-31",9.54
"70","2008-04-01",9.51
"71","2008-04-02",9.62
"72","2008-04-03",11.24
"73","2008-04-04",10.99
"74","2008-04-07",11.31
"75","2008-04-08",10.48
"76","2008-04-09",10.35
"77","2008-04-10",10.66
"78","2008-04-11",10.21
"79","2008-04-14",10.02
"80","2008-04-15",10.99
"81","2008-04-16",11.3
"82","2008-04-17",11.29
"83","2008-04-18",11.9
"84","2008-04-21",11.99
"85","2008-04-22",12.24
"86","2008-04-23",11.97
"87","2008-04-24",11.56
"88","2008-04-25",11.29
"89","2008-04-28",11.26
"90","2008-04-29",11.39
"91","2008-04-30",11.18
"92","2008-05-01",11.2
"93","2008-05-02",10.87
"94","2008-05-05",10.27
"95","2008-05-06",10.37
"96","2008-05-07",10.73
"97","2008-05-08",10.57
"98","2008-05-09",11
"99","2008-05-12",11.35
"100","2008-05-13",12.63
"101","2008-05-14",12.62
"102","2008-05-15",12.45
"103","2008-05-16",11.87
"104","2008-05-19",11.61
"105","2008-05-20",11.38
"106","2008-05-21",11.75
"107","2008-05-22",12.41
"108","2008-05-23",12.35
"109","2008-05-27",12.3
"110","2008-05-28",12.46
"111","2008-05-29",12.64
"112","2008-05-30",12.15
"113","2008-06-02",12.15
"114","2008-06-03",12.14
"115","2008-06-04",11.87
"116","2008-06-05",11.99
"117","2008-06-06",11.81
"118","2008-06-09",11.64
"119","2008-06-10",11.45
"120","2008-06-11",11.2
"121","2008-06-12",11.31
"122","2008-06-13",10.88
"123","2008-06-16",10.6
"124","2008-06-17",10.46
"125","2008-06-18",10.24
"126","2008-06-19",10.04
"127","2008-06-20",9.92
"128","2008-06-23",10.39
"129","2008-06-24",9.98
"130","2008-06-25",9.94
"131","2008-06-26",9.3
"132","2008-06-27",9.93
"133","2008-06-30",10
"134","2008-07-01",10.04
"135","2008-07-02",9.52
"136","2008-07-03",9.5
"137","2008-07-07",9.57
"138","2008-07-08",9.68
"139","2008-07-09",9.5
"140","2008-07-10",9.56
"141","2008-07-11",9.44
"142","2008-07-14",9.02
"143","2008-07-15",8.6
"144","2008-07-16",5.94
"145","2008-07-17",6.09
"146","2008-07-18",5.79
"147","2008-07-21",5.84
"148","2008-07-22",6.01
"149","2008-07-23",5.99
"150","2008-07-24",5.87
"151","2008-07-25",5.98
"152","2008-07-28",5.65
"153","2008-07-29",5.81
"154","2008-07-30",5.76
"155","2008-07-31",5.45
"156","2008-08-01",5.23
"157","2008-08-04",5
"158","2008-08-05",5.2
"159","2008-08-06",5.21
"160","2008-08-07",5.33
"161","2008-08-08",5.35
"162","2008-08-11",5.83
"163","2008-08-12",5.93
"164","2008-08-13",6.39
"165","2008-08-14",6.36
"166","2008-08-15",6.12
"167","2008-08-18",5.94
"168","2008-08-19",6.09
"169","2008-08-20",6
"170","2008-08-21",6.13
"171","2008-08-22",6.2
"172","2008-08-25",6
"173","2008-08-26",6.07
"174","2008-08-27",6.14
"175","2008-08-28",6.15
"176","2008-08-29",6
"177","2008-09-02",6.05
"178","2008-09-03",6.14
"179","2008-09-04",6.04
"180","2008-09-05",5.9
"181","2008-09-08",5.8
"182","2008-09-09",5.42
"183","2008-09-10",5.38
"184","2008-09-11",5.26
"185","2008-09-12",5.44
"186","2008-09-15",5.54
"187","2008-09-16",6.11
"188","2008-09-17",5.97
"189","2008-09-18",7.28
"190","2008-09-19",6.86
"191","2008-09-22",6.74
"192","2008-09-23",6.36
"193","2008-09-24",6.12
"194","2008-09-25",6.14
"195","2008-09-26",6.09
"196","2008-09-29",5.75
"197","2008-09-30",5.61
"198","2008-10-01",5.34
"199","2008-10-02",4.58
"200","2008-10-03",4.42
"201","2008-10-06",4.08
"202","2008-10-07",4.06
"203","2008-10-08",3.95
"204","2008-10-09",4.01
"205","2008-10-10",4.1
"206","2008-10-13",4.45
"207","2008-10-14",4.47
"208","2008-10-15",4.35
"209","2008-10-16",4.16
"210","2008-10-17",4.06
"211","2008-10-20",4.49
"212","2008-10-21",4.25
"213","2008-10-22",3.99
"214","2008-10-23",4.12
"215","2008-10-24",4.06
"216","2008-10-27",3.99
"217","2008-10-28",4.45
"218","2008-10-29",4.23
"219","2008-10-30",4.41
"220","2008-10-31",4.44
"221","2008-11-03",4.55
"222","2008-11-04",3.86
"223","2008-11-05",3.15
"224","2008-11-06",3.07
"225","2008-11-07",3
"226","2008-11-10",3.05
"227","2008-11-11",2.89
"228","2008-11-12",2.85
"229","2008-11-13",3.19
"230","2008-11-14",3.03
"231","2008-11-17",3.31
"232","2008-11-18",3.21
"233","2008-11-19",3.14
"234","2008-11-20",3.09
"235","2008-11-21",3.4
"236","2008-11-24",3.75
"237","2008-11-25",3.75
"238","2008-11-26",3.81
"239","2008-11-28",3.84
"240","2008-12-01",3.65
"241","2008-12-02",3.79
"242","2008-12-03",3.38
"243","2008-12-04",3.32
"244","2008-12-05",3.58
"245","2008-12-08",3.9
"246","2008-12-09",3.59
"247","2008-12-10",3.62
"248","2008-12-11",3.39
"249","2008-12-12",3.51
"250","2008-12-15",3.55
"251","2008-12-16",3.95
"252","2008-12-17",4.19
"253","2008-12-18",4.35
"254","2008-12-19",4.47
"255","2008-12-22",4.47
"256","2008-12-23",5.49
"257","2008-12-24",5.72
"258","2008-12-26",5.37
"259","2008-12-29",5.11
"260","2008-12-30",5.52
"261","2008-12-31",5.41
"262","2009-01-02",5.38
"263","2009-01-05",5.31
"264","2009-01-06",5.17
"265","2009-01-07",4.92
"266","2009-01-08",5.1
"267","2009-01-09",4.59
"268","2009-01-12",4.6
"269","2009-01-13",4.81
"270","2009-01-14",4.65
"271","2009-01-15",4.55
"272","2009-01-16",4.55
"273","2009-01-20",4.14
"274","2009-01-21",4.51
"275","2009-01-22",4.31
"276","2009-01-23",4.19
"277","2009-01-26",4
"278","2009-01-27",3.9
"279","2009-01-28",4.23
"280","2009-01-29",3.91
"281","2009-01-30",4.45
"282","2009-02-02",4.32
"283","2009-02-03",4.44
"284","2009-02-04",4.41
"285","2009-02-05",4.58
"286","2009-02-06",4.76
"287","2009-02-09",4.72
"288","2009-02-10",4.69
"289","2009-02-11",4.31
"290","2009-02-12",4.25
"291","2009-02-13",4.29
"292","2009-02-17",4.05
"293","2009-02-18",4.11
"294","2009-02-19",3.85
"295","2009-02-20",3.89
"296","2009-02-23",3.9
"297","2009-02-24",4.32
"298","2009-02-25",4.02
"299","2009-02-26",3.99
"300","2009-02-27",4.11
"301","2009-03-02",3.99
"302","2009-03-03",3.62
"303","2009-03-04",3.81
"304","2009-03-05",3.44
"305","2009-03-06",3.28
"306","2009-03-09",2.97
"307","2009-03-10",3.61
"308","2009-03-11",3.65
"309","2009-03-12",4.01
"310","2009-03-13",3.96
"311","2009-03-16",4.02
"312","2009-03-17",4.19
"313","2009-03-18",4.14
"314","2009-03-19",4.16
"315","2009-03-20",4.37
"316","2009-03-23",4.89
"317","2009-03-24",4.52
"318","2009-03-25",4.6
"319","2009-03-26",4.68
"320","2009-03-27",4.5
"321","2009-03-30",4.18
"322","2009-03-31",4.41
"323","2009-04-01",4.14
"324","2009-04-02",4.45
"325","2009-04-03",4.66
"326","2009-04-06",4.48
"327","2009-04-07",4.19
"328","2009-04-08",4.08
"329","2009-04-09",4.12
"330","2009-04-13",4.07
"331","2009-04-14",4.09
"332","2009-04-15",4.08
