"","date","HE"
"1","2007-01-03",27.43
"2","2007-01-04",27.4
"3","2007-01-05",26.83
"4","2007-01-08",26.83
"5","2007-01-09",26.889999
"6","2007-01-10",26.83
"7","2007-01-11",26.82
"8","2007-01-12",26.809999
"9","2007-01-16",26.959999
"10","2007-01-17",26.879999
"11","2007-01-18",26.799999
"12","2007-01-19",27.02
"13","2007-01-22",27.1
"14","2007-01-23",27
"15","2007-01-24",27.17
"16","2007-01-25",26.709999
"17","2007-01-26",26.83
"18","2007-01-29",26.92
"19","2007-01-30",26.860001
"20","2007-01-31",26.790001
"21","2007-02-01",26.84
"22","2007-02-02",27.02
"23","2007-02-05",27.219999
"24","2007-02-06",27.09
"25","2007-02-07",27.049999
"26","2007-02-08",27.209999
"27","2007-02-09",27.059999
"28","2007-02-12",27.17
"29","2007-02-13",27.27
"30","2007-02-14",27.26
"31","2007-02-15",27.01
"32","2007-02-16",27.01
"33","2007-02-20",27.17
"34","2007-02-21",27.18
"35","2007-02-22",26.870001
"36","2007-02-23",27.02
"37","2007-02-26",26.58
"38","2007-02-27",25.790001
"39","2007-02-28",26.17
"40","2007-03-01",26.290001
"41","2007-03-02",25.98
"42","2007-03-05",25.379999
"43","2007-03-06",25.27
"44","2007-03-07",25.360001
"45","2007-03-08",25.4
"46","2007-03-09",25.41
"47","2007-03-12",25.559999
"48","2007-03-13",25.24
"49","2007-03-14",25.360001
"50","2007-03-15",25.610001
"51","2007-03-16",25.34
"52","2007-03-19",25.51
"53","2007-03-20",25.799999
"54","2007-03-21",26.09
"55","2007-03-22",26.25
"56","2007-03-23",26.280001
"57","2007-03-26",26.48
"58","2007-03-27",26.26
"59","2007-03-28",26.17
"60","2007-03-29",26.01
"61","2007-03-30",25.99
"62","2007-04-02",26.360001
"63","2007-04-03",26.200001
"64","2007-04-04",26.1
"65","2007-04-05",26.08
"66","2007-04-09",26.209999
"67","2007-04-10",26.139999
"68","2007-04-11",26.120001
"69","2007-04-12",26.02
"70","2007-04-13",26.200001
"71","2007-04-16",26.25
"72","2007-04-17",26.200001
"73","2007-04-18",26.23
"74","2007-04-19",26.360001
"75","2007-04-20",26.450001
"76","2007-04-23",26.450001
"77","2007-04-24",26.43
"78","2007-04-25",26.43
"79","2007-04-26",26.49
"80","2007-04-27",26.41
"81","2007-04-30",26.32
"82","2007-05-01",26.58
"83","2007-05-02",26.65
"84","2007-05-03",26.32
"85","2007-05-04",25.940001
"86","2007-05-07",25.73
"87","2007-05-08",25.66
"88","2007-05-09",25.4
"89","2007-05-10",25.49
"90","2007-05-11",25.370001
"91","2007-05-14",25.23
"92","2007-05-15",25.4
"93","2007-05-16",25.389999
"94","2007-05-17",25.32
"95","2007-05-18",25.370001
"96","2007-05-21",25.309999
"97","2007-05-22",25.16
"98","2007-05-23",25.030001
"99","2007-05-24",24.5
"100","2007-05-25",24.33
"101","2007-05-29",24.450001
"102","2007-05-30",24.52
"103","2007-05-31",24.5
"104","2007-06-01",24.35
"105","2007-06-04",24.549999
"106","2007-06-05",23.93
"107","2007-06-06",23.530001
"108","2007-06-07",23.26
"109","2007-06-08",23.41
"110","2007-06-11",23.549999
"111","2007-06-12",23.200001
"112","2007-06-13",23.290001
"113","2007-06-14",23.32
"114","2007-06-15",23.41
"115","2007-06-18",23.290001
"116","2007-06-19",23.389999
"117","2007-06-20",23.030001
"118","2007-06-21",23.030001
"119","2007-06-22",22.809999
"120","2007-06-25",22.870001
"121","2007-06-26",23.129999
"122","2007-06-27",23.530001
"123","2007-06-28",23.629999
"124","2007-06-29",23.690001
"125","2007-07-02",23.67
"126","2007-07-03",23.790001
"127","2007-07-05",23.6
"128","2007-07-06",23.540001
"129","2007-07-09",23.49
"130","2007-07-10",23.129999
"131","2007-07-11",23.120001
"132","2007-07-12",23.57
"133","2007-07-13",23.84
"134","2007-07-16",23.52
"135","2007-07-17",23.4
"136","2007-07-18",23.51
"137","2007-07-19",23.700001
"138","2007-07-20",23.34
"139","2007-07-23",23.66
"140","2007-07-24",23.15
"141","2007-07-25",23.379999
"142","2007-07-26",23.129999
"143","2007-07-27",22.879999
"144","2007-07-30",22.940001
"145","2007-07-31",22.809999
"146","2007-08-01",23.07
"147","2007-08-02",23.01
"148","2007-08-03",22.26
"149","2007-08-06",23.01
"150","2007-08-07",21.700001
"151","2007-08-08",22.530001
"152","2007-08-09",23.370001
"153","2007-08-10",22.43
"154","2007-08-13",21.440001
"155","2007-08-14",20.84
"156","2007-08-15",20.67
"157","2007-08-16",20.9
"158","2007-08-17",21.629999
"159","2007-08-20",21.379999
"160","2007-08-21",21.26
"161","2007-08-22",21.23
"162","2007-08-23",21.1
"163","2007-08-24",21.280001
"164","2007-08-27",20.870001
"165","2007-08-28",20.51
"166","2007-08-29",20.99
"167","2007-08-30",20.82
"168","2007-08-31",20.969999
"169","2007-09-04",21.309999
"170","2007-09-05",21.139999
"171","2007-09-06",21.32
"172","2007-09-07",21.049999
"173","2007-09-10",21.190001
"174","2007-09-11",21.209999
"175","2007-09-12",21.23
"176","2007-09-13",20.73
"177","2007-09-14",20.84
"178","2007-09-17",20.719999
"179","2007-09-18",21.23
"180","2007-09-19",21.51
"181","2007-09-20",21.41
"182","2007-09-21",21.49
"183","2007-09-24",21.34
"184","2007-09-25",21.34
"185","2007-09-26",21.530001
"186","2007-09-27",21.75
"187","2007-09-28",21.709999
"188","2007-10-01",21.98
"189","2007-10-02",22.09
"190","2007-10-03",22.07
"191","2007-10-04",22.299999
"192","2007-10-05",22.459999
"193","2007-10-08",22.43
"194","2007-10-09",22.709999
"195","2007-10-10",22.610001
"196","2007-10-11",22.559999
"197","2007-10-12",22.59
"198","2007-10-15",22.5
"199","2007-10-16",22.450001
"200","2007-10-17",22.5
"201","2007-10-18",22.57
"202","2007-10-19",22.07
"203","2007-10-22",22.42
"204","2007-10-23",22.08
"205","2007-10-24",22.280001
"206","2007-10-25",22.57
"207","2007-10-26",22.879999
"208","2007-10-29",23.16
"209","2007-10-30",22.889999
"210","2007-10-31",23.200001
"211","2007-11-01",22.68
"212","2007-11-02",21.42
"213","2007-11-05",21.370001
"214","2007-11-06",21.309999
"215","2007-11-07",20.969999
"216","2007-11-08",21.25
"217","2007-11-09",21.75
"218","2007-11-12",22
"219","2007-11-13",21.690001
"220","2007-11-14",21.559999
"221","2007-11-15",21.74
"222","2007-11-16",22.110001
"223","2007-11-19",22.48
"224","2007-11-20",22.76
"225","2007-11-21",23.030001
"226","2007-11-23",23.309999
"227","2007-11-26",22.950001
"228","2007-11-27",23.07
"229","2007-11-28",23.24
"230","2007-11-29",23.15
"231","2007-11-30",23.15
"232","2007-12-03",23.17
"233","2007-12-04",23.32
