"","date","ASGN"
"1","2007-01-03",11.75
"2","2007-01-04",11.9
"3","2007-01-05",12.52
"4","2007-01-08",12.54
"5","2007-01-09",12.85
"6","2007-01-10",12.74
"7","2007-01-11",12.95
"8","2007-01-12",12.91
"9","2007-01-16",12.8
"10","2007-01-17",12.65
"11","2007-01-18",12.47
"12","2007-01-19",12.45
"13","2007-01-22",12.41
"14","2007-01-23",12.45
"15","2007-01-24",12.6
"16","2007-01-25",12.45
"17","2007-01-26",12.55
"18","2007-01-29",12.37
"19","2007-01-30",12.59
"20","2007-01-31",12.9
"21","2007-02-01",12.9
"22","2007-02-02",13.07
"23","2007-02-05",13.04
"24","2007-02-06",13
"25","2007-02-07",13.03
"26","2007-02-08",13.13
"27","2007-02-09",13.11
"28","2007-02-12",13.13
"29","2007-02-13",13.17
"30","2007-02-14",13.29
"31","2007-02-15",12.99
"32","2007-02-16",13.14
"33","2007-02-20",13.31
"34","2007-02-21",13.43
"35","2007-02-22",13.43
"36","2007-02-23",13.3
"37","2007-02-26",13.29
"38","2007-02-27",12.62
"39","2007-02-28",12.26
"40","2007-03-01",12.19
"41","2007-03-02",11.76
"42","2007-03-05",11.61
"43","2007-03-06",12.25
"44","2007-03-07",12.16
"45","2007-03-08",13.12
"46","2007-03-09",12.58
"47","2007-03-12",12.79
"48","2007-03-13",12.43
"49","2007-03-14",12.19
"50","2007-03-15",12.06
"51","2007-03-16",12.31
"52","2007-03-19",12.34
"53","2007-03-20",12.51
"54","2007-03-21",12.54
"55","2007-03-22",12.61
"56","2007-03-23",12.71
"57","2007-03-26",12.48
"58","2007-03-27",12.21
"59","2007-03-28",11.91
"60","2007-03-29",11.84
"61","2007-03-30",12.41
"62","2007-04-02",12.24
"63","2007-04-03",12.64
"64","2007-04-04",12.38
"65","2007-04-05",12.37
"66","2007-04-09",12.29
"67","2007-04-10",12.18
"68","2007-04-11",11.98
"69","2007-04-12",12.01
"70","2007-04-13",12.09
"71","2007-04-16",12.11
"72","2007-04-17",11.97
"73","2007-04-18",11.76
"74","2007-04-19",11.7
"75","2007-04-20",11.83
"76","2007-04-23",11.65
"77","2007-04-24",11.64
"78","2007-04-25",11.6
"79","2007-04-26",11.51
"80","2007-04-27",11.45
"81","2007-04-30",11.18
"82","2007-05-01",11.37
"83","2007-05-02",11.76
"84","2007-05-03",11.73
"85","2007-05-04",11.59
"86","2007-05-07",11.93
"87","2007-05-08",11.75
"88","2007-05-09",11.84
"89","2007-05-10",11.6
"90","2007-05-11",11.56
"91","2007-05-14",11.28
"92","2007-05-15",10.94
"93","2007-05-16",11.08
"94","2007-05-17",10.81
"95","2007-05-18",10.95
"96","2007-05-21",11.07
"97","2007-05-22",10.86
"98","2007-05-23",10.77
"99","2007-05-24",10.35
"100","2007-05-25",10.48
"101","2007-05-29",10.65
"102","2007-05-30",11.04
"103","2007-05-31",10.9
"104","2007-06-01",11.06
"105","2007-06-04",10.85
"106","2007-06-05",10.75
"107","2007-06-06",10.46
"108","2007-06-07",10.33
"109","2007-06-08",10.37
"110","2007-06-11",9.89
"111","2007-06-12",9.7
"112","2007-06-13",9.91
"113","2007-06-14",10.24
"114","2007-06-15",11.01
"115","2007-06-18",11.09
"116","2007-06-19",11.02
"117","2007-06-20",11.06
"118","2007-06-21",11.05
"119","2007-06-22",10.88
"120","2007-06-25",10.77
"121","2007-06-26",10.63
"122","2007-06-27",10.91
"123","2007-06-28",10.91
"124","2007-06-29",10.72
"125","2007-07-02",10.93
"126","2007-07-03",10.96
"127","2007-07-05",10.76
"128","2007-07-06",10.69
"129","2007-07-09",10.68
"130","2007-07-10",10.5
"131","2007-07-11",10.42
"132","2007-07-12",10.6
"133","2007-07-13",10.45
"134","2007-07-16",10.34
"135","2007-07-17",10.29
"136","2007-07-18",10.39
"137","2007-07-19",10.41
"138","2007-07-20",10.09
"139","2007-07-23",10.04
"140","2007-07-24",9.77
"141","2007-07-25",9.91
"142","2007-07-26",9.43
"143","2007-07-27",9.36
"144","2007-07-30",9.66
"145","2007-07-31",10.03
"146","2007-08-01",10.33
"147","2007-08-02",11.48
"148","2007-08-03",10.86
"149","2007-08-06",11.1
"150","2007-08-07",11
"151","2007-08-08",11.24
"152","2007-08-09",10.62
"153","2007-08-10",11.07
"154","2007-08-13",10.84
"155","2007-08-14",10.4
"156","2007-08-15",10.15
"157","2007-08-16",10.25
"158","2007-08-17",10.97
"159","2007-08-20",10.94
"160","2007-08-21",11.05
"161","2007-08-22",11.18
"162","2007-08-23",11.04
"163","2007-08-24",10.83
"164","2007-08-27",10.68
"165","2007-08-28",10.64
"166","2007-08-29",10.77
"167","2007-08-30",10.56
"168","2007-08-31",10.58
"169","2007-09-04",10.69
"170","2007-09-05",10.31
"171","2007-09-06",10.38
"172","2007-09-07",10.01
"173","2007-09-10",9.88
"174","2007-09-11",10.31
"175","2007-09-12",9.77
"176","2007-09-13",9.51
"177","2007-09-14",9.31
"178","2007-09-17",9.15
"179","2007-09-18",9.89
"180","2007-09-19",10.27
"181","2007-09-20",10.17
"182","2007-09-21",9.78
"183","2007-09-24",9.64
"184","2007-09-25",9.56
"185","2007-09-26",9.34
"186","2007-09-27",9.38
"187","2007-09-28",9.34
"188","2007-10-01",9.72
"189","2007-10-02",9.75
"190","2007-10-03",9.71
"191","2007-10-04",9.69
"192","2007-10-05",9.96
"193","2007-10-08",9.7
"194","2007-10-09",9.6
"195","2007-10-10",9.45
"196","2007-10-11",9.27
"197","2007-10-12",9.81
"198","2007-10-15",9.6
"199","2007-10-16",9.55
"200","2007-10-17",9.64
"201","2007-10-18",9.7
"202","2007-10-19",9.3
"203","2007-10-22",9.49
"204","2007-10-23",9.49
"205","2007-10-24",9.18
"206","2007-10-25",9.05
"207","2007-10-26",8.91
"208","2007-10-29",8.75
"209","2007-10-30",8.48
"210","2007-10-31",8.34
"211","2007-11-01",8.32
"212","2007-11-02",6.41
"213","2007-11-05",6.17
"214","2007-11-06",6.36
"215","2007-11-07",6.21
"216","2007-11-08",6.47
"217","2007-11-09",6.57
"218","2007-11-12",6.73
"219","2007-11-13",6.91
"220","2007-11-14",6.76
"221","2007-11-15",6.67
"222","2007-11-16",6.63
"223","2007-11-19",6.32
"224","2007-11-20",6.41
"225","2007-11-21",6.17
"226","2007-11-23",6.32
"227","2007-11-26",6.07
"228","2007-11-27",5.95
"229","2007-11-28",6.3
"230","2007-11-29",6.1
"231","2007-11-30",6.39
"232","2007-12-03",6.13
"233","2007-12-04",6.09
"234","2007-12-05",6.09
"235","2007-12-06",6.41
"236","2007-12-07",6.71
"237","2007-12-10",7.05
"238","2007-12-11",6.89
"239","2007-12-12",7.05
"240","2007-12-13",6.9
"241","2007-12-14",6.7
"242","2007-12-17",6.77
"243","2007-12-18",6.88
"244","2007-12-19",7.14
"245","2007-12-20",7.55
"246","2007-12-21",7.49
"247","2007-12-24",7.51
"248","2007-12-26",7.5
"249","2007-12-27",7.07
"250","2007-12-28",6.92
"251","2007-12-31",7.01
"252","2008-01-02",6.38
"253","2008-01-03",6.22
"254","2008-01-04",5.76
"255","2008-01-07",6.01
"256","2008-01-08",5.81
"257","2008-01-09",6.04
"258","2008-01-10",6.01
"259","2008-01-11",5.39
"260","2008-01-14",5.64
"261","2008-01-15",5.31
"262","2008-01-16",5.34
"263","2008-01-17",5.11
"264","2008-01-18",4.97
"265","2008-01-22",4.82
"266","2008-01-23",4.69
"267","2008-01-24",4.74
"268","2008-01-25",4.8
"269","2008-01-28",4.69
"270","2008-01-29",5.13
"271","2008-01-30",5.29
"272","2008-01-31",5.56
"273","2008-02-01",5.48
"274","2008-02-04",5.18
"275","2008-02-05",4.99
"276","2008-02-06",5
"277","2008-02-07",5.17
"278","2008-02-08",5.01
"279","2008-02-11",5.13
"280","2008-02-12",5.16
"281","2008-02-13",5.5
"282","2008-02-14",5.39
"283","2008-02-15",5.23
"284","2008-02-19",5.13
"285","2008-02-20",5.26
"286","2008-02-21",5.03
"287","2008-02-22",5.21
"288","2008-02-25",5.55
"289","2008-02-26",5.9
"290","2008-02-27",6.05
"291","2008-02-28",6.18
"292","2008-02-29",6.19
"293","2008-03-03",5.65
"294","2008-03-04",5.71
"295","2008-03-05",5.68
"296","2008-03-06",5.72
"297","2008-03-07",5.7
"298","2008-03-10",5.72
"299","2008-03-11",5.85
"300","2008-03-12",5.85
"301","2008-03-13",5.84
"302","2008-03-14",5.63
"303","2008-03-17",5.49
