"","date","PNTG"
"1","2019-10-01",15.09
"2","2019-10-02",16.66
"3","2019-10-03",15.35
"4","2019-10-04",16
"5","2019-10-07",17.809999
"6","2019-10-08",18.629999
"7","2019-10-09",20.620001
"8","2019-10-10",19.9
"9","2019-10-11",18.969999
"10","2019-10-14",18.18
"11","2019-10-15",18.4
"12","2019-10-16",18.48
"13","2019-10-17",18.27
"14","2019-10-18",18.209999
"15","2019-10-21",18.41
"16","2019-10-22",18.049999
"17","2019-10-23",19.48
"18","2019-10-24",19.18
"19","2019-10-25",18.190001
"20","2019-10-28",18.09
"21","2019-10-29",18.940001
"22","2019-10-30",18.67
"23","2019-10-31",17.99
"24","2019-11-01",20.07
"25","2019-11-04",20.08
"26","2019-11-05",20.059999
"27","2019-11-06",19.719999
"28","2019-11-07",19.190001
"29","2019-11-08",18.67
"30","2019-11-11",18.200001
"31","2019-11-12",17.719999
"32","2019-11-13",16.280001
"33","2019-11-14",18.540001
"34","2019-11-15",19.469999
"35","2019-11-18",21.559999
"36","2019-11-19",23.08
"37","2019-11-20",24.719999
"38","2019-11-21",24.41
"39","2019-11-22",22.940001
"40","2019-11-25",24.459999
"41","2019-11-26",22.709999
"42","2019-11-27",22.76
"43","2019-11-29",23.42
"44","2019-12-02",23.07
"45","2019-12-03",24.58
"46","2019-12-04",25
"47","2019-12-05",25
"48","2019-12-06",26.190001
"49","2019-12-09",26.43
"50","2019-12-10",28.139999
"51","2019-12-11",29.26
"52","2019-12-12",30.655001
"53","2019-12-13",29.41
"54","2019-12-16",29.83
"55","2019-12-17",31.07
"56","2019-12-18",32.169998
"57","2019-12-19",33.119999
"58","2019-12-20",34.919998
"59","2019-12-23",34.490002
"60","2019-12-24",34.59
"61","2019-12-26",34.779999
"62","2019-12-27",32.18
"63","2019-12-30",31.690001
"64","2019-12-31",33.07
"65","2020-01-02",32.16
"66","2020-01-03",32.314999
"67","2020-01-06",31.99
"68","2020-01-07",31.91
"69","2020-01-08",31.52
"70","2020-01-09",30.24
"71","2020-01-10",29.620001
"72","2020-01-13",28.34
"73","2020-01-14",26.950001
"74","2020-01-15",27.450001
"75","2020-01-16",27.34
"76","2020-01-17",27.129999
"77","2020-01-21",27.110001
"78","2020-01-22",27.33
"79","2020-01-23",28.98
"80","2020-01-24",26.969999
"81","2020-01-27",26.959999
"82","2020-01-28",26.68
"83","2020-01-29",25.360001
"84","2020-01-30",26.610001
"85","2020-01-31",26.4
"86","2020-02-03",26.200001
"87","2020-02-04",28.200001
"88","2020-02-05",28.110001
"89","2020-02-06",27.73
"90","2020-02-07",27.969999
"91","2020-02-10",30.5
"92","2020-02-11",31.09
"93","2020-02-12",32.490002
"94","2020-02-13",32.299999
"95","2020-02-14",30.690001
"96","2020-02-18",30.66
"97","2020-02-19",31.49
"98","2020-02-20",31.790001
"99","2020-02-21",31.889999
"100","2020-02-24",31.75
"101","2020-02-25",30.860001
"102","2020-02-26",31.530001
"103","2020-02-27",31.41
"104","2020-02-28",27.17
"105","2020-03-02",26.905001
"106","2020-03-03",26.65
