"","date","LAUR"
"1","2017-02-01",13.25
"2","2017-02-02",13
"3","2017-02-03",13.27
"4","2017-02-06",13.38
"5","2017-02-07",13.41
"6","2017-02-08",13.13
"7","2017-02-09",13.13
"8","2017-02-10",13.26
"9","2017-02-13",13.31
"10","2017-02-14",13.21
"11","2017-02-15",13.1
"12","2017-02-16",13.09
"13","2017-02-17",13.11
"14","2017-02-21",13.39
"15","2017-02-22",13.12
"16","2017-02-23",13.18
"17","2017-02-24",13.24
"18","2017-02-27",13.16
"19","2017-02-28",13.02
"20","2017-03-01",12.98
"21","2017-03-02",12.57
"22","2017-03-03",12.5
"23","2017-03-06",12.87
"24","2017-03-07",12.8
"25","2017-03-08",12.84
"26","2017-03-09",12.53
"27","2017-03-10",12.76
"28","2017-03-13",12.97
"29","2017-03-14",12.8
"30","2017-03-15",13.06
"31","2017-03-16",12.94
"32","2017-03-17",13.43
"33","2017-03-20",13.76
"34","2017-03-21",13.87
"35","2017-03-22",13.73
"36","2017-03-23",13.65
"37","2017-03-24",13.34
"38","2017-03-27",13.56
"39","2017-03-28",13.9
"40","2017-03-29",14.14
"41","2017-03-30",14.04
"42","2017-03-31",14.27
"43","2017-04-03",14.18
"44","2017-04-04",14.43
"45","2017-04-05",14.14
"46","2017-04-06",14.27
"47","2017-04-07",14.46
"48","2017-04-10",14.87
"49","2017-04-11",14.74
"50","2017-04-12",14.73
"51","2017-04-13",14.6
"52","2017-04-17",14.83
"53","2017-04-18",14.73
"54","2017-04-19",14.51
"55","2017-04-20",14.47
"56","2017-04-21",14.26
"57","2017-04-24",14.26
"58","2017-04-25",14.14
"59","2017-04-26",14.12
"60","2017-04-27",14.03
"61","2017-04-28",13.81
"62","2017-05-01",13.6
"63","2017-05-02",13.14
"64","2017-05-03",13.28
"65","2017-05-04",13.3
"66","2017-05-05",13.56
"67","2017-05-08",13.57
"68","2017-05-09",13.54
"69","2017-05-10",13.72
"70","2017-05-11",15.14
"71","2017-05-12",15.38
"72","2017-05-15",15.18
"73","2017-05-16",15.13
"74","2017-05-17",15.67
"75","2017-05-18",15.17
"76","2017-05-19",15.58
"77","2017-05-22",15.89
"78","2017-05-23",16.389999
"79","2017-05-24",16.34
"80","2017-05-25",16.389999
"81","2017-05-26",16.43
"82","2017-05-30",16.540001
"83","2017-05-31",16.719999
"84","2017-06-01",17.440001
"85","2017-06-02",17.790001
"86","2017-06-05",17.65
"87","2017-06-06",17.57
"88","2017-06-07",16.99
"89","2017-06-08",17.120001
"90","2017-06-09",17.610001
"91","2017-06-12",17.530001
"92","2017-06-13",17.73
"93","2017-06-14",17.889999
"94","2017-06-15",17.74
"95","2017-06-16",18.17
"96","2017-06-19",18.530001
"97","2017-06-20",18.25
"98","2017-06-21",18.5
"99","2017-06-22",18.16
"100","2017-06-23",18.42
"101","2017-06-26",18.389999
"102","2017-06-27",18.48
"103","2017-06-28",18.48
"104","2017-06-29",17.98
"105","2017-06-30",17.530001
"106","2017-07-03",17.6
"107","2017-07-05",17.290001
"108","2017-07-06",17.209999
"109","2017-07-07",17.33
"110","2017-07-10",17.200001
"111","2017-07-11",17.24
"112","2017-07-12",17.530001
"113","2017-07-13",17.83
"114","2017-07-14",17.58
"115","2017-07-17",17.57
"116","2017-07-18",17.52
"117","2017-07-19",17.280001
"118","2017-07-20",17.299999
"119","2017-07-21",17.34
"120","2017-07-24",17.190001
"121","2017-07-25",17.34
"122","2017-07-26",17.24
"123","2017-07-27",16.620001
"124","2017-07-28",16.74
"125","2017-07-31",17.02
"126","2017-08-01",17.389999
"127","2017-08-02",17.01
"128","2017-08-03",17.059999
"129","2017-08-04",17.25
"130","2017-08-07",16.99
"131","2017-08-08",16.85
"132","2017-08-09",15.61
"133","2017-08-10",15.51
"134","2017-08-11",15.25
"135","2017-08-14",15.1
"136","2017-08-15",14.88
"137","2017-08-16",14.59
"138","2017-08-17",14.13
"139","2017-08-18",14.16
"140","2017-08-21",14.22
"141","2017-08-22",14.34
"142","2017-08-23",14.07
"143","2017-08-24",14.2
"144","2017-08-25",14.11
"145","2017-08-28",14.2
