"","date","FCBP"
"1","2018-01-05",24.25
"2","2018-01-08",24.25
"3","2018-01-09",24.25
"4","2018-01-10",24.25
"5","2018-01-11",24.25
"6","2018-01-12",24.25
"7","2018-01-16",24.25
"8","2018-01-17",24.25
"9","2018-01-18",24.5
"10","2018-01-19",24.25
"11","2018-01-22",24.5
"12","2018-01-23",26
"13","2018-01-24",26
"14","2018-01-25",26
"15","2018-01-26",25.5
"16","2018-01-29",26.4
"17","2018-01-30",26.4
"18","2018-01-31",25.5
"19","2018-02-01",25.75
"20","2018-02-02",25.879999
"21","2018-02-05",25.879999
"22","2018-02-06",25.879999
"23","2018-02-07",25.879999
"24","2018-02-08",25.879999
"25","2018-02-09",25.879999
"26","2018-02-12",25.879999
"27","2018-02-13",25.879999
"28","2018-02-14",25.879999
"29","2018-02-15",25.879999
"30","2018-02-16",25.879999
"31","2018-02-20",25.74
"32","2018-02-21",25.74
"33","2018-02-22",25.74
"34","2018-02-23",25.299999
"35","2018-02-26",25.5
"36","2018-02-27",25.5
"37","2018-02-28",25.5
"38","2018-03-01",25.450001
"39","2018-03-02",25.450001
"40","2018-03-05",25.450001
"41","2018-03-06",25.450001
"42","2018-03-07",25.450001
"43","2018-03-08",25.610001
"44","2018-03-09",25.6
"45","2018-03-12",25.75
"46","2018-03-13",26.4
"47","2018-03-14",26.299999
"48","2018-03-15",26.25
"49","2018-03-16",25.9
"50","2018-03-19",26.200001
"51","2018-03-20",25.99
"52","2018-03-21",25.959999
"53","2018-03-22",25.99
"54","2018-03-23",25.99
"55","2018-03-26",26
"56","2018-03-27",26
"57","2018-03-28",26
"58","2018-03-29",25.99
"59","2018-04-02",25.879999
"60","2018-04-03",26
"61","2018-04-04",26.1
"62","2018-04-05",26.5
"63","2018-04-06",26.5
"64","2018-04-09",26.5
"65","2018-04-10",26.5
"66","2018-04-11",26.5
"67","2018-04-12",26.5
"68","2018-04-13",26.799999
"69","2018-04-16",26.799999
"70","2018-04-17",26.799999
"71","2018-04-18",26.799999
"72","2018-04-19",26.799999
"73","2018-04-20",26.75
"74","2018-04-23",26.75
"75","2018-04-24",26.6
"76","2018-04-25",26.549999
"77","2018-04-26",26.6
"78","2018-04-27",26.6
"79","2018-04-30",26.6
"80","2018-05-01",27
"81","2018-05-02",27.75
"82","2018-05-03",27.816999
"83","2018-05-04",28.5
"84","2018-05-07",28.99
"85","2018-05-08",29.09
"86","2018-05-09",29
"87","2018-05-10",29
"88","2018-05-11",29
"89","2018-05-14",29.25
"90","2018-05-15",29.15
"91","2018-05-16",29.18
"92","2018-05-17",28.969999
"93","2018-05-18",28.58
"94","2018-05-21",28.48
"95","2018-05-22",28.48
"96","2018-05-23",28.48
"97","2018-05-24",28.4
"98","2018-05-25",28.4
"99","2018-05-29",28.4
"100","2018-05-30",28.35
"101","2018-05-31",28.440001
"102","2018-06-01",28.48
"103","2018-06-04",29.25
"104","2018-06-05",28.950001
"105","2018-06-06",28.9
"106","2018-06-07",28.85
"107","2018-06-08",27.530001
"108","2018-06-11",28.799999
"109","2018-06-12",29.25
"110","2018-06-13",30.530001
"111","2018-06-14",31.49
"112","2018-06-15",30.85
"113","2018-06-18",29.209999
"114","2018-06-19",28.65
"115","2018-06-20",28.75
"116","2018-06-21",28.67
"117","2018-06-22",29.01
"118","2018-06-25",28.26
"119","2018-06-26",28.08
"120","2018-06-27",28.23
"121","2018-06-28",29.48
"122","2018-06-29",30.559999
"123","2018-07-02",30.49
"124","2018-07-03",30.59
"125","2018-07-05",30
"126","2018-07-06",30
"127","2018-07-09",30.200001
"128","2018-07-10",30.5
"129","2018-07-11",29.74
"130","2018-07-12",30.07
"131","2018-07-13",30.290001
"132","2018-07-16",29.799999
"133","2018-07-17",29.549999
"134","2018-07-18",29.49
"135","2018-07-19",28.780001
"136","2018-07-20",28.99
"137","2018-07-23",28.719999
"138","2018-07-24",28.66
"139","2018-07-25",29.360001
"140","2018-07-26",28.76
"141","2018-07-27",28.549999
"142","2018-07-30",28.67
"143","2018-07-31",28.700001
"144","2018-08-01",28.549999
"145","2018-08-02",28.6
"146","2018-08-03",28.51
"147","2018-08-06",27.940001
"148","2018-08-07",27.68
"149","2018-08-08",27.32
"150","2018-08-09",27.360001
"151","2018-08-10",27.42
"152","2018-08-13",27.08
"153","2018-08-14",27.17
"154","2018-08-15",26.940001
"155","2018-08-16",26.99
"156","2018-08-17",27.120001
"157","2018-08-20",27.43
"158","2018-08-21",27.549999
"159","2018-08-22",27.58
"160","2018-08-23",27.66
"161","2018-08-24",27.59
"162","2018-08-27",27.67
"163","2018-08-28",27.74
"164","2018-08-29",27.35
"165","2018-08-30",27.360001
"166","2018-08-31",27.15
"167","2018-09-04",27.4
"168","2018-09-05",27.58
"169","2018-09-06",27.709999
"170","2018-09-07",27.66
"171","2018-09-10",27.700001
"172","2018-09-11",28.139999
