"","date","CNS"
"1","2007-01-03",40.619999
"2","2007-01-04",42.849998
"3","2007-01-05",43.07
"4","2007-01-08",41.77
"5","2007-01-09",43.299999
"6","2007-01-10",43.709999
"7","2007-01-11",46.400002
"8","2007-01-12",46.799999
"9","2007-01-16",47.470001
"10","2007-01-17",47.099998
"11","2007-01-18",46.389999
"12","2007-01-19",46.549999
"13","2007-01-22",45.299999
"14","2007-01-23",45.75
"15","2007-01-24",45.830002
"16","2007-01-25",48.470001
"17","2007-01-26",47.75
"18","2007-01-29",47.189999
"19","2007-01-30",47.970001
"20","2007-01-31",48.75
"21","2007-02-01",49.27
"22","2007-02-02",50.860001
"23","2007-02-05",51.23
"24","2007-02-06",52.650002
"25","2007-02-07",51.189999
"26","2007-02-08",51.66
"27","2007-02-09",47.330002
"28","2007-02-12",46.34
"29","2007-02-13",46.689999
"30","2007-02-14",46.950001
"31","2007-02-15",47.029999
"32","2007-02-16",47.200001
"33","2007-02-20",48.799999
"34","2007-02-21",47.990002
"35","2007-02-22",47.200001
"36","2007-02-23",46.169998
"37","2007-02-26",43.419998
"38","2007-02-27",41.200001
"39","2007-02-28",41.75
"40","2007-03-01",41.41
"41","2007-03-02",41.009998
"42","2007-03-05",38.59
"43","2007-03-06",40.360001
"44","2007-03-07",40.139999
"45","2007-03-08",40.630001
"46","2007-03-09",40.580002
"47","2007-03-12",40.700001
"48","2007-03-13",39.470001
"49","2007-03-14",39.709999
"50","2007-03-15",40.740002
"51","2007-03-16",40.52
"52","2007-03-19",41.639999
"53","2007-03-20",42.259998
"54","2007-03-21",43.18
"55","2007-03-22",43.380001
"56","2007-03-23",42.75
"57","2007-03-26",42.810001
"58","2007-03-27",42.060001
"59","2007-03-28",41.52
"60","2007-03-29",42.34
"61","2007-03-30",43.080002
"62","2007-04-02",42.549999
"63","2007-04-03",43.009998
"64","2007-04-04",42.220001
"65","2007-04-05",41.93
"66","2007-04-09",41.709999
"67","2007-04-10",41.619999
"68","2007-04-11",40.790001
"69","2007-04-12",40.900002
"70","2007-04-13",41.490002
"71","2007-04-16",42.689999
"72","2007-04-17",43.240002
"73","2007-04-18",42.849998
"74","2007-04-19",42.59
"75","2007-04-20",43.299999
"76","2007-04-23",43.959999
"77","2007-04-24",44.310001
"78","2007-04-25",44.959999
"79","2007-04-26",52.16
"80","2007-04-27",51.619999
"81","2007-04-30",51.310001
"82","2007-05-01",52
"83","2007-05-02",52.59
"84","2007-05-03",54.619999
"85","2007-05-04",55.349998
"86","2007-05-07",55.549999
"87","2007-05-08",55.549999
"88","2007-05-09",55.689999
"89","2007-05-10",53.869999
"90","2007-05-11",53.990002
"91","2007-05-14",53.509998
"92","2007-05-15",53
"93","2007-05-16",51.990002
"94","2007-05-17",50.880001
"95","2007-05-18",50.349998
"96","2007-05-21",51.18
"97","2007-05-22",51.880001
"98","2007-05-23",52.400002
"99","2007-05-24",49.669998
"100","2007-05-25",49.77
"101","2007-05-29",50.619999
"102","2007-05-30",51.459999
"103","2007-05-31",51.990002
"104","2007-06-01",51.669998
"105","2007-06-04",52.209999
"106","2007-06-05",51.689999
"107","2007-06-06",51.169998
"108","2007-06-07",48.360001
"109","2007-06-08",47.509998
"110","2007-06-11",47.77
"111","2007-06-12",46.220001
