"","date","GWGH"
"1","2014-09-25",13.15
"2","2014-09-26",11.75
"3","2014-09-29",10.5
"4","2014-09-30",10.25
"5","2014-10-01",10.1
"6","2014-10-02",9.75
"7","2014-10-03",9.74
"8","2014-10-06",8.63
"9","2014-10-07",8.32
"10","2014-10-08",9
"11","2014-10-09",8.821
"12","2014-10-10",9
"13","2014-10-13",9.09
"14","2014-10-14",8.75
"15","2014-10-15",8.928
"16","2014-10-16",8.966
"17","2014-10-17",8.702
"18","2014-10-20",8.5
"19","2014-10-21",8.63
"20","2014-10-22",8.79
"21","2014-10-23",8.9
"22","2014-10-24",9.05
"23","2014-10-27",9.05
"24","2014-10-28",8.73
"25","2014-10-29",8.69
"26","2014-10-30",9.055
"27","2014-10-31",9.07
"28","2014-11-03",9.07
"29","2014-11-04",9.08
"30","2014-11-05",8.9
"31","2014-11-06",9.05
"32","2014-11-07",9.15
"33","2014-11-10",9.19
"34","2014-11-11",9.24
"35","2014-11-12",9.24
"36","2014-11-13",9.22
"37","2014-11-14",9.13
"38","2014-11-17",9.18
"39","2014-11-18",9.15
"40","2014-11-19",9.05
"41","2014-11-20",9.14
"42","2014-11-21",9.18
"43","2014-11-24",9.01
"44","2014-11-25",9
"45","2014-11-26",9.04
"46","2014-11-28",8.87
"47","2014-12-01",8.2
"48","2014-12-02",8.5
"49","2014-12-03",8.5
"50","2014-12-04",8.85
"51","2014-12-05",9.09
"52","2014-12-08",9.13
"53","2014-12-09",9.15
"54","2014-12-10",9.24
"55","2014-12-11",9.25
"56","2014-12-12",9.1
"57","2014-12-15",9.22
"58","2014-12-16",8.97
"59","2014-12-17",8.75
"60","2014-12-18",9
"61","2014-12-19",8
"62","2014-12-22",8.11
"63","2014-12-23",8.11
"64","2014-12-24",8.04
"65","2014-12-26",8.101
"66","2014-12-29",8
"67","2014-12-30",7.98
"68","2014-12-31",6.76
"69","2015-01-02",7.74
"70","2015-01-05",6.83
"71","2015-01-06",7
"72","2015-01-07",7
"73","2015-01-08",7
"74","2015-01-09",7
"75","2015-01-12",7.309
"76","2015-01-13",7.05
"77","2015-01-14",6.5
"78","2015-01-15",6.5
"79","2015-01-16",6.73
"80","2015-01-20",6.05
"81","2015-01-21",6.931
"82","2015-01-22",6.5
"83","2015-01-23",6.5
"84","2015-01-26",6.5
"85","2015-01-27",6.5
"86","2015-01-28",6.5
"87","2015-01-29",6.7
