"","date","SOAC"
"1","2020-06-26",9.7
"2","2020-06-29",9.8
"3","2020-06-30",9.7
"4","2020-07-01",9.85
"5","2020-07-02",9.92
"6","2020-07-06",9.97
"7","2020-07-07",9.97
"8","2020-07-08",9.86
"9","2020-07-09",9.94
"10","2020-07-10",10.07
"11","2020-07-13",10.18
"12","2020-07-14",10.1
"13","2020-07-15",9.95
"14","2020-07-16",10.1
"15","2020-07-17",9.99
"16","2020-07-20",10.016
"17","2020-07-21",10.08
"18","2020-07-22",10.05
"19","2020-07-23",10.13
"20","2020-07-24",10.1
"21","2020-07-27",10.14
"22","2020-07-28",10.04
"23","2020-07-29",9.99
"24","2020-07-30",9.95
"25","2020-07-31",9.86
"26","2020-08-03",9.98
"27","2020-08-04",9.87
"28","2020-08-05",9.9
"29","2020-08-06",9.95
"30","2020-08-07",9.88
"31","2020-08-10",9.88
"32","2020-08-11",9.91
"33","2020-08-12",9.86
"34","2020-08-13",9.9
"35","2020-08-14",9.89
"36","2020-08-17",9.85
"37","2020-08-18",9.87
"38","2020-08-19",9.8
"39","2020-08-20",9.74
"40","2020-08-21",9.75
"41","2020-08-24",9.765
"42","2020-08-25",9.82
"43","2020-08-26",9.81
"44","2020-08-27",9.83
"45","2020-08-28",9.83
"46","2020-08-31",9.84
"47","2020-09-01",9.865
"48","2020-09-02",9.838
"49","2020-09-03",9.95
"50","2020-09-04",10.13
"51","2020-09-08",10.085
"52","2020-09-09",10.05
"53","2020-09-10",10.22
"54","2020-09-11",10.21
"55","2020-09-14",10.26
"56","2020-09-15",10.29
"57","2020-09-16",10.31
"58","2020-09-17",10.42
"59","2020-09-18",10.48
"60","2020-09-21",10.3
"61","2020-09-22",10.3
"62","2020-09-23",10.14
"63","2020-09-24",10.15
"64","2020-09-25",10.17
"65","2020-09-28",10.23
"66","2020-09-29",10.24
"67","2020-09-30",10.2
"68","2020-10-01",10.201
"69","2020-10-02",10.13
"70","2020-10-05",10.15
"71","2020-10-06",10.01
"72","2020-10-07",10.04
"73","2020-10-08",10.01
"74","2020-10-09",10.01
"75","2020-10-12",10.05
"76","2020-10-13",9.98
"77","2020-10-14",9.99
"78","2020-10-15",9.98
"79","2020-10-16",10.02
"80","2020-10-19",9.975
"81","2020-10-20",10.03
"82","2020-10-21",10
"83","2020-10-22",9.98
"84","2020-10-23",9.97
"85","2020-10-26",9.85
"86","2020-10-27",9.84
"87","2020-10-28",9.78
"88","2020-10-29",9.87
"89","2020-10-30",9.87
"90","2020-11-02",9.83
"91","2020-11-03",9.82
"92","2020-11-04",9.79
"93","2020-11-05",9.84
"94","2020-11-06",9.89
"95","2020-11-09",9.86
"96","2020-11-10",9.86
"97","2020-11-11",9.875
"98","2020-11-12",9.9
"99","2020-11-13",9.93
"100","2020-11-16",9.9
"101","2020-11-17",9.92
"102","2020-11-18",9.96
"103","2020-11-19",10.02
"104","2020-11-20",10.075
"105","2020-11-23",10.16
"106","2020-11-24",10.34
"107","2020-11-25",10.33
"108","2020-11-27",10.41
