"","date","HP"
"1","2007-01-03",23.139999
"2","2007-01-04",23.059999
"3","2007-01-05",23.129999
"4","2007-01-08",23.26
"5","2007-01-09",23.389999
"6","2007-01-10",23.219999
"7","2007-01-11",23.389999
"8","2007-01-12",24.34
"9","2007-01-16",24.379999
"10","2007-01-17",24.540001
"11","2007-01-18",24.27
"12","2007-01-19",25.08
"13","2007-01-22",25.02
"14","2007-01-23",26.07
"15","2007-01-24",26.360001
"16","2007-01-25",25.77
"17","2007-01-26",25.889999
"18","2007-01-29",25.870001
"19","2007-01-30",26.879999
"20","2007-01-31",26.83
"21","2007-02-01",27.889999
"22","2007-02-02",28.35
"23","2007-02-05",28.34
"24","2007-02-06",28.09
"25","2007-02-07",27.969999
"26","2007-02-08",27.93
"27","2007-02-09",27.540001
"28","2007-02-12",27.200001
"29","2007-02-13",27.299999
"30","2007-02-14",27.030001
"31","2007-02-15",27
"32","2007-02-16",27.040001
"33","2007-02-20",27.02
"34","2007-02-21",27.25
"35","2007-02-22",27.73
"36","2007-02-23",27.549999
"37","2007-02-26",27.98
"38","2007-02-27",27.1
"39","2007-02-28",27.139999
"40","2007-03-01",27.1
"41","2007-03-02",26.4
"42","2007-03-05",26.25
"43","2007-03-06",26.99
"44","2007-03-07",27.58
"45","2007-03-08",27.950001
"46","2007-03-09",28.09
"47","2007-03-12",28.059999
"48","2007-03-13",27.67
"49","2007-03-14",28.280001
"50","2007-03-15",28.360001
"51","2007-03-16",28.360001
"52","2007-03-19",29.35
"53","2007-03-20",29.16
"54","2007-03-21",30.08
"55","2007-03-22",30.5
"56","2007-03-23",30.65
"57","2007-03-26",30.84
"58","2007-03-27",30.809999
"59","2007-03-28",30.27
"60","2007-03-29",30.51
"61","2007-03-30",30.34
"62","2007-04-02",30.629999
"63","2007-04-03",30.700001
"64","2007-04-04",30.65
"65","2007-04-05",30.9
"66","2007-04-09",31.030001
"67","2007-04-10",31.33
"68","2007-04-11",31.299999
"69","2007-04-12",31.959999
"70","2007-04-13",31.92
"71","2007-04-16",32.189999
"72","2007-04-17",31.870001
"73","2007-04-18",31.41
"74","2007-04-19",31.27
"75","2007-04-20",31.290001
"76","2007-04-23",31.690001
"77","2007-04-24",31.469999
"78","2007-04-25",32.290001
"79","2007-04-26",32.450001
"80","2007-04-27",32.740002
"81","2007-04-30",32.290001
"82","2007-05-01",33.119999
"83","2007-05-02",32.150002
"84","2007-05-03",32.259998
"85","2007-05-04",32.200001
"86","2007-05-07",32.18
"87","2007-05-08",31.959999
"88","2007-05-09",32.209999
"89","2007-05-10",31.58
"90","2007-05-11",32.200001
"91","2007-05-14",32.029999
"92","2007-05-15",32.139999
"93","2007-05-16",32.700001
"94","2007-05-17",33.240002
"95","2007-05-18",33.32
"96","2007-05-21",33.459999
"97","2007-05-22",33.029999
"98","2007-05-23",33.099998
"99","2007-05-24",32.169998
"100","2007-05-25",32.57
"101","2007-05-29",32.450001
"102","2007-05-30",33.830002
"103","2007-05-31",33.889999
"104","2007-06-01",33.869999
"105","2007-06-04",34.279999
"106","2007-06-05",34.23
"107","2007-06-06",33.509998
"108","2007-06-07",32.77
"109","2007-06-08",33.049999
"110","2007-06-11",33.330002
"111","2007-06-12",33.16
"112","2007-06-13",33.880001
"113","2007-06-14",34.68
"114","2007-06-15",35.220001
"115","2007-06-18",35.560001
"116","2007-06-19",35.599998
"117","2007-06-20",35.189999
"118","2007-06-21",36.040001
"119","2007-06-22",36.110001
"120","2007-06-25",36.02
"121","2007-06-26",34.849998
"122","2007-06-27",35.689999
"123","2007-06-28",35.099998
"124","2007-06-29",35.419998
"125","2007-07-02",35.880001
"126","2007-07-03",35.830002
"127","2007-07-05",35.599998
"128","2007-07-06",36.130001
"129","2007-07-09",36.07
