"","date","PINS"
"1","2019-04-18",24.4
"2","2019-04-22",24.99
"3","2019-04-23",25.85
"4","2019-04-24",26.799999
"5","2019-04-25",28.799999
"6","2019-04-26",29.85
"7","2019-04-29",34.259998
"8","2019-04-30",30.98
"9","2019-05-01",31.23
"10","2019-05-02",29.74
"11","2019-05-03",28.360001
"12","2019-05-06",29.5
"13","2019-05-07",28.690001
"14","2019-05-08",29.51
"15","2019-05-09",28.75
"16","2019-05-10",29.049999
"17","2019-05-13",26.629999
"18","2019-05-14",28.99
"19","2019-05-15",28.629999
"20","2019-05-16",30.860001
"21","2019-05-17",26.700001
"22","2019-05-20",25.85
"23","2019-05-21",25.41
"24","2019-05-22",24.6
"25","2019-05-23",23.799999
"26","2019-05-24",25.5
"27","2019-05-28",25.799999
"28","2019-05-29",25.58
"29","2019-05-30",25.51
"30","2019-05-31",24.92
"31","2019-06-03",24.4
"32","2019-06-04",24.200001
"33","2019-06-05",24.940001
"34","2019-06-06",25.809999
"35","2019-06-07",27.610001
"36","2019-06-10",27.940001
"37","2019-06-11",26.48
"38","2019-06-12",27.049999
"39","2019-06-13",26.950001
"40","2019-06-14",27.41
"41","2019-06-17",27.85
"42","2019-06-18",28.799999
"43","2019-06-19",28.09
"44","2019-06-20",27.540001
"45","2019-06-21",27.98
"46","2019-06-24",26.690001
"47","2019-06-25",26.139999
"48","2019-06-26",26.23
"49","2019-06-27",27.23
"50","2019-06-28",27.219999
"51","2019-07-01",26.68
"52","2019-07-02",26.91
"53","2019-07-03",27.469999
"54","2019-07-05",27.25
"55","2019-07-08",26.77
"56","2019-07-09",26.719999
"57","2019-07-10",26.58
"58","2019-07-11",26.1
"59","2019-07-12",26.41
"60","2019-07-15",26.67
"61","2019-07-16",26.51
"62","2019-07-17",25.91
"63","2019-07-18",25.780001
"64","2019-07-19",25.559999
"65","2019-07-22",26.219999
"66","2019-07-23",26.780001
"67","2019-07-24",27.82
"68","2019-07-25",27.59
"69","2019-07-26",27.639999
"70","2019-07-29",27.860001
"71","2019-07-30",28.620001
"72","2019-07-31",28.99
"73","2019-08-01",28.299999
"74","2019-08-02",33.57
"75","2019-08-05",33.720001
"76","2019-08-06",32.68
"77","2019-08-07",32.099998
"78","2019-08-08",33.389999
"79","2019-08-09",33.43
"80","2019-08-12",33.619999
"81","2019-08-13",34.419998
"82","2019-08-14",32.23
"83","2019-08-15",32.009998
"84","2019-08-16",32.220001
"85","2019-08-19",33.330002
"86","2019-08-20",34.360001
"87","2019-08-21",36.560001
"88","2019-08-22",35.43
"89","2019-08-23",34.5
"90","2019-08-26",35.380001
"91","2019-08-27",33.860001
"92","2019-08-28",33.919998
"93","2019-08-29",34.759998
"94","2019-08-30",34.419998
"95","2019-09-03",33.810001
"96","2019-09-04",32.619999
"97","2019-09-05",31.26
"98","2019-09-06",30.360001
"99","2019-09-09",28.200001
"100","2019-09-10",28.799999
"101","2019-09-11",29.6
"102","2019-09-12",29.77
"103","2019-09-13",29.040001
"104","2019-09-16",29.26
"105","2019-09-17",30.110001
"106","2019-09-18",29.5
"107","2019-09-19",30.139999
"108","2019-09-20",30.219999
"109","2019-09-23",28.549999
"110","2019-09-24",27.110001
"111","2019-09-25",27.110001
"112","2019-09-26",27.379999
"113","2019-09-27",26.5
"114","2019-09-30",26.450001
"115","2019-10-01",26.43
"116","2019-10-02",26.51
"117","2019-10-03",27.370001
"118","2019-10-04",27.309999
"119","2019-10-07",26.51
"120","2019-10-08",25.629999
